"its","яго"
"is fat yet tiny","тоўсты, але маленькі"
"unkempt","неахайны"
"short ","нізкі "
"straight scar.  ","прамы шнар. "
"Garden Vegetables","Садовая гародніна"
"Meat/Fish Recipes","Рэцэпты з мяса/рыбы"
"Other Recipes","Іншыя рэцэпты"
"Metal Bars","Металічныя зліткі"
"Small Cut Gems","Малыя аграненыя самацветы"
"Large Cut Gems","Вялікія аграненыя самацветы"
"Stone Blocks","Каменныя блокі"
"Anvils","Кавадлы"
"Headwear","Галаўныя ўборы"
"Handwear","Рукавіцы"
"Bags (Yarn)","Торбы (пража)"
"Thread (Silk)","Ніткі (шоўк)"
"Thread (Yarn)","Ніткі (пража)"
"Barrels","Бочкі"
"Wilderness Curious Wander","Цікаўны вандраўнік Дзікай прыроды"
"Wilderness Curious Steal Target","Цікаўная цэль крадзежу для Дзікай прыроды"
"Wilderness Roamer","Валацуга Дзікай прыроды"
"Pattern Patrol","Шаблон патруля"
"Commander","Камандзір"
"Chained Animal","Жывёла на ланцугу"
"Meeting Location","Месца сустрэчы"
"Vermin Hunting","Паляванне на паразітаў"
"Seek Commander","Шукаць камандзіра"
"Return to Base","Вяртанне на базу"
"Mill Anywhere","Млын у любым месцы"
"Mill Building","Пабудова млыну"
"Move to Site","Рушыць к месцу"
"Sand Zone","Пясчаная зона"
"Clay Zone","Гліністая зона"
"Colony to Install","Калонія для ўстаноўкі"
"Return Colony To Install","Вярнуць Калонію для ўстаноўкі"
"Grab Cage","Узяць клетку"
"Uncage Animal","Вызваліць жывёлу з клеткі"
"Go to Shear Station","Ісці на станцыю стрыжкі"
"Grab Unfill Bucket","Узяць пустое вядро"
"Grab Goblet","Узяць кубак"
"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкі"
"Seek Patient for Immobilize Break","Шукаць пацыента для фіксацыі пераломаў"
"Seek Patient for Crutch","Шукаць пацыента для мыліцы"
"Seek Patient for Suturing","Шукаць пацыента для накладання швоў"
"Seek Unit For Job","Шукаць юніта для працы"
"warbler","чаротаўка"
"elk","алень"
"bull","бык"
"brawler","задзіра"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  What a pleasant surprise!  Not a single tree here weeps from the abuses meted out with such ease by your people.  Joy!  The dwarves have turned a page, not that we would make paper.  A travesty!  Perhaps it is better said that the dwarves have turned over a new leaf, and the springtime for our two races has only just begun.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Які прыемны сюрпрыз! Ні адно дрэва тут не плача ад гвалту, які з такой лёгкасцю чыніць ваш народ. Радасць! Гномы перагарнулі старонку... Мы б канешне не рабілі бы для гэтага аркуш паперы. Магчыма, лепш сказаць, што гномы перагарнулі лісце, і вясна для нашых дзвюх рас толькі пачалася."
