"more presumptious","domìçlivØjç¡"
"upper right back tooth","horn¡ pravì zadn¡ zub"
"upper right back teeth","horn¡ prav‚ zadn¡ zuby"
"first upper right premolar","prvn¡ horn¡ pravì týenovì zub"
"second upper right premolar","druhì horn¡ pravì týenovì zub"
"first upper right molar","prvn¡ horn¡ prav  stoliŸka"
"second upper right molar","druh  horn¡ prav  stoliŸka"
"lower right back tooth","doln¡ pravì zadn¡ zub"
"lower right back teeth","doln¡ prav‚ zadn¡ zuby"
"first lower right premolar","prvn¡ doln¡ pravì týenovì zub"
"second lower right premolar","druhì doln¡ pravì týenovì zub"
"first lower right molar","prvn¡ doln¡ pravì týenovì zub"
"second lower right molar","druh  doln¡ prav  stoliŸka"
"upper left back tooth","horn¡ levì zadn¡ zub"
"upper left back teeth","horn¡ levì zadn¡ zuby"
"first upper left premolar","prvn¡ horn¡ levì týenovì zub"
"second upper left premolar","druhì horn¡ levì týenovì zub"
"first upper left molar","prvn¡ horn¡ lev  stoliŸka"
"second upper left molar","druh  horn¡ lev  stoliŸka"
"lower left back tooth","doln¡ levì zadn¡ zub"
"lower left back teeth","doln¡ lev‚ zadn¡ zuby"
"first lower left premolar","prvn¡ doln¡ levì týenovì zub"
"second lower left premolar","druhì doln¡ levì týenovì zub"
"first lower left molar","prvn¡ doln¡ lev  stoliŸka"
"second lower left molar","druh  doln¡ lev  stoliŸka"
"right mandible","prav‚ kusadlo"
"left mandible","lev‚ kusadlo"
"bill","£Ÿtovat"
"tusk","bodnout klem"
"right claw","pravì dr p"
"left claw","levì dr p"
"right fifth leg","p t  prav  noha"
"left fifth leg","p t  lev  noha"
"right fifth foot","p t‚ prav‚ chodidlo"
"right fifth feet","p t  prav  chodidla"
"left fifth foot","p t‚ lev‚ chodidlo"
"left fifth feet","p t  lev  chodidla"
"left tail","levì ocas"
"right tail","pravì ocas"
"center tail","stýedovì ocas"
"right antenna","prav  ant‚na"
"left antenna","lev  ant‚na"
"third horn","týet¡ roh"
"fourth horn","Ÿtvrtì roh"
"fifth finger","p tì prst"
"center eyelid","stýedov‚ v¡Ÿko"
"hoof","kopytn¡"
"hooves","kopyta"
"paw","tlapka"
"paws","tlapky"
"skin","ko§enì"
"muscle","svalovì"
"cartilage","chrupavka"
"hair","£Ÿes"
"cheek whisker","vousy na tv ý¡ch"
"chin whisker","vousy na bradØ"
"moustache","kn¡r"
"sideburns","licousy"
"eyebrow","oboŸ¡"
"eyelash","ýasy"
"eyelashes","ýasy"
"feather","peý¡"
"scale","çupinatì"
"nail","dr povì"
"claw","dr p"
"talon","dr p"
"ivory","slonovinov "
"eye tissue","oŸn¡ tk å"
"nervous tissue","nervov  tk å"
"brain tissue","mozkov  tk å"
"lung tissue","plicn¡ tk å"
"heart tissue","srdeŸn¡ tk å"
"liver tissue","jatern¡ tk å"
"gut","stýevn¡"
"stomach tissue","§aludeŸn¡ tk å"
"gizzard tissue","§aludkov  tk å"
"pancreatic tissue","slinivkov  tk å"
"spleen tissue","slezinn  tk å"
"kidney tissue","ledvinov  tk å"
"flames","plamennì"
"spine","ostnatì"
"sponge","houba"
"Soap Maker's Workshop","Mìdl ýsk  D¡lna"
"Use tallow (rendered fat) or oil here with lye to make soap.","K vìrobØ mìdla pou§ijte l…j (çkvaýenì tuk) nebo olej s louhem."
"Screw Press","æroubovì Lis"
"A useful workshop for pressing liquids from various sources. Some plants might need to be milled first before they can be used.  Empty jugs are required to store the liquid products.","D¡lna pro lisov n¡ kapalin z r…znìch zdroj…. NØkter‚ rostliny bude mo§n  nutn‚ pýed pou§it¡m nejprve rozeml¡t. K uskladnØn¡ tekutìch produkt… jsou zapotýeb¡ pr zdn‚ d§b ny."
"Pet animal","Hlazen¡ zv¡ýete"
"pets","hlad¡"
"punches","£dery"
"slap","facka"
"slaps","facky"
"scratch","çkr bnut¡"
"scratches","çkrab n¡"
"bites","kousnut¡"
"stings","bodance"
"snatch at","chåapnout po"
"snatches at","chåap  po"
"stabs","bodl"
"snatches","chåap "
"Run","BØh"
"Jog","BØhat"
"Stroll","Proch zka"
"Creep","Pl¡§en¡"
"Gallop","Trysk"
"Canter","Cval"
"Trot","Klus"
"Fastest Walk","Rychl  ch…ze"
"Faster Walk","Rychl  ch…ze"
"Fast Walk","Svi§n  ch…ze"
"Slow Walk","Pomal  ch…ze"
"Slowest Walk","Pomalejç¡ ch…ze"
"Scramble","ækr b n¡ se"
"Faster Climb","Rychlejç¡ Lezen¡"
"Fast Climb","Rychl‚ Lezen¡"
"Slow Climb","Pomal‚ Lezen¡"
"Maximum Swim Speed","Plav n¡ ze vçech sil"
"Faster Swim","Rychl‚ Plav n¡"
"Fast Swim","Svi§nØjç¡ Plav n¡"
"Slow Swim","Pomalejç¡ Plav n¡"
"Creeping Swim","Pomal‚ Plav n¡"
"Faster Crawl","Rychlejç¡ Plazen¡"
"Fast Crawl","Rychl‚ Plazen¡"
"Slow Crawl","Pomal‚ Plazen¡"
"Maximum Flight Speed","Let Maxim ln¡ Rychlost¡"
"Faster Flight","Rychlejç¡ Let"
"Fast Flight","Rychlì Let"
"Slow Flight","Pomalì Let"
"Hover","Vzn çen¡ se"
"A squat amphibian with leathery skin, found in relatively dry areas.","Zavalitì oboj§iveln¡k s ko§ovitou k…§¡, vyskytuj¡c¡ se v relativnØ suchìch oblastech."
"toad","ropucha"
"toads","ropuchy"
"toad man","ropuç k"
"toad men","ropuç ci"
"toad woman","ropuçaŸka"
"toad women","ropuçaŸky"
"A dark green man with the distinct head of a toad.","TmavØ zelenì mu§ s hlavou ropuchy."
"giant toad","obý¡ ropucha"
"giant toads","obý¡ ropuchy"
"A huge monster in the shape of a toad.","Obrovsk  pý¡çera ve tvaru ropuchy."
"A tiny burrowing creature, found in moist soil.  It is legless, long and thin.","Drobnì beznohì tvor nach zej¡c¡ se ve vlhk‚ p…dØ.  Je dlouhì a tenkì."
"worm","Ÿerv"
"worms","Ÿervy"
"wriggling","sv¡jej¡c¡ se"
"worm man","Ÿerv k"
"worm men","Ÿerv ci"
"A worm-like creature with the torso of a man.","¬erv¡ pý¡çera s tØlem ŸlovØka."
"A small blue-crested bird living in temperate woodlands, known for its harsh chirps.","Malì modrì chocholatì pt k §ij¡c¡ v les¡ch m¡rn‚ho p sma, zn mì svìm charakteristickìm cvrlik n¡m."
"blue jay","sojka modr "
"blue jays","sojky modr‚"
"blue jay hatchling","vyl¡hl‚ ml dØ sojky modr‚"
"blue jay hatchlings"," vyl¡hnut‚ ml Ôata sojky modr‚"
"coloration","zbarven¡"
"feathers","peý¡"
"bluejay man","mu§sk  sojka modr "
"bluejay men","mu§sk‚ sojky modr‚"
"bluejay woman","§ena sojky modr‚"
"bluejay women","§eny sojky modr‚"
"A person with the head and wings of a bluejay.","¬lovØk s hlavou a ký¡dly sojky modr‚."
"giant bluejay","obý¡ sojka modr "
"giant bluejays","obý¡ sojky modr‚"
"giant bluejay hatchling","ml dØ obý¡ sojky modr‚"
"giant bluejay hatchlings","ml Ôata obý¡ sojky modr‚"
"A huge monster in the form of a bluejay.","Obrovsk  pý¡çera v podobØ sojky modr‚."
"A small bright red bird with a distinctive crest, found in temperate forests.","Malì jasnØ Ÿervenì pt k s vìraznìm hýebenem, kterì se vyskytuje v les¡ch m¡rn‚ho p sma."
"cardinal","kardin lov "
"cardinals","kardin li"
"cardinal hatchling","vyl¡hnutì kardin l"
"cardinal hatchlings","vyl¡hnut¡ kardin li"
"cardinal man","mu§skì kardin l"
"cardinal men","mu§çt¡ kardin la"
"cardinal woman","§ena kardin la"
"cardinal women","§eny kardin la"
"A person with the head and wings of a cardinal.","¬lovØk s hlavou a ký¡dly kardin la."
"giant cardinal","obý¡ kardin l"
"giant cardinals","obý¡ karidn lov‚"
"giant cardinal hatchling","ml dØ obý¡ kardin l"
"giant cardinal hatchlings","ml Ôata obý¡ho kardin la"
"A huge monster in the form of a cardinal.","Obrovsk  pý¡çera v podobØ kardin la."
"A small gregarious bird, blue and black with yellow eyes, found in temperate pastures.","Malì spoleŸenskì pt k s modro Ÿernìm zbarven¡m a §lutìma oŸima, kterì se vyskytuje na pastvin ch v m¡rn‚m p smu."
"grackle","vlhovec"
"grackles","vlhovcov‚"
"grackle hatchling","vyl¡hnutì vlhovec"
"grackle hatchlings"," vyl¡hnut¡ vlhovcov‚"
"raucous calls","chraplav‚ cvrlik n¡"
"grackle man","mu§skì vlhovec"
"grackle men","mu§çt¡ vlhovci"
"grackle woman","§ena vlhovece"
"grackle women","§eny vlhovce"
"A person with the head and wings of a grackle.","¬lovØk s hlavou a ký¡dly vlhovce."
"giant grackle","obý¡ vlhovec"
"giant grackles","obý¡ vlhovcov‚"
"giant grackle hatchling","ml dØ obý¡ vlhovec"
"giant grackle hatchlings","ml Ôata obý¡ho vlhovce"
"A huge monster in the form of a grackle.","Obrovsk  pý¡çera v podobØ vlhovce"
"A small yellow and black bird.  They feed in the canopy of the forest.","Malì §luto Ÿernì pt k §ij¡c¡ v korun ch strom…."
"oriole","§luva"
"orioles","§luvy"
"oriole hatchling","vyl¡hnut  §luva"
"oriole hatchlings","vyl¡hnut‚ §luvy"
"oriole man","mu§sk  §luva"
"oriole men","mu§sk‚ §luvy"
"oriole woman","§ena §luvy"
"oriole women","§eny §luvy"
"A person with the head and wings of an oriole.","Osoba s hlavou a ký¡dly ze §luvy."
"giant oriole","obý¡ §luva"
"giant orioles","obý¡ §luvy"
"giant oriole hatchling","ml dØ obý¡ §luvy"
"giant oriole hatchlings","ml Ôata obý¡ §luvy"
"A huge monster in the form of an oriole.","Obrovsk  pý¡çera v podobØ §luvy."
"A small black bird with bright red markings under the wings.  They live in the marshland.","Malì Ÿernì pt k s jasnØ Ÿervenìmi znaky pod ký¡dly. ¦ij¡ v ba§in ch."
"red-winged blackbird","kos rudoký¡dlì"
"red-winged blackbirds","kosi rudoký¡dl¡"
"red-winged blackbird hatchling","vyl¡hlì kos rudoký¡dlì"
"red-winged blackbird hatchlings","vil¡hl¡ kosi rudoký¡dl¡"
"red-winged blackbird man","mu§skì kos rudoký¡dlì"
"red-winged blackbird men","mu§çt¡ kosi rudoký¡dlì"
"red-winged blackbird woman","§enskì kos rudoký¡dlì"
"red-winged blackbird women","§ençt¡ kosi rudoký¡dlì"
"A person with the head and wings of a red-winged blackbird.","osoba s hlavou a ký¡dly kosa rudoký¡dl‚ho."
"giant red-winged blackbird","obý¡ kos rudoký¡dlì"
"giant red-winged blackbirds","obý¡ kosi rudoký¡dl¡"
"giant red-winged blackbird hatchling","ml dØ obý¡ho kosa rudoký¡dl‚ho"
"giant red-winged blackbird hatchlings","ml Ôata obý¡ho kos… rudoký¡dl¡ch"
"A huge monster in the form of a red-winged blackbird.","Obrovsk  pý¡çera v podobØ kosa rudoký¡dl‚ho.."
"A small flightless bird that lives on arctic shorelines.","Malì nel‚tavì pt k, kterì §ije na arktickìch pobýe§¡ch."
"penguin","tuŸå k"
"penguins","tuŸå ci"
"penguin chick","ml dØ tuŸå ka"
"penguin chicks","ml Ôata tuŸå k…"
"waddling gait","kol‚bav  ch…ze"
"way of flying through the water","zp…sob l‚t n¡ skrze vodu"
"belly","býicho"
"A small flightless bird, blue in color, that lives on arctic shorelines.","Malì nel‚tavì pt k modr‚ barvy, kterì §ije na arktickìch pobýe§¡ch."
"little penguin","malì tuŸå k"
"little penguins","mal¡ tuŸå ci"
"little penguin chick","mal‚ ml dØ tuŸå ka"
"little penguin chicks","mal‚ ml Ôata tuŸå k…"
"small size","mal  velikost"
"A small flightless bird, it is the largest of the natural penguins.  It is known for its treks through leagues of glacial ice.","Malì nel‚tavì pt k, je nejvØtç¡ z pý¡rodn¡ch tuŸå k…. Je zn mì pro sv‚ t£ry pýes m¡le ledovcov‚ho pý¡krovu."
"emperor penguin","tuŸå k c¡saýskì"
"emperor penguins","tuŸå ci c¡saýçt¡"
"emperor penguin chick","ml dØ tuŸå ka c¡saýsk‚ho"
"emperor penguin chicks","ml Ôata tuŸå ka c¡saýsk‚ho"
"large size","velk  velikost"
"penguin man","mu§skì tuŸå k"
"penguin men","mu§çt¡ tuŸå ci"
"penguin woman","§enskì tuŸå k"
"penguin women","§ençt¡ tuŸå ci"
"A humanoid with the head, feet, and feathers of a penguin.","Humanoid s hlavou, nohama a peý¡m tuŸå ka."
"giant penguin","obý¡ tuŸå k"
"giant penguins","obý¡ tuŸå ci"
"giant penguin chick","ml dØ obý¡ho tuŸå ka"
"giant penguin chicks","ml Ôata obý¡ch tuŸå k…"
"A huge monster, shaped like a penguin.","Obrovsk‚ monstrum vypadaj¡c¡ jako tuŸå k."
"enormous size","obrovsk  velikost"
"A small bird of prey that is capable of great speed.  They dive on unsuspecting vermin.","Malì dravec, kterì je schopen velk‚ rychlosti. Pot p¡ se na nic netuç¡c¡ koýist."
"peregrine falcon","sokol stØhovavì"
"peregrine falcons","sokoli stØhovav¡"
"peregrine falcon chick","ml dØ sokola stØhovav‚ho"
"peregrine falcon chicks","ml Ôata sokol… stØhovav¡ch"
"ability to dive through the air","schopnost stýemhlav‚ho letu"
"tiercel peregrine","sokol stØhovavì"
"tiercel peregrines","sokoli stØhovavì"
"peregrine falcon man","mu§skì sokol stØhovavì"
"peregrine falcon men","mu§çt¡ sokoli stØhovavì"
"peregrine falcon woman","§ena sokola stØhovav‚ho"
"peregrine falcon women","§eny sokola stØhovav‚ho"
"A person with the head and wings of a peregrine falcon.","Osoba s hlavou a ký¡dly sokola stØhovav‚ho."
"giant peregrine falcon","obý¡ sokol stØhovavì"
"giant peregrine falcons","obý¡ sokoli stØhovavì"
"giant peregrine falcon chick","ml dØ obý¡ho sokola stØhovav‚ho"
"giant peregrine falcon chicks","ml Ôata obý¡ch sokol… stØhovav¡ch"
"A large bird monster that is the same shape as a peregrine falcon.","Velk  ptaŸ¡ pý¡çera, kter‚ m  stejnì tvar jako sokol stØhovavì."
"giant tiercel peregrine","obý¡ sokol stØhovavì"
"giant tiercel peregrines","obý¡ sokoli stØhovavì"
"A small, brown, flightless bird.  It eats insects and grubs and is known for its keen sense of smell.","Malì hnØdì nel‚tavì pt k. ¦iv¡ se hmyzem a housenkami a je zn mì svìm bystrìm Ÿichem."
"kiwi","kiwi"
"kiwis","kiwi"
"kiwi chick","kiwi kuýe"
"kiwi chicks","kiwi kuýata"
"long beaks","dlouh‚ zob ky"
"root around in","hrabat v"
"roots around in","hrabe v"
"kiwi hen","kiwi slepice"
"kiwi hens","kiwi slepice"
"kiwi cock","kiwi kohout"
"kiwi cocks","kiwi kouhouti"
"kiwi man","mu§skì kiwi"
"kiwi men","mu§çt¡ kiwi"
"kiwi woman","§enskì kiwi"
"kiwi women","§ençt¡ kiwi"
"A person with the head and feathers of a kiwi.","Osoba s hlavou a peý¡m kiwi."
"giant kiwi","obý¡ kiwi"
"giant kiwis","obý¡ kiwi"
"giant kiwi chick","obý¡ kiwi kuýe"
"giant kiwi chicks","obý¡ kiwi kuýata"
"A large monster with a long nose and brown feathers.","Velk  pý¡çera s dlouhìm nosem a hnØdìm peý¡m."
"giant kiwi cock","obý¡ kiwi kohout"
"giant kiwi cocks","obý¡ kiwi kohouti"
"giant kiwi hen","obý¡ kiwi slepice"
"giant kiwi hens","obý¡ kiwi slepice"
"great size","velikost"
"A large flightless bird that runs through the savanna.  It has a long neck and legs.","Velkì nel‚tavì pt k, kterì se proh n¡ savanou. M  dlouhì krk a nohy."
"ostrich","pçtros"
"ostriches","pçtrosi"
"ostrich chick","ml dØ pçtrosa"
"ostrich chicks","ml Ôata pçtrosa"
"long necks","dlouh‚ krky"
"giant eggs","obý¡ vejce"
"ostrich hen","§ena pçtrosa"
"ostrich hens","§eny pçtrosa"
"ostrich cock","mu§skì pçtos"
"ostrich cocks","mu§çt¡ pçtrosi"
"tail feathers","ocasn¡ peý¡"
"head and neck down","zlomen  hlava a krk"
"ostrich man","mu§skì pçtros"
"ostrich men","mu§çt¡ pçtrosi"
"ostrich woman","§ena pçtrosa"
"ostrich women","§eny pçtrosa"
"This is a medium-sized creature with legs and arms, but the long neck and head of an ostrich.","Je to stýednØ velkì tvor s nohama a rukama, ale dlouhìm krkem a hlavou pçtrosa."
"giant ostrich","obý¡ pçtros"
"giant ostriches","obý¡ pçtrosi"
"giant ostrich chick","obý¡ pçtr‚s¡ kuýe"
"giant ostrich chicks","obý¡ pçtros¡ kuýata"
"A huge bird monster with extremely long legs and neck.","Obrovsk‚ ptaŸ¡ monstrum s extr‚mnØ dlouhìma nohama a krkem."
"giant ostrich cock","obý¡ pçtros¡ kohout"
"giant ostrich cocks","obý¡ pçtros¡ kohouti"
"giant ostrich hen","obý¡ pçtros¡ slepice"
"giant ostrich hens","obý¡ pçtros¡ slepice"
"A small black bird that feeds on carrion.  It is social, very intelligent and knows how to use tools.","Malì Ÿernì pt k, kterì se §iv¡ mrçinami. Je spoleŸenskì, velmi inteligentn¡ a um¡ pou§¡vat n stroje."
"crow","vr na"
"crows","vr ny"
"crow hatchling","p¡skle vr ny"
"crow hatchlings","p¡sklata vr ny"
"intelligence","inteligence"
"crow man","mu§sk  vr na"
"crow men","m§sk‚ vr ny"
"crow woman","§ena vr ny"
"crow women","§eny vr ny"
"A small person with the head and wings of a crow.","Malì ŸlovØk s hlavou a ký¡dly vr ny."
"giant crow","obý¡ vr na"
"giant crows","obý¡ vr ny"
"giant crow hatchling","p¡skle obý¡ vr ny"
"giant crow hatchlings","p¡sklata obý¡ vr ny"
"A large bird-like monster, even more deadly when found in groups.","Velk  ptaŸ¡ nestv…ra, kter  je ve skupin ch jeçtØ smrtelnØjç¡."
"A small, foreboding black bird that feeds on carrion.  It is social, very intelligent, and knows how to use tools.","Malì Ÿernì pt k, kterì se §iv¡ mrçinami.  Je spoleŸenskì, velmi inteligentn¡ a um¡ pou§¡vat n stroje."
"raven","havran"
"ravens","havrani"
"raven hatchling","havran¡ ml dØ"
"raven hatchlings","havran¡ ml Ôata"
"raven man","havran¡ mu§"
"raven men","havran¡ mu§i"
"raven woman","havran¡ §ena"
"raven women","havran¡ §eny"
"A person with the head and wings of a raven.","Osoba s hlavou a ký¡dly havrana."
"giant raven","obý¡ havran"
"giant ravens","obý¡ havrani"
"giant raven hatchling","p¡skle obý¡ho havrana"
"giant raven hatchlings","p¡sklata obý¡ho havrana"
"A small, flightless, brightly-colored bird.","Malì, nel‚tavì, pestýe zbarvenì pt k."
"cassowary","kasu r"
"cassowaries","kasu ýi"
"cassowary chick","kuý tko kasu ra"
"cassowary chicks","kazu ý¡ kuý tka"
"casques","pýilby"
"cassowary man","mu§skì kasu r"
"cassowary men","mu§çt¡ kasu ýi"
"cassowary woman","§ena kasu ra"
"cassowary women","§eny karu ra"
"A brightly-colored person with the head of a cassowary.","JasnØ zbarven  osoba s hlavou kasu ra."
"giant cassowary","obý¡ kasu r"
"giant cassowaries","obý¡ kasu ýi"
"giant cassowary chick","obý¡ kuý tko kasu ra"
"giant cassowary chicks","obý¡ kuýata kasu ra"
"A huge monster in the shape of a cassowary.","Obrovsk  pý¡çera ve tvaru kasu ra."
"A small, green, intelligent mountain parrot.","Malì, zelenì, inteligentn¡ horskì papouçek."
"kea chick","kuýe keya"
"kea chicks","kea kuý tka"
"kea man","mu§skì kea"
"kea men","mu§çt¡ kea"
"kea woman","§ena kea"
"kea women","§eny kea"
"A green person with the head of a kea.","Zelenì tvor s hlavou kea."
"giant kea","obý¡ kea"
"giant kea chick","obý¡ kuýe kea"
"giant kea chicks","obý¡ kea kuýata"
"A monster many times the size of an ordinary kea.","Monstrum mnohokr t vØtç¡ ne§ obyŸejnì kea."
"A small white bird that hunts in the coldest reaches of the world.","Malì b¡lì pt k, kterì lov¡ v nejchladnØjç¡ch konŸin ch svØta."
"snowy owl","sova snØ§n "
"snowy owls","sovy snØ§n‚"
"snowy owl chick","kuýe sovy snØ§n‚"
"snowy owl chicks","kuýata sovy snØ§n‚"
"yellow eyes","§ut‚ oŸi"
"snowy owl man","mu§sk  sova snØ§n "
"snowy owl men","mu§sk‚ sovy snØ§n‚"
"snowy owl woman","§ena sovy snØ§n‚"
"snowy owl women","§eny sovy snØ§n‚"
"A person with the wings and head of a snowy owl.","Osoba s ký¡dly a hlavou sovy snØ§n‚."
"giant snowy owl","obý¡ sova snØ§n "
"giant snowy owls","obý¡ sovy snØ§n‚"
