"more presumptious","mais presunáoso"
"elk women","mulheres-alce"
"A person with the head of an elk.","Uma pessoa com cabeáa de alce."
"giant elk","alce gigante"
"giant elk fawn","alce gigante castanho"
"giant elk fawns","alces gigantes castanhos"
"A huge monster in the form of an elk.","Um enorme monstro na forma de um uapiti."
"A huge predatory mammal covered in white hair.  It hunts the shores along tundra and glaciers.","Uma enorme mam°fero predador coberta de cabelos brancos. Ele caáa as margens ao longo tundra e geleiras."
"polar bear","Urso polar"
"polar bears","os ursos polares"
"polar bear cub","filhote de urso polar"
"polar bear cubs","filhotes de urso polar"
"polar bear man","homem urso polar"
"polar bear men","homem urso polar"
"polar bear woman","mulher urso polar"
"polar bear women","mulher urso polar"
"A large person with the head of a polar bear.","Uma grande pessoa com a cabeáa de um urso polar."
"giant polar bear","urso polar gigante"
"giant polar bears","ursos polares gigantes"
"giant polar bear cub","filhote de urso polar gigante "
"giant polar bear cubs"," filhotes de urso polar gigante"
"A huge monster in the shape of a polar bear.","Um enorme monstro na forma de um urso polar."
"A small, muscular, weasel-like creature.  It is known for its ferocity.","Uma pequena, muscular, criatura doninha-like. ê conhecida por sua ferocidade."
"wolverine","Wolverine"
"wolverines","wolverines"
"wolverine kit","kit wolverine"
"wolverine kits","kits wolverine"
"wolverine man","Homem wolverine"
"wolverine men","Men Wolverine"
"wolverine woman","Mulher wolverine"
"wolverine women","mulheres wolverine"
"A person with the head and tail of a wolverine.","Uma pessoa com a cabeáa ea cauda de um wolverine."
"giant wolverine","wolverine gigante"
"giant wolverines","wolverines gigantes"
"giant wolverine kit","kit wolverine gigante"
"giant wolverine kits","kits wolverine gigantes"
"A large, terrifying monster the shape of a wolverine.","Um grande e aterrorizante monstro a forma de um wolverine."
"A tiny furry rodent dwelling in the hollow cracks of rocks.  They can be found high in the mountains.","Uma pequena habitaá∆o roedor peludo nas rachaduras ocas de rochas. Eles podem ser encontrados no alto das montanhas."
"chinchillas","chinchilas"
"chinchilla kit","kit chinchila"
"chinchilla kits","kits de chinchila"
"fur","pele"
"chinchilla man","chinchila homem"
"chinchilla men","homens chinchila"
"chinchilla woman","chinchila mulher"
"chinchilla women","chinchila mulheres"
"A hairy person with the head and tail of a chinchilla.","Uma pessoa cabeludo com a cabeáa ea cauda de uma chinchila."
"giant chinchilla","chinchila gigante"
"giant chinchillas","chinchilas gigantes"
"giant chinchilla kit","kit chinchila gigante"
"giant chinchilla kits","kits de chinchila gigante"
"A large monster in the shape of a chinchilla.","Um grande monstro em forma de uma chinchila."
"A transparent and amorphous monster that lives underground.  It is small in size and is found crawling across the cavern floor.  Its organs appear to be floating inside of its body.","Um monstro transparente e amorfa que vive no subsolo. ê pequeno no tamanho e Ç encontrado rastejando pelo ch∆o da caverna. Seus ¢rg∆os parecem estar flutuando dentro de seu corpo."
"floating guts","v°sceras flutuantes"
"freakish appearance","aparància bizarra"
"A large quadruped with a mane circling its manlike face and hands at the end of its forelimbs.  It lives underground and is fond of raiding the supplies of cavern outposts.","Um grande quadr£pede com uma juba circulando seu rosto m†sculo e as m∆os no final de suas patas dianteiras. Ele vive no subsolo e gosta de invadir os fornecimentos de postos avanáados da caverna."
"manes"," manes"
"A small underground monster that crawls across the cavern wall with its four clawed hands.  It has a single large eye which can shine with its own light, otherwise its stony skin blends in with the rock.  It has no mouth and is said to feed on evil alone.","Um pequeno monstro subterrÉneo que rasteja atravÇs da parede da caverna com suas quatro m∆os com garras. Tem um £nico grande olho que pode brilhar com luz pr¢pria, caso contr†rio, sua pele de pedra combina com o rock. Ele n∆o tem boca e Ç dito para se alimentar mal sozinho."
"creeping eye","rastejando olho"
"creeping eyes","rastejando olhos"
"unnerving stare","enervante olhar fixo"
"A huge cave monster with hundreds of feet moving along the bottom of its long body.  In place of a head, it has an enormous toothy maw.","Um monstro enorme caverna com centenas de pÇs se movendo ao longo da parte inferior do seu corpo longo. No lugar de uma cabeáa, que tem uma enorme bucho cheio de dentes."
"voracious cave crawler","voraz rastreador caverna"
"voracious cave crawlers","crawlers caverna vorazes"
"scary mouths","bocas assustadoras"
"A large cavern-dwelling humanoid monster.  It has a gaping mouth with many sharp teeth.  It has no eyes and only two digits on each hand and foot.","Um grande monstro human¢ide-moradia caverna. Ele tem uma boca aberta com muitos dentes afiados. Ele n∆o tem olhos e apenas dois dedos em cada m∆o e pÇ."
"blind cave ogre","cego ogre caverna"
"blind cave ogres","ogres cavernas cegos"
"echoing howls","uivos ecoando"
"A tiny amphibian with a long prehensile tail.  It lives in underground swamps and tower-cap forests on which it feeds.","Um pequeno anf°bio com uma longa cauda preànsil. Ela vive em pÉntanos e florestas subterrÉneas torre-tamp∆o de que se alimenta."
"cap hopper","cap funil"
"cap hoppers","cap funis"
"swinging antics","balanáando palhaáadas"
"A small rock-eating creature that lives in molten rock.  It scurries on little feet and swims through liquid rock with sharp wings.  It uses magma to digest rock and spits out burning globs.","A pequena criatura que se alimentam de rock que vive na rocha derretida. Scurries em pezinhos e nada atravÇs rocha l°quida com asas afiadas. Ele usa magma para digerir rock e cospe bolhas queimando."
"magma crab","Caranguejo do magma"
"magma crabs","caranguejos de magma"
"Spit molten rock","Cuspir rocha derretida"
"spit a glob of molten rock","cuspir uma bola de rocha derretida"
"spits a glob of molten rock","cospe uma bola de rocha derretida"
"A tiny underground monster with large claws and horns.  It walks on two legs and is dangerous when encountered in large numbers.","Um pequeno monstro subterrÉneo com grandes garras e chifres. Ele caminha sobre duas pernas e Ç perigoso quando encontrados em grandes n£meros."
"nervous energy","nervoso energia"
"A fearsome, long-toothed mouth the size of a man's head, flying on bat wings.  It is found in deep caves.","A tem°vel, boca longa-toothed do tamanho da cabeáa de um homem, voando nas asas de morcego. Pode ser encontrada em cavernas profundas."
"hungry head","cabeáa com fome"
"hungry heads","fome cabeáas"
"A large ball of skin found moving around the debris near underground ponds.  It is there that it absorbs dead matter for food.","A grande bola de pele encontrado movendo-se os restos perto de lagos subterrÉneos. ê l† que ele absorve matÇria morta para o alimento."
"flesh ball","carne bola"
"flesh balls","bolas de carne"
"calming roundness","acalmar redondeza"
"warmth","calor"
"flesh","carne"
"A large creature found grazing on mushrooms deep underground.  It walks on two legs and has the head of a bird with the antlers of a great elk.","Uma grande criatura encontrada nas profundezas do subterrÉneo, pastando por cogumelos.  Caminha sobre duas patas e tem a cabeáa de uma ave com chifres de um grande alce."
"elk bird","alces p†ssaro"
"elk birds","alces p†ssaros"
"elk bird hatchling","alces p†ssaro hatchling"
"elk bird hatchlings","filhotes de alce de aves"
"elegant horns","chifres elegantes"
"A snake-like creature living deep underground.  Its head is covered in armor so that is resembles the head of a dragon.","Uma criatura de serpente vivendo no subsolo. Sua cabeáa est† coberto de armadura de modo que Ç se assemelha Ö cabeáa de um drag∆o."
"helmet snake","capacete cobra"
"helmet snakes","cobras capacete"
"impressive heads","cabeáas impressionantes"
"frozen helmet snake venom","capacete congelado veneno de serpente"
"helmet snake venom","Capacete de veneno de serpente"
"boiling helmet snake venom","fervente capacete veneno de serpente"
"helmet snake bite","Capacete de picada de cobra"
"A medium-sized monster walking on two clawed legs.  It has two mouths on the ends of a pair of tentacles.  It uses its mouths to digest its victims with acid and rows of razor-like teeth.","A uma curta monstro de tamanho mÇdio com duas pernas garras. Ele tem duas bocas nas extremidades de um par de tent†culos. Ele usa suas bocas para digerir suas v°timas com †cido e fileiras de dentes razor-like."
"green devourer","devorador verde"
"green devourers","devoradores verdes"
"A huge monster with an enormous tail, covered with thick fur.  They run on four legs and can be found deep under the earth.","A enorme monstro com uma enorme cauda, coberta com pele grossa. Elas funcionam com quatro pernas e pode ser encontrada no fundo debaixo da terra."
"enormous tails","enormes caudas"
"A tiny underground creature made of a mass of appendages resembling human fingers.  It creeps across the ground like a starfish and eats with a mouth on the bottom of its body.","Uma criatura min£scula subterrÉneo feito de uma massa de apàndices que se assemelham a dedos humanos. Ele se arrasta pelo ch∆o como uma estrela do mar e come com a boca na parte inferior do seu corpo."
"creepy crawler","esteira rolante assustador"
"creepy crawlers","esteiras rolantes assustadores"
"freakish wriggling","freakish contorcendo"
"A large, long-bodied grazer with a thick mane that feeds on the tops of towercap mushrooms deep under the earth.","Um grande herb°voro de corpo comprido com uma crina espessa que se alimenta dos topos dos cogumelos towercap nas profundezas da terra."
"lustrous manes","manes brilhantes"
"A gigantic version of its tiny cousin, this long, slimy creature tunnels through the rocks deep underground.","Uma vers∆o gigantesca de seu min£sculo primo, esta longa, t£neis criatura viscosa atravÇs das rochas no subsolo."
"giant earthworm","minhoca gigante"
"giant earthworms","minhocas gigantes"
"awesome presence","presenáa impressionante"
"A man-shaped abomination made entirely of blood.  These cursed creatures are only found very near the underworld.","A abominaá∆o em forma de homem feito inteiramente de sangue. Estas criaturas amaldiáoadas s¢ s∆o encontrados muito perto do submundo."
"blood man","Homem de sangue"
"blood men","os homens de sangue"
"frozen corrupted blood","sangue corrompido congelados"
"corrupted blood","sangue corrompido"
"boiling corrupted blood","ferver o sangue corrompido"
"A small bat-like creature with the head of an insect.  It is found deep underground.","A pequena criatura morcego com a cabeáa de um inseto. Pode ser encontrada no subsolo."
"bugbat pup","bugbat cachorro"
"bugbat pups","bugbat filhotes"
"freakish insect heads","cabeáas de insetos monstruosos"
"A creature that crawls along the cavern ceiling with four long arms.  Its body is shaped as the head of a man with a mouth full of shark teeth.  It waits for its prey to pass below.","Uma criatura que se arrasta ao longo do teto da caverna, com quatro braáos longos. Seu corpo est† em forma como a cabeáa de um homem com uma boca cheia de dentes de tubar∆o. Ele aguarda sua presa para passar a seguir."
"A hideous monster that has the body of a giant mole-rat and the torso of a mole-rat man.   It is found deep underground.","Um monstro horr°vel que tem o corpo de uma toupeira-rato gigante eo torso de um homem toupeira-rato. Pode ser encontrada no subsolo."
