"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"dungeon","loch"
"tower","wieæa"
"Unknown structure","Nieznana struktura"
"Machine node out of bounds on split","W©zeà maszyny poza granic• podziaàu"
"Failed to find machine node frontier on split","Nie udaào si© znale´Ü w©zàa maszyny na granicy podziaàu"
"Unreachable machine node on split","Nieosi•galny w©zeà maszyny w podziale"
"/LPAGE","/STRONA"
" above which hang "," nad kt¢rymi wisz• "
"boiling magma","wrz•ca magma"
"amber","bursztyn"
"ground amber","zmielony bursztyn"
"amber paste","pasta bursztynowa"
"pressed amber","tàoczony bursztyn"
"coral","koral"
"ground coral","koral ziemny"
"coral paste","pasta koralowa"
"pressed coral","koral prasowany"
"green glass","zielone szkào"
"ground green glass","szlifowane zielone szkào"
"green glass paste","zielona pasta szklana"
"pressed green glass","tàoczone zielone szkào"
"molten green glass","stopione zielone szkào"
"boiling green glass","wrz•ce zielone szkào"
"clear glass","przezroczyste szkào"
"ground clear glass","szlifowane przezroczyste szkào"
"clear glass paste","przezroczysta pasta szklana"
"pressed clear glass","prasowane przezroczyste szkào"
"molten clear glass","stopione przezroczyste szkào"
"boiling clear glass","wrz•ce przezroczyste szkào"
"crystal glass","szkào krysztaàowe"
"ground crystal glass","szlifowane szkào krysztaàowe"
"crystal glass paste","pasta ze szkàa krysztaàowego"
"pressed crystal glass","prasowane szkào krysztaàowe"
"molten crystal glass","stopione szkào krysztaàowe"
"boiling crystal glass","wrz•ce szkào krysztaàowe"
"snow","ònieg"
"coal","w©giel"
"coal powder","proszek w©glowy"
"coal slush","breja w©glowa"
"pressed coal","w©giel prasowany"
"potash","potaæ"
"potash slush","breja potasowa"
"pressed potash","prasowany potaæ"
"ash paste","pasta popioàowa"
"pearlash","peràa"
"pearlash paste","pasta peràowa"
"pressed pearlash","prasowane rz©sy peràowe"
"frozen lye","zamroæony àug"
"frozen lye powder","mroæony àug w proszku"
"lye slush","breja àugowa"
"boiling lye","wrz•cy àug"
"dirt","brud"
"pressed dirt","sprasowane zanieczyszczenia"
"pressed vomit","wyciòni©te wymiociny"
"molten salt","stopiona s¢l"
"boiling salt","s¢l warzona"
"pressed filth","wciòni©ty syf"
"frozen filth","zamroæony syf"
"frozen filth powder","mroæony proszek plugawy"
"filth slush","brudna breja"
"boiling filth","wrz•cy brud"
"grime","brud"
"grime paste","pasta na brud"
"pressed grime","odciòni©ty brud"
"Unsupported CE add tag: ","Nieobsàugiwany znacznik dodawania CE: "
"Unsupported CE remove tag: ","Nieobsàugiwany znacznik usuwania CE: "
" cough"," kaszel"
" coughs"," kaszel"
" up blood."," krew."
" vomit"," wymiociny"
" blood."," krew."
"doesn't think much about the idea of perseverance","nie myòli zbyt wiele o idei wytrwaàoòci"
"--- Logging Inorganic ","--- logowanie nieorganiczne "
": Could not locate material template ",": Nie moæna zlokalizowaÜ szablonu materiaàu "
" trunk"," bagaænik"
" roots"," korzenie"
" branches"," oddziaày"
" twigs"," gaà•zki"
" cap"," czapka"
"--- Logging Plant ","--- Zakàad pozyskiwania drewna "
"Sharp blades","Ostre ostrza"
"Extract ","Wyci•g "
" strands"," pasma"
"Ore of ","Ruda "
"inorganic","nieorganiczny"
" skipped: identifier cannot start with 'vanilla'."," pomini©to: identyfikator nie moæe zaczynaÜ si© od ""vanilla""."
" skipped: identifier cannot start with 'classic'."," pomini©te: identyfikator nie moæe zaczynaÜ si© od ""classic""."
"Mod identifier ","Identyfikator modyfikacji "
" has characters that can't be used in filename.  Loading without these characters."," zawiera znaki, kt¢rych nie moæna uæyÜ w nazwie pliku. ùadowanie bez tych znak¢w."
"Identifier ","Identyfikator "
" has characters that can't be used in filename."," zawiera znaki, kt¢rych nie moæna uæyÜ w nazwie pliku."
"Two installed mods have the same id and numeric version: ","Dwa zainstalowane mody maj• ten sam identyfikator i wersj© numeryczn•: "
"Two uninstalled mods have the same id and numeric version: ","Dwa odinstalowane mody maj• ten sam identyfikator i wersj© numeryczn•: "
").  Using the first encountered: ","). Korzystanie z pierwszego napotkanego: "
"Failed to find vanilla text header.","Nie udaào si© znale´Ü nagà¢wka podstawowego tekstu."
"Failed to find vanilla languages header.","Nie udaào si© znale´Ü nagà¢wka podstawowych j©zyk¢w."
"Failed to find vanilla descriptors header.","Nie udaào si© znale´Ü nagà¢wka podstawowych opis¢w."
"Failed to find vanilla materials header.","Nie znaleziono nagà¢wka materiaà¢w waniliowych."
"Failed to find vanilla environment header.","Nie udaào si© znale´Ü nagà¢wka podstawowego òrodowiska."
"Failed to find vanilla plants header.","Nie udaào si© znale´Ü nagà¢wka roòlin wanilii."
"Failed to find vanilla items header.","Nie znaleziono nagà¢wka element¢w waniliowych."
"Failed to find vanilla buildings header.","Nie udaào si© znale´Ü nagà¢wka budynk¢w waniliowych."
"Failed to find vanilla bodies header.","Nie udaào si© znale´Ü nagà¢wka vanilla bodies."
"Failed to find vanilla creatures header.","Nie udaào si© znale´Ü nagà¢wka vanilla creatures."
"Failed to find vanilla entities header.","Nie znaleziono nagà¢wka podmiot¢w waniliowych."
"Failed to find vanilla reactions header.","Nie znaleziono nagà¢wka reakcji waniliowych."
"Failed to find vanilla interactions header.","Nie znaleziono nagà¢wka interakcji waniliowych."
"Failed to find vanilla descriptors graphics header.","Nie znaleziono nagà¢wka grafiki deskryptor¢w wanilii."
"Failed to find vanilla plants graphics header.","Nie udaào si© znale´Ü nagà¢wka grafiki roòlin wanilii."
"Failed to find vanilla items graphics header.","Nie udaào si© znale´Ü nagà¢wka grafiki element¢w waniliowych."
"Failed to find vanilla buildings graphics header.","Nie znaleziono nagà¢wka grafiki budynk¢w waniliowych."
"Failed to find vanilla creatures graphics header.","Nie udaào si© znale´Ü nagà¢wka grafiki vanilla creatures."
"Failed to find vanilla world map header.","Nie udaào si© znale´Ü nagà¢wka mapy òwiata wanilii."
"Failed to find vanilla interface header.","Nie znaleziono nagà¢wka interfejsu waniliowego."
"Failed to find vanilla music header.","Nie znaleziono nagà¢wka muzyki waniliowej."
"the Festival","Festiwal"
" has become entangled in a hidden web!"," zapl•taà si© w ukryt• sieÜ!"
"Trader","Handlowiec"
"path not closed, attempting to follow","òcieæka niezamkni©ta, pr¢ba pod•æania"
"path moved off track","òcieæka zboczyàa z toru"
"path not closed, attempting fix","òcieæka nie zostaàa zamkni©ta, pr¢ba naprawy"
" has claimed a "," twierdzià, æe "
" has begun a mysterious construction!"," rozpocz•à tajemnicz• budow©!"
"Your mason has defaced a ","Tw¢j murarz zniszczyà "
"You have discovered a great magma sea.","Odkryàeò wielkie morze magmy."
"Your engraver has carved a track through a ","Tw¢j grawer wyrze´bià òcieæk© przez "
"Sculpted","Wyrze´biony"
"loop path fail: ","òcieæka p©tli nie powiodàa si©: "
":Path Goal ","Cel òcieæki "
":Station ",":Stacja "
" pushes"," popycha"
" necks"," karki"
" has dyed a masterpiece!"," stworzyà arcydzieào!"
" has cooked a masterpiece!"," ugotowaà arcydzieào!"
"You chop down the ","ócinasz "
" toppled"," obalony"
" destroyed"," zniszczony"
"--- Logging Music ","--- Logowanie muzyki "
"Song file unrecognized: ","Plik utworu nie zostaà rozpoznany: "
"Card unrecognized: ","Karta nierozpoznana: "
"form of music used during marches and military engagements","forma muzyki uæywana podczas marsz¢w i starÜ wojskowych"
"devotional form of music","dewocyjna forma muzyki"
" directed toward the worship of "," ukierunkowane na oddawanie czci "
"form of music used to commemorate important events","forma muzyki uæywana do upami©tniania waænych wydarze‰"
"form of music used for entertainment","forma muzyki uæywana do rozrywki"
"The form guides musicians during improvised performances.  ","Forma prowadzi muzyk¢w podczas improwizowanych wyst©p¢w. "
"The rules of the form are applied by composers to produce individual pieces of music which can be performed.  ","Zasady tej formy s• stosowane przez kompozytor¢w do tworzenia indywidualnych utwor¢w muzycznych, kt¢re mog• byÜ wykonywane. "
"recites","recytuje"
"while the","podczas gdy"
"singer","piosenkarz"
"speaker","gàoònik"
"chanter","kurant"
"recite","recytowaÜ"
" the words of "," sàowa "
" nonsensical words and sounds"," bezsensowne sàowa i d´wi©ki"
" music is played on "," muzyka jest odtwarzana na "
"The music","Muzyka"
"al voices join in melody and counterpoint, harmony and rhythm","wszystkie gàosy à•cz• si© w melodii i kontrapunkcie, harmonii i rytmie"
"al voices bring melody, counterpoint and rhythm","wszystkie gàosy wnosz• melodi©, kontrapunkt i rytm"
"al voices cover melody, harmony and rhythm","wszystkie gàosy obejmuj• melodi©, harmoni© i rytm"
" is melody and rhythm without harmony"," to melodia i rytm bez harmonii"
"The musical voices ","Muzyczne gàosy "
"join in melody, counterpoint and harmony","à•cz• si© w melodii, kontrapunkcie i harmonii"
"bring melody and counterpoint","wprowadzaj• melodi© i kontrapunkt"
"bring melody with harmony","przynieòÜ melodi© z harmoni•"
"are joined in melody","s• wà•czone w melodi©"
"The musical voices are purely rhythmic","Gàosy muzyczne s• czysto rytmiczne"
"The entire performance ","Caày wyst©p "
"should ","powinien "
"stress the rhythm","podkreòl rytm"
"be stately","byÜ dostojny"
"be bright","byÜ jasny"
"be lively","byÜ æywy"
"be made with skill","byÜ wykonane umiej©tnie"
"be vigorous","byÜ energicznym"
"be spirited","byÜ uduchowionym"
"be delicate","byÜ delikatny"
"bring a sense of motion","zapewniaj• poczucie ruchu"
"be fiery","byÜ ognisty"
"be made with feeling","byÜ wykonane z uczuciem"
"feel agitated","czuÜ si© pobudzonym"
"be passionate","byÜ peànym pasji"
"sparkle","bàysk"
"be broad","mieÜ szeroki zakres"
"be made sweetly","byÜ sàodko"
"be strong","byÜ silnym"
"be energetic","byÜ energicznym"
"be forceful","byÜ silnym"
"feel heroic","czuÜ si© bohatersko"
"be made expressively","byÜ wykonane w spos¢b ekspresyjny"
"feel furious","czuÜ wòciekàoòÜ"
"be joyful","byÜ radosnym"
"be grand","byÜ wielkim"
"be merry","byÜ wesoàym"
"be graceful","byÜ wdzi©cznym"
"build as it proceeds","budowaÜ w miar© post©p¢w"
"evoke tears","wywoàywaÜ àzy"
"be melancholic","byÜ melancholijny"
"feel mournful","czuÜ æaàob©"
"be made with a light touch","byÜ wykonane z lekkoòci•"
"feel heavy","czuÜ si© ci©æko"
"feel mysterious","czuÜ si© tajemniczo"
"be jumpy","byÜ nerwowym"
"feel playful","czuÜ si© zabawnie"
"feel tender","czuÜ delikatnoòÜ"
"feel calm","czuÜ spok¢j"
"be triumphant","byÜ tryumfalnym"
"is at a free tempo","ma wolne tempo"
"is very slow","jest bardzo powolny"
"is slow","jest powolny"
"is at a walking pace","jest w tempie spacerowym"
"is moderately paced","ma umiarkowane tempo"
"is moderately fast","jest umiarkowanie szybki"
"is fast","jest bardzo szybki"
"is very fast","jest bardzo szybki"
"is extremely fast","jest niezwykle szybki"
"accelerates as it proceeds","przyspiesza w miar© post©powania"
"slows and broadens","zwalnia i rozszerza si©"
"is consistently slowing","konsekwentnie spowalnia"
"is at a hurried pace","jest w poòpiesznym tempie"
"gradually slows as it comes to an end","stopniowo zwalnia, gdy zbliæa si© do ko‰ca"
"slows down and dies away as it draws to a close","zwalnia i zamiera, gdy zbliæa si© do ko‰ca"
"becomes calmer as the end is approached","staje si© spokojniejszy, gdy zbliæa si© koniec"
"becomes frenzied as it proceeds","staje si© szale‰czy w miar© post©p¢w"
"is to","jest"
", and it is to","i jest to"
"be in whispered undertones","m¢wiÜ szeptem"
"be very soft","byÜ bardzo mi©kki"
"be soft","byÜ mi©kki"
"be moderately soft","byÜ umiarkowanie mi©kki"
"be moderately loud","byÜ umiarkowanie gàoòny"
"be loud","byÜ gàoòno"
"be very loud","byÜ bardzo gàoòno"
"become louder and louder","staj• si© coraz gàoòniejsze"
"become softer and softer","staj• si© coraz bardziej mi©kkie"
"fade into silence","znikaj• w ciszy"
"start loud then be immediately soft","zaczyna si© gàoòno, a nast©pnie natychmiast cichnie"
"The melody and counterpoint both have ","Zar¢wno melodia, jak i kontrapunkt maj• "
"phrases of varied length","frazy o r¢ænej dàugoòci"
"long phrases","dàugie frazy"
"mid-length phrases","zwroty o òredniej dàugoòci"
"The melody has ","Melodia ma "
"short phrases","kr¢tkie frazy"
", while the counterpoint has ","podczas gdy kontrapunkt ma "
"The counterpoint melody has ","Melodia kontrapunktu ma "
" throughout the form.  "," w caàym formularzu. "
"The music is broadly layered with chords spanning the range.  ","Muzyka jest wielowarstwowa z akordami obejmuj•cymi caày zakres. "
"Pitches are densely packed in clusters as music moves from chord to chord.  ","D´wi©ki s• g©sto upakowane w klastry, gdy muzyka przechodzi od akordu do akordu. "
"Chords, seldom-used, are sparse -- intervals and single pitches are favored.  ","Akordy, rzadko uæywane, s• nieliczne - preferowane s• interwaày i pojedyncze d´wi©ki. "
"Never more than an interval sounds at once.  ","Nigdy wi©cej niæ jeden interwaà nie brzmi jednoczeònie. "
"Only one pitch is ever played at a time.  ","W danym momencie rozgrywane jest tylko jedno boisko. "
"The music repeats for as long as necessary.  ","Muzyka powtarza si© tak dàugo, jak to konieczne. "
"It is performed ","Jest on wykonywany "
"without preference for a scale","bez preferencji dla skali"
"using the ","przy uæyciu "
" scale"," skala"
" and in "," oraz w "
"free rhythm","uæywaÜ zapraw"
"Throughout, when possible, composers and performers are to ","W miar© moæliwoòci kompozytorzy i wykonawcy powinni "
"Throughout, when possible, performers are to ","W miar© moæliwoòci wykonawcy powinni "
"glide from note to note","przechodzenie od nuty do nuty"
"use grace notes","Uæywanie notatek gradacyjnych"
"use mordents","uæywaÜ zapraw"
"make trills","robiÜ tryle"
"play rapid runs","graÜ w szybkie biegi"
"locally improvise","lokalnie improwizowaÜ"
"spread syllables over many notes","rozàoæenie sylab na wiele nut"
"match notes and syllables","dopasowywanie nut i sylab"
"syncopate","synkopowaÜ"
"modulate frequently","cz©sto modulowaÜ"
"add fills","dodaÜ wypeànienia"
"play arpeggios","graÜ arpeggia"
"freely adjust the beats","Swobodnie dostosuj rytm"
"play legato","graj legato"
"play staccato","graÜ staccato"
"From beginning to end, when improvising","Od pocz•tku do ko‰ca, podczas improwizacji"
" or composing"," lub komponowanie"
", artists should ",", artyòci powinni "
"sometimes","czasami"
"often","cz©sto"
"always","zawsze"
" include a "," zawieraÜ "
"falling-rising","opadaj•cy-wznosz•cy si©"
"rising-falling","wznosz•cy si©-opadaj•cy"
"rising","wzrost"
" melody pattern"," wz¢r melodii"
"sharpened","zaostrzony"
" degree"," stopie‰"
" on the rise"," na fali wznosz•cej"
" on the fall"," o upadku"
" as well as "," r¢wnie dobrze jak "
"trills","tryle"
"mordents","mordenty"
"grace notes","nuty wdzi©ku"
"glides","poòlizgi"
"rapid runs","szybkie biegi"
"arpeggios","arpeggia"
"Each ","Kaædy "
"provides the rhythm","zapewnia rytm"
"does harmony","czy harmonia"
"does the counterpoint melody","czy melodia kontrapunktu"
