"more presumptious","更加自以为是"
"bowdwarf","矮人弓手"
"bowdwarves","矮人弓手"
"Elite Marksdwarf","精英矮人标手"
"Elite Marksdwarves","精英矮人标手"
"Elite Bowdwarf","精英矮人弓手"
"Elite Bowdwarves","精英矮人弓手"
"finger","手指"
"fingers","手指"
"ear","耳朵"
"knuckles","指关节"
"cheek","脸颊"
"nails","指甲"
"arms","手臂"
"hands","手"
"leg","腿"
"A medium-sized creature prone to great ambition.","一种中等体型的生物,容易产生巨大的野心. "
"human","人类"
"humans","人类"
"stature","身材"
"A medium-sized creature dedicated to the ruthless protection of nature.","一种致力于无情保护自然的中型生物. "
"elf","精灵"
"elves","精灵"
"elven","精灵"
"A medium-sized humanoid driven to cruelty by its evil nature.","一个中等大小的类人生物,由于其邪恶的本性而变得残忍. "
"goblin","妖精"
"goblins","妖精"
"A small, squat humanoid with large pointy ears and yellow glowing eyes.","一个矮胖的类人生物,有着尖尖的大耳朵和黄色发光的眼睛. "
"kobold","妖鬼"
"kobolds","妖鬼"
"A small humanoid creature with a mischievous, toothy grin.","一种人形小生物,顽皮地咧嘴笑着. "
"gremlin","麻烦鬼"
"gremlins","麻烦鬼"
"A huge humanoid monster with coarse fur, large tusks and horns.","一种体型巨大,有着粗糙毛皮,大尖牙和角的人型怪物. "
"troll","巨魔"
"trolls","巨魔"
"A giant humanoid monster found stomping about in the evil plains.  Their low howls can be heard long before they are seen.","一个巨大的人形怪物被发现在邪恶的平原上践踏. 早在人们看到它们之前就可以听到它们低沉的叫声. "
"ogre","食人魔"
"ogres","食人魔"
"low howls","低沉的咆哮声"
"ogress","食人魔"
"ogresses","食人魔"
"A horse-like creature with a spiral horn growing from its forehead.","一种类似马的生物,前额长出螺旋状的角. "
"unicorn","独角兽"
"unicorns","独角兽"
"unicorn foal","独角兽驹"
"unicorn foals","独角兽驹"
"A gigantic reptilian creature.  It is magical and can breathe fire.  These monsters can live for thousands of years.","一种巨大的爬行生物. 它很神奇,可以喷火. 这些怪物可以活几千年. "
"dragon","巨龙"
"dragons","巨龙"
"draconic","巨龙"
"dragon hatchling","幼龙"
"dragon hatchlings","幼龙"
"Breathe fire","喷火"
"terrible majesty","可怕的威严"
"A medium-sized humanoid with the horns and legs of a goat.","一种具有山羊的角和腿特征的中等体型类人生物."
"satyr","萨堤尔"
"satyrs","萨堤尔"
"woolly legs","带有羊毛的腿"
"A gigantic magic statue made of bronze and bent on mayhem.","一尊巨大的青铜魔法雕像,一心想制造混乱. "
"bronze colossus","青铜巨像"
"bronze colossuses","青铜巨像"
"height","身高"
"bronze","青铜"
"A gigantic creature resembling a human, almost unparalleled in size.","一种类似人类的巨大生物,体型几乎无与伦比. "
"giant","巨大的"
"giants","巨型"
"giantess","女巨人"
"giantesses","女巨人"
"A giant humanoid monster with a single eye set in its forehead.","一个在额头正中有一只眼睛的巨大人形怪物. "
"cyclops","独眼巨人"
"cyclopes","独眼巨人"
"single eye","独眼"
"A giant humanoid monster with two heads.","一个长着两个头的巨大人形怪物. "
"ettin","双头巨人"
"ettins","双头巨人"
"arguing heads","争吵的头"
"A giant humanoid monster with the head of a bull.","一个长着牛头的巨大人形怪物. "
"minotaur","牛头人"
"minotaurs","牛头人"
"A large ape-like creature with white fur, found in the snowy wilds.","一种长着白色皮毛的类人猿大型生物,生活在白雪皑皑的荒野. "
"yeti","雪怪"
"yetis","雪怪"
"white fur","白色毛皮"
"A large and mysterious ape-like creature found in temperate forests.","在温带森林中发现的一种大型而神秘的猿类生物. "
"sasquatch","野人"
"sasquatches","野人"
"reclusive nature","隐居的天性"
"A large humanoid monster from the wild tundra.  It has translucent skin, icicles for teeth, red glowing eyes and pointed ears.","一种来自野生苔原的大型人形怪物. 它有半透明的皮肤, 冰柱状的牙齿, 发红的眼睛和尖尖的耳朵. "
"blizzard man","暴风雪男"
"blizzard men","暴风雪男"
"translucent skin","半透明皮肤"
"icicle teeth","冰柱状牙齿"
"glowing red eyes","发光的红眼"
"pointy ears","尖耳朵"
"A fierce creature from the evil snowy wilds.  It has white fur and a piercing howl.","来自邪恶的雪地的凶猛生物. 它有白色的皮毛和刺耳的叫声. "
"ice wolf","冰原狼"
"ice wolves","冰原狼"
"ice wolf pup","冰原狼幼崽"
"ice wolf pups","冰原狼幼崽"
"piercing howls","刺耳的嚎叫"
"A tiny, giggling humanoid with lacy wings.","一个长着花边翅膀, 咯咯笑的小人形生物. "
"fairy","小仙子"
"fairies","小仙子"
"babylike giggles","婴儿般的笑声"
"lacy wings","花边翅膀"
"A tiny winged humanoid with shifting colors which performs intricate aerial dances in large groups.","一种微小的有翅膀的人形生物,随着色彩的变化,在大群人中表演复杂的空中舞蹈. "
"pixie","小精灵"
"pixies","小精灵"
"shifting colors","变换的颜色"
"intricate aerial dances","复杂的空中舞蹈"
"A creature from the evil swamp.  It resembles a squat, wingless bird with powerful beak and legs.  Its blotchy skin is brightly colored.","一种来自毒沼的生物.它像带有强壮的喙和腿的矮胖的无翼鸟.它到处有污斑的皮肤被予以亮色."
"beak dog","喙狗"
"beak dogs","喙狗"
"beak dog pup","喙狗幼崽"
"beak dog pups","喙狗幼崽"
"chatters and clicks","喋喋不休"
"hunched backs","驼背"
"large beaks","大喙"
"An evil monster from the swamp.  It resembles a knot of waterlogged weeds but will strike the unaware victim.","一个来自沼泽地的邪恶怪物. 它就像一结积水的杂草,会袭击不知情的受害者. "
"grimeling","水鬼"
"grimelings","水鬼"
"slithering nature","爬行的天性"
"weedy bodies","杂草丛生的身体"
"A man-shaped creature with the legs of a goat and the empty-eyed skull of a goat.","一种有着山羊的腿和无眼的山羊头骨作为头部的人性生物."
"foul blendec","污邪杂种"
"foul blendecs","污邪杂种"
"goat heads","山羊头"
"goat legs","山羊腿"
"rotten eye sockets","腐烂的眼窝"
"A large, four-armed ape creature with three eyes and razor-sharp teeth.","一种巨大的四臂猿类生物,长着三只眼睛和剃刀般锋利的牙齿. "
"strangler","绞杀者"
"stranglers","绞杀者"
"resounding hoots","响亮的叫声"
"graceful leaps","优美的跳跃"
"three eyes","三只眼睛"
"toothy maw","有牙齿的胃"
"A flying monster with stretched skin over its emaciated body.  It has the head of a jackal with needle-like horns protruding through its mane.","一只飞行的怪物,瘦弱的身体上长着伸展的皮肤. 它有一个豺狼的头,鬃毛上伸出针状的角. "
"nightwing","夜翼"
"nightwings","夜翼"
"jackal heads","豺狼头"
"bat wings","蝙蝠翅膀"
"long tails","长尾巴"
"fangs","獠牙"
"ability to suck blood","可吸血"
"tightly-stretched skin","紧绷的皮肤"
"needle-like horns","针状的角"
"A monster in the shape of a woman with a bird's wings in place of arms and talons for feet.","一种手臂变成鸟的翅膀,足部变为利爪,有着女性身躯的怪物. "
"harpy","鹰身女妖"
"harpies","鹰身女妖"
"feathery wings","羽翼"
"fearsome talons","可怕的利爪"
"A giant dragon-like monster with seven biting heads.","长着七个脑袋的巨龙般的怪物. "
"hydra","七头蛇"
"hydras","七头蛇"
"seven heads","七个头"
"A man-like creature with the tail of a fish instead of legs.","一种用鱼型尾巴来代替腿部的类人生物."
"merperson","人鱼"
"merpeople","人鱼"
"mermaid","雌人鱼"
"mermaids","雌人鱼"
"merman","雄人鱼"
"mermen","雄人鱼"
"A giant limbless dragon that lives in the sea.","一种生活在海里的没有四肢的巨龙. "
"sea serpent","海蛇"
"sea serpents","海蛇"
"sea serpent hatchling","海蛇幼崽"
"sea serpent hatchlings","海蛇幼崽"
"A giant creature with many eyes and arms to terrify the sea.","一种拥有许多眼睛和手的巨大生物,它令海上的生灵恐惧. "
"sea monster","海怪"
"sea monsters","海怪"
"horrifying freakish appearance","可怖的诡异外观"
"sea monster hatchling","海怪幼崽"
"sea monster hatchlings","海怪幼崽"
"A bird of prey so large and ferocious it dwarfs many dragons.  All beneath its mighty wings should fear the sky.","一种庞大凶猛的猛禽,令许多龙相形见绌,在它强大的翅膀下的一切都应该敬畏天空. "
"roc","大鹏鸟"
"rocs","大鹏鸟"
"roc hatchling","大鹏鸟幼崽"
"roc hatchlings","大鹏鸟幼崽"
"awe-inspiring size","令人敬畏的体型"
"dedication to their young","献身于他们的幼崽"
"A huge, predatory reptile with pale, colorless scales and red eyes.  It lives in caves and ambushes its prey.","一种巨大的食肉爬行动物,有苍白无色的鳞片和红色的眼睛. 它生活在洞穴里,伏击猎物. "
"cave crocodile","洞穴鳄鱼"
"cave crocodiles","洞穴鳄鱼"
"cave crocodile hatchling","洞穴鳄鱼幼崽"
"cave crocodile hatchlings","洞穴鳄鱼幼崽"
"A giant amphibian predator found underground.","一种在地底发现的巨型两栖动物捕食者. "
"giant cave toad","巨洞穴蟾蜍"
"giant cave toads","巨洞穴蟾蜍"
"A giant amphibian predator found underground near water.","一种巨大的两栖类食肉动物在水附近的地底被发现. "
"giant olm","巨洞螈"
"giant olms","巨洞螈"
"A giant flying mammal found underground.","一种生活在地底的巨大飞行哺乳动物. "
"giant bat","巨蝙蝠"
"giant bats","巨蝙蝠"
"giant bat pup","巨蝙蝠幼崽"
"giant bat pups","巨蝙蝠幼崽"
"A gigantic rodent found underground.","一种生活在地底的巨大啮齿动物. "
"giant rat","巨鼠"
"giant rats","巨鼠"
"giant rat pup","巨鼠幼崽"
"giant rat pups","巨鼠幼崽"
"A huge rodent found underground.","一种生活在地底的大型啮齿动物. "
"large rat","硕鼠"
"large rats","硕鼠"
"large rat pup","硕鼠幼崽"
"large rat pups","硕鼠幼崽"
"A large, pale rodent with loose, hanging, hairless skin.  It has long teeth and an incredibly powerful bite.  It is found underground.","一种大型, 苍白的啮齿动物,皮肤松弛, 下垂, 无毛. 它有很长的牙齿,咬起来非常有力. 它是在地底发现的. "
"naked mole dog","裸鼹鼠狗"
"naked mole dogs","裸鼹鼠狗"
"naked mole puppy","裸鼹鼠狗幼犬"
"naked mole puppies","裸鼹鼠狗幼犬"
"wrinkly skin","皱纹皮肤"
"A savage man-like cave creature.","野蛮人似的洞穴生物. "
"troglodyte","穴居人"
"troglodytes","穴居人"
"A gigantic digging creature found underground.","在地底发现的一种巨大的挖掘生物. "
"giant mole","巨鼹鼠"
"giant moles","巨鼹鼠"
"giant mole pup","巨鼹鼠幼崽"
"giant mole pups","巨鼹鼠幼崽"
"noses","鼻子"
"A small humanoid surrounded by fire which they can hurl at their enemies.","一个被火焰包围的小型人形生物,他们可以向敌人投掷. "
"fire imp","火焰妖精"
"fire imps","火焰妖精"
"Spray jet of fire","喷出的火焰"
"smoke","烟雾"
"A large underground monster with eight legs and sharp, venomous fangs.","一种有八条腿和锋利且带毒尖牙的大型地底怪物."
"giant cave spider","巨洞穴蜘蛛"
"giant cave spiders","巨洞穴蜘蛛"
"Spray web","喷雾网"
"mystery","神秘"
"frozen giant cave spider venom","冷冻巨型洞穴蜘蛛毒液"
"giant cave spider venom","巨型洞穴蜘蛛毒液"
"boiling giant cave spider venom","沸腾的巨型洞穴蜘蛛毒液"
"giant cave spider bite","巨型洞穴蜘蛛咬"
"A tiny underground bug, sought after for its thread.","一种微小的地底害虫,因其螺纹而备受追捧. "
"cave spider","洞穴蜘蛛"
"cave spiders","洞穴蜘蛛"
"frozen cave spider venom","冰冻洞穴蜘蛛毒液"
"cave spider venom","洞穴蜘蛛毒液"
"boiling cave spider venom","沸腾的洞穴蜘蛛毒液"
"cave spider bite","洞穴蜘蛛咬"
"A small pale creature found in underground streams and ponds.","一种在地底溪流和池塘中发现的苍白的小生物. "
"cave fish","洞穴鱼"
"cave fish man","洞穴鱼人"
"cave fish men","洞穴鱼人"
"cave fish woman","洞穴鱼女"
"cave fish women","洞穴鱼女"
"A humanoid creature with the head of a blind cave fish.  They live in colonies in watery regions far underground.","一种有失明的洞穴鱼头的人形生物,它们生活在远离地底的水域. "
"A small, pale arthropod found in underground streams and ponds.","一种在地底溪流和池塘中发现的小型苍白节肢动物. "
"cave lobster","洞穴龙虾"
"cave lobsters","洞穴龙虾"
"A serpent made of pure fire which can inject liquid fire as venom.","一种由纯火制成的蛇,可以注入液态火作为毒液. "
"fire snake","火蛇"
"fire snakes","火蛇"
"liquid fire","火焰液体"
"A tiny amphibian, found in underground streams.","一种在地底溪流中发现的小型两栖动物. "
"olm","洞螈"
"olms","洞螈"
"olm man","洞螈人"
"olm men","洞螈人"
"olm woman","洞螈女"
"olm women","洞螈女"
"An animal person with the head of the amphibious olm.  It lives underground near water.","长着两栖洞螈头的动物人. 它生活在靠近水的地底. "
"A tiny winged creature that hunts at night and rests in caves during the day.","一种有翅膀的小动物,晚上捕食,白天在洞穴里休息. "
"bat","蝙蝠"
"bats","蝙蝠"
"haunting cries","萦绕不去的哭声"
"bat man","蝙蝠人"
"bat men","蝙蝠人"
"bat woman","蝙蝠女"
"bat women","蝙蝠女"
"A humanoid with the head of a bat and wings stretching from wrist to ankle.","一个长着蝙蝠头,翅膀从手腕延伸到脚踝的人形动物. "
