"its","øia"
"Ice Upward Track (NEW)","Glaca Supren Trako (No-Or-Ok)"
" Upward Track (SEW)"," Supren Trako (Su-Or-Ok)"
"Ice Upward Track (SEW)","Glaca Supren Trako (Su-Or-Ok)"
" Upward Track (NSEW)"," Supren Trako (No-Su-Or-Ok)"
"Ice Upward Track (NSEW)","Glaca Supren Trako (No-Su-Or-Ok)"
"Glacial Upward Slope","Glacia Supren Deklivo"
" Downward Slope"," Malsupren Deklivo"
"Grassy Downward Slope","Herba Malsupren Deklivo"
"Dry Grass Downward Slope","Sekherba Malsupren Deklivo"
"Dead Grass Downward Slope","Mortherba Malsupren Deklivo"
"Glacial Downward Slope","Glacia Malsupren Deklivo"
" Downward Track (N)"," Malsupren Trako (No)"
"Ice Downward Track (N)","Glaca Malsupren Trako (No)"
" Downward Track (S)"," Malsupren Trako (Su)"
"Ice Downward Track (S)","Glaca Suprenira Trako (Su)"
" Downward Track (E)"," Malsupren Trako (Or)"
"Ice Downward Track (E)","Glaca Malsupren Trako (Or)"
" Downward Track (W)"," Malsupren Trako (Ok)"
"Ice Downward Track (W)","Glaca Malsupren Trako (Ok)"
" Downward Track (NS)"," Malsupren Trako (No-Su)"
"Ice Downward Track (NS)","Glaca Malsupren Trako (No-Su)"
" Downward Track (NE)"," Malsupren Trako (No-Or)"
"Ice Downward Track (NE)","Glaca Malsupren Trako (No-Or)"
" Downward Track (NW)"," Malsupren Trako (No-Ok)"
"Ice Downward Track (NW)","Glaca Malsupren Trako (No-Ok)"
" Downward Track (SE)"," Malsupren Trako (Su-Or)"
"Ice Downward Track (SE)","Glaca Malsupren Trako (Su-Or)"
" Downward Track (SW)"," Malsupren Trako (Su-Ok)"
"Ice Downward Track (SW)","Glaca Malsupren Trako (Su-Ok)"
" Downward Track (EW)"," Malsupren Trako (Or-Ok)"
"Ice Downward Track (EW)","Glaca Malsupren Trako (Or-Ok)"
" Downward Track (NSE)"," Malsupren Trako (No-Su-Or)"
"Ice Downward Track (NSE)","Glaca Malsupren Trako (No-Su-Or)"
" Downward Track (NSW)"," Malsupren Trako (No-Su-Ok)"
"Ice Downward Track (NSW)","Glaca Malsupren Trako (No-Su-Ok)"
" Downward Track (NEW)"," Malsupren Trako (No-Or-Ok)"
"Ice Downward Track (NEW)","Glaca Malsupren Trako (No-Or-Ok)"
" Downward Track (SEW)"," Malsupren Trako (Su-Or-Ok)"
"Ice Downward Track (SEW)","Glaca Malsupren Trako (Su-Or-Ok)"
" Downward Track (NSEW)"," Malsupren Trako (No-Su-Or-Ok)"
"Ice Downward Track (NSEW)","Glaca Malsupren Trako (No-Su-Or-Ok)"
"Downward Slope","Malsupren Deklivo"
"Open Space","Libera Spaco"
"Unknown","Nekonata"
"Warm ","Varma "
"Damp ","Malseketa "
"Straight ","Rekta "
"Exposed ","Elmontrita "
"Rough-hewn ","Malglate Facetita "
"Cluster","Grapolo"
"Pillar","Kolono"
" standing"," staranta"
" own "," propra "
"many bones","multaj ostoj"
"some bones","iom da ostoj"
"a few bones","malmultaj ostoj"
"bloody","sanga"
"a slurry of ","solvita suspensio el "
"blood-stained ","sangmakula "
"fortification","fortika¼o"
"[IT_MANUAL_INPUT:target]","[IT_MANUAL_INPUT:celtabulo]"
"[CDI:TARGET_VERB:feel blood welling up:grimaces]","[CDI:TARGET_VERB:sensas sangon akumulante:grimacas]"
"[CDI:TARGET_VERB:feel dizzy:looks dizzy]","[CDI:TARGET_VERB:sentas kapturnon:aspektas kapturna]"
"extremely high","treege altan"
"very low","tre malaltan"
"mid-low","meze malaltan"
"mid-high","meze altan"
"very high","tre altan"
"The instrument has a single ","La instrumento havas ununuran "
" pitch.  "," tonalton.  "
"Cannot generate random creatures -- missing body ","Ne povas generi aleatorajn esta¼ojn - nehavante korpon "
"Cannot generate random creatures -- missing body gloss ","Ne povas generi aleatorajn esta¼ojn - nehavante korpan gloson "
"Cannot generate random creatures -- missing body detail plan ","Ne povas generi aleatorajn esta¼ojn - nehavante planon pri korpaj detaloj "
"Cannot generate random creatures -- missing material template ","Ne povas generi aleatorajn esta¼ojn - nehavante materialan þablonon "
"Cannot generate random creatures -- missing tissue template ","Ne povas generi aleatorajn esta¼ojn - nehavante histan þablonon "
"shining metal","luma metalo"
"flashing metal","fulma metalo"
"rusted metal","rusta metalo"
"twisting metal","turda metalo"
"dark metal","malhela metalo"
"glowing metal","brila metalo"
"bright metal","hela metalo"
"pale metal","pala metalo"
"pock-marked metal","trua metalo"
"blistered metal","vezikhava metalo"
"ruddy metal","ruøa metalo"
"flickering metal","flagranta metalo"
"faceted metal","facetita metalo"
"translucent metal","diafana metalo"
"frosty metal","frosta metalo"
"slick metal","glata metalo"
"singing metal","kantanta metalo"
"multicolored metal","bunta metalo"
"clear blue metal","klare blua metalo"
"crashing metal","þtormanta metalo"
"blazing metal","varmega metalo"
"booming metal","resonanta metalo"
"searing metal","arda metalo"
"flowing metal","flua metalo"
"glowing cloth","brila þtofo"
"flashing sparks","fulmaj fajreroj"
"dancing wisps","dancantaj tufoj"
"rotted fabric","putra þtofo"
"never-still cloth","nekvieta þtofo"
"liquid darkness","likva tenebro"
"shining cloth","luma þtofo"
"bright cloth","hela þtofo"
"pale fabric","pala þtofo"
"twisted fabric","torda þtofo"
"patchy cloth","flikaæa þtofo"
"wispy cloth","tufa þtofo"
"translucent cloth","diafana þtofo"
"flickering cloth","flagranta þtofo"
"faceted cloth","facetita þtofo"
"still blue fabric","kviete blua þtofo"
"heavy cloth","peza þtofo"
"misty cloth","nebula þtofo"
"white cloth","blanka þtofo"
"dirty fabric","kota þtofo"
"sonorous lines","sonoraj linioj"
"pitch-black fabric","peænigra þtofo"
"screaming mouths","kriemaj buþoj"
"undulating cloth","ondiøanta þtofo"
"moist fabric","malseketa þtofo"
"multicolored cloth","bunta þtofo"
"flowing fabric","flua þtofo"
"clear blue cloth","klare blua þtofo"
"motes of light","grajnoj da lumo"
"flowing cloth","þtorma þtofo"
"blazing cloth","varmega þtofo"
"shimmering cloth","trembrila þtofo"
"shadow stuff","ombra drapo"
"molten liquid","fandita likva¼o"
"liquid cloth","likva þtofo"
"rustling fabric","susura þtofo"
"gloom","spleno"
"nauseating","naýza"
" keyboard"," klavaro"
" keyboards"," klavaroj"
" keyboard allows the musician to select the pitch of the instrument.]"," klavaro permesas al la muzikisto elekti la piæon de la muzikilo.]"
" console"," konzolo"
" consoles"," konzoloj"
" bodies"," korpoj"
" cases"," ingoj"
" chests"," kestoj"
" is the housing for the workings of the instrument.]"," estas la ujo por la operacioj de la instrumento.]"
" strings"," kordoj"
" bells"," sonoriloj"
" pipes"," þalmoj"
" pump"," pumpilo"
" bellows"," balgo"
":keyboard:keyboards",":klavaro:klavaroj"
":console:consoles",":konzolo:konzoloj"
":body:bodies",":korpo:korpoj"
":case:cases",":ingo:ingoj"
":chest:chests",":kesto:kestoj"
":strings:strings",":kordoj:kordoj"
":bells:bells",":sonoriloj:sonoriloj"
":pipes:pipes",":þalmoj:þalmoj"
":pump:pumps",":pumpilo:pumpiloj"
":bellows:bellows",":balgo:balgoj"
" musical instrument"," muzikilo"
" pipes.  "," þalmoj. "
"The instrument has flue pipes and both single reed and free reed pipes.  ","La instrumento havas lip- kaj anæofajfilojn, kun ambaý, batantaj kaj liberaj anæoj. "
"The instrument has both single reed and free reed pipes.  ","La instrumento havas anæofajfilojn kun ambaý, batantaj kaj liberaj anæoj. "
"The instrument has flue pipes and free reed pipes.  ","La instrumento havas lip- kaj anæofajfilojn kun anæoj liberaj. "
"The instrument has flue pipes and reed pipes.  ","La instrumento havas lip- kaj anæofajfilojn kun anæoj batantajn. "
"All of the pipes are free reed.  ","Æiuj fajfiloj havas anæojn liberajn. "
"All of the pipes are flue pipes.  ","Æiuj fajfiloj estas lipfajfiloj. "
".  The musician uses a ",". La muzikisto uzas "
" bellows to send air over interior reeds.  "," balgoj blovi aeron je internaj anæoj. "
"The desired pitch is selected using a ","La dezirata piæo estas elektita per "
" keyboard.  "," klavaro. "
" strings.  "," kordoj. "
"The musician uses a ","La muzkisto uzas "
" keyboard "," klavaro "
"to select which of these strings are ","elekti kiu el æi-kordoj estas "
"plucked.  ","plektritaj. "
"struck.  ","frapita. "
"The musician cannot control the volume.  ","La muzikisto ne povas regi la laýtecon. "
" bells.  "," sonoriloj. "
"to select which of these bells are struck.  ","elekti kiun el æi-sonorilojn frapi. "
" yoke"," jugo"
" yokes"," jugoj"
"[DESCRIPTION:The strings of the instrument are attached to the ","[DESCRIPTION:La kordoj de la instrumento estas aligita al la "
" yoke.]"," jugo.]"
" sound-chest"," resonkesto"
" sound-chests"," resonkestoj"
" sound-chest of the instrument vibrates with the strings, producing sound.]"," resonkesto de la instrumento vibras per la kordoj, produktante sonon.]"
" body of the instrument vibrates with the string"," korpo de la instrumento vibras per la kordo"
", producing sound.]",", produktante sonon.]"
" frame"," framo"
" frames"," framoj"
" frame.]"," framo.]"
" body of the instrument vibrates with the strings, producing sound.]"," korpo de la instrumento vibras kun la kordojn, produktante sonon."
" neck"," kolo"
" necks"," koloj"
" neck allows the musician room to stop "," kolo permesas la muzikisto spaco por æesi "
"strings","kordoj"
"the string","la kordo"
"strings vibrate","kordoj vibras"
"string vibrates","kordo vibras"
", causing the instrument to produce sound.]",", farante, ke la instrumento produktas sonon.]"
" bow"," aræo"
" bows"," aræoj"
" plectrum"," plektro"
" plectra"," plektroj"
" hammers"," maleetoj"
" bow is drawn across the string"," aræo frotetas la kordon"
" plectrum plucks the string"," plektro vibrigas la kordon"
" hammers strike the string"," maleetoj frapas la kordon"
":neck:necks",":kolo:koloj"
":frame:frames",":framo:framoj"
":yoke:yokes",":jugo:jugoj"
":sound-chest:sound-chests",":resonkesto:resonkestoj"
":strings:strings:ALWAYS_PLURAL]",":kordoj:kordoj:ALWAYS_PLURAL]"
":string:strings:STANDARD]",":kordo:kordoj:STANDARD]"
":bow:bows:STANDARD]",":aræo:aræoj:STANDARD]"
":plectrum:plectra:STANDARD]",":plektro:plektroj:STANDARD]"
":hammers:hammers:ALWAYS_PLURAL]",":maleetoj:maleetoj:ALWAYS_PLURAL]"
"-stringed instrument","-kordinstrumento"
" with a "," per "
" neck connecting to a "," kolo aligante al "
" frame and a "," framo kaj "
" yoke and a "," jugo kaj "
"The strings are tied from the top of the neck down over the body and","La kordoj estas ligitaj el la pinto de la kolo al la korpo kaj"
"The strings are suspended from the frame down to the body and","La kordoj estas ligita el la framo al la korpo kaj"
"The strings are suspended from the yoke down to the body and","La kordoj estas ligitaj el la jugo al la korpo kaj"
" the musician "," la muzikisto "
"plays ","ludas "
"the main string","la æefa kordo"
" main"," æefa"
"picks ","plektras "
"strikes ","frapas "
"plucks ","plektras "
"Another string vibrates in sympathy and is rarely played itself","Alia kordo vibras harmonie, kaj estas malofte ludita mem"
" other strings vibrate in sympathy and are rarely played themselves"," aliaj kordoj vibras harmonie, kaj estas malofte luditaj mem"
"A drone string is","Bordunkordoj estas"
" drone strings are"," bordunkordoj estas"
" occasionally struck.  "," eventuale frapitaj. "
" occasionally plucked.  "," eventuale plektritaj. "
"The musician can alter the pitch of ","La muzikisto povas þanøigi la piæon de "
" string by stopping it against the neck.  "," kordo per haltigi øin kontraý la kolo. "
" string by stopping it against the body.  "," kordon per haltigi øin kontraý la korpo. "
"Tuning is also possible using small levers.  ","Agordado ankaý eblas per malgrandajn levilojn. "
" bowl is attached to the neck to provide additional overtones.  "," bovlo estas aligita al la kolo provizi pliajn supratonojn. "
" blowpipe"," blovtubo"
" blowpipes"," blovtuboj"
" blowpipe is used by the musician to send air into the instrument.]"," n blovtubon uzas la muzikisto blovi aeron en la instrumenton.]"
" wind chest"," ventokesto"
" wind chests"," ventokestoj"
" wind chest is the body of the instrument.]"," ventokesto estas la korpo de la instrumento.]"
" pipe"," þalmo"
"[DESCRIPTION:The musician uses the ","[DESCRIPTION:La muzikisto uzas la "
" bag is used by the musician to control the steady flow of air through the instrument.]"," n sakon uzas la muzikisto regi la konstantan aerfluon tra la instrumento.]"
" melody pipe"," melodia þalmo"
" melody pipe is used by the musician to select the pitch of the instrument.]"," n melodian þalmon uzas la muzikisto elekti la tonalto de la instrumento.]"
" drone pipe"," ruæilo"
" drone pipes"," ruæiloj"
" drone pipes produce"," ruæiloj produktas"
" drone pipe produces"," ruæilo produktas"
":blowpipe:blowpipes",":blovtubo:blovtuboj"
":bag:bags",":sako:sakoj"
":melody pipe:melody pipes",":melodia þalmo:melodiaj þalmoj"
":drone pipes:drone pipes:ALWAYS_PLURAL]",":ruæiloj:ruæiloj:ALWAYS_PLURAL]"
":drone pipe:drone pipes:STANDARD]",":ruæilo:ruæiloj:STANDARD]"
":wind chest:wind chests",":ventokesto:ventokestoj"
":pipe:pipes",":þalmo:þalmoj"
"wind instrument through which constant air flow is maintained by use of a ","ventinstrumento tra kiem konstantan aerfluon daýrigas per uzado de "
