"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"This organizational activity will branch into specific worship events.","Гэтая арганiзацыйная дзейнасць будзе разгалiноўвацца ў асобныя набажэнствы."
"Possessed by unknown forces!","Апанаваны невядомымi сiламi!"
" tangled up."," заблытаўся."
"Legendary brigand","Легендарны грабежнiк"
" (4 of 8)"," (4 з 8)"
"love of","любоў да"
"Values nature","Шануе прыроду"
"Tenacity","Упартасцi"
"leather","скура"
"Listen to Music","Слухаць музыку"
"Click [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Carpenter[C:7:0:0] and place the shop in an empty area on the surface or underground.","Нацiснiце [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0:1]Цясляр[C:7:0:0] i размесцiце краму ў пустым месцы на паверхнi або пад зямлёй."
"dormitories.","iнтэрнаты."
"Random","Адвольна"
"The view will be dark underground until you begin mining.  You can move the camera to the surface with the surface button (highlighted.)  The ","Выгляд будзе цёмны пад зямлёй, пакуль вы не пачнеце капаць. Вы можаце перамясцiць камеру на паверхню з дапамогай кнопкi ""Паверхня"" (выдзелена.) "
"Removal inactive.","Выдаленне неактыўнае"
"Still","Броварня"
" draws "," бярэ "
"Grab Cage","Узяць клетку"
"Green glass","Зялёнае шкло"
"Child is elected","Дзiця абраны"
"Agreed to build temple complex","Пагадзiцца пабудаваць храмавы комплекс"
"Non-alcoholic water is essential to a functioning fortress.  The most favored place to ","Звычайная вада неабходная для функцыянавання крэпасцi. Самае лепшае месца "
"Untitled/unnamed","Безназоўны"
" hiding "," хавае "
"Make sure your parameters and presets allow as many border mountain squares as you are requiring mountain caves.  ","Пераканайцеся, што вашы параметры i прадусталяваныя налады дазваляюць столькi памежных горных квадратаў, колькi вам патрабуецца горных пячор.  "
"We'll be ready soon!","Мы хутка будзем гатовыя!"
"Cultural comparison","Культурнае параўнанне"
"Here you can select which goods you wish to trade.  After everyone has brought their goods you can ","Тут вы можаце выбраць, якiмi таварамi гандляваць. Пасля таго, як усе тавары перанесены, вы можаце "
"panicked","запанiкаваўшы"
"the Crime","Злачынства"
"Enraged at all enemies!","Раз'юшаны на ўсiх ворагаў!"
"No material","Няма матэрыялу"
"Designating low traffic area","Прызначэнне зоны з нiзкiм рухам"
"sing","пець"
" suffering"," пакутуе"
"Minimum raids between sieges (per civ)","Мiнiмальная колькасць рэйдаў памiж аблогамi (на цывiлiзацыю)"
"Milliseconds interface shutdown after recenter","Выключэнне iнтэрфейсу пасля рэцэнтра ў мiлiсекундах"
"Temple, ","Храм, "
" (8 of 8)"," (8 з 8)"
"A manager is required to add work orders to the shop.","Для дадання загадаў патрабуецца кiраўнiк."
"priest","святар"
"Your archers can train in this zone if there is an archery target included.","Вашыя стралкi могуць трэнiравацца ў гэтай зоне, калi ў ёй усталявана мiшэнь."
"Your citizens will drink at a water source zone or gather water using buckets for various tasks.  This is useful if you don't have a functioning well and you want to control exactly where the tasks take place.","Вашыя жыхары будуць пiць у зоне крынiцы вады або набiраць ваду вёдрамi для розных задач. Гэта карысна, калi ў вас няма калодзежа, якi працуе, i вы хочаце кантраляваць, дзе менавiта выконваюцца загады."
"Creator of ","Стваральнiк "
"ferocity","лютасць"
"A short trip","Кароткi шлях"
"before this restraint will","перад тым як гэта стрыманасць будзе"
"(and some other things like [C:6:0:1]Sand[C:7:0:0]).  [C:6:0:1]Bins[C:7:0:0] hold just about everything else except [C:6:0:1]Furniture[C:7:0:0], [C:6:0:1]Wood[C:7:0:0] and [C:6:0:1]Boulders[C:7:0:0]. ","(i некаторыя iншыя рэчы, такiя як [C:6:0:1]Пясок[C:7:0:0]). [C:6:0:1]Скрынкi[C:7:0:0] змяшчаюць практычна ўсё астатняе, акрамя [C:6:0:1]Мэблi[C:7:0:0], [C:6:0:1]Дрэва[C:7:0:0] i [C:6:0:1]Валуноў[C:7:0:0]. "
"Unknown location","Невядомае месца"
"Tomb","Магiльня"
"Hyphen Compound","Праз працяжнiк"
"Haggard","Змарнелы"
"This is a memorial to","Гэта помнiк"
"interested","зацiкаўлены"
"distressed","засмучаны"
"the introduction","увядзенне"
"merchant company","гандлёвая кампанiя"
"to study","каб вывучаць"
"If the [C:5:0:1]Stockpile[C:7:0:0] menu is still open, you can close it now by right-clicking.  Right-clicking can ","Калi меню [C:5:0:1]Склады[C:7:0:0] усё яшчэ адкрыта, вы можаце закрыць яго, пстрыкнуўшы правай кнопкай мышы. Клiк правай кнопкай мышы можа "
", a performance troupe, is visiting.",", наведвае сцэнiчная трупа."
"Vein and gem mining","Здабыча жыл i самацветаў"
"Values merriment","Цэнiць весялосць"
"Other nobles may appear or be assigned as ","Iншая шляхта можа з'явiцца або быць прызначана "
"spurning the value of honesty","пагарджаючы каштоўнасцю сумленнасцi"
"Lever","Рычаг"
"discourse on the relationship between wholes and parts","дыскурс аб стасунках памiж часткамi i цэлым"
"Does the expelling","Здзяйсняе выгнанне"
"stacked leather","стосiк скуры"
"Values knowledge","Шануе веды"
"Agreed to build temple","Пагадзiцца пабудаваць храм"
"Last I heard, it was held by ","Апошняе, што я чуў, яго трымалi "
"mutters","мармыча"
"Civilizations","Цывiлiзацыi"
"belief in harmony","вера ў гармонiю"
"Values skill","Цэнiць уменнi"
"Trainer","Трэнер"
"Trader Profit: ","Прыбытак гандляру: "
"High priesthood unit count","Колькасць юнiтаў вярхоўнага святарства"
"Hungry","Голад"
"Withered","Ссохлы"
"Tree","Дрэва"
"Your most valuable objects can be placed for display in rooms to increase their value and to entertain passing citizens.  A pedestal or display case must be made before it can be placed.","Вашыя каштоўныя рэчы можна выявiць у пакоях на вочы ўсiх, каб павялiчыць iх цану ды забаўляць грамадзян. П'едэстал альбо вiтрына павiнны быць выраблены загадзя, пасля iх можна будзе ўсталяваць."
"seeking work as a mercenary","шукае працу наймiтам"
"Drink (plant)","Напой (раслiнны)"
" with skill."," з майстэрствам."
"Report (Active)","Справаздача (актыўная)"
"prepare a coup","падрыхтаваць пераварот"
"Stockpiles","Склады"
