"more presumptious","m†s presuntuoso"
"feeling gratitude","sintiÇndose gratificado"
"Embark Points","Puntos de Embarque"
"Toggle the display of spoor for tracking.","Alternar la visualizaci¢n de rastros para el seguimiento."
"Maps and Distances","Mapas y Distancias"
"Provide the location of ","Proporcionar la ubicaci¢n de "
"Scuttled","Hundido"
"tercet","tr°o"
"Adventure automove (acrobatic)","Aventura automover (acrob†tico)"
"few","pocos"
"Placing trees","Colocando †rboles"
"Fighter","Peleador"
"'s dragon fire","el fuego del drag¢n"
" near burning twigs"," cerca de ramitas ardientes"
"tends to consider what others think of ","tiende a considerar lo que otros piensan de "
" the position of "," la posici¢n de "
"What do you want to remove?","®QuÇ quieres eliminar?"
"known brigand","bandolero conocido"
"thirty","treinta"
" Master"," Maestro"
"This is a fight!","≠Esto es una lucha!"
"Default attack is a strike without charging or wrestling.","El ataque predeterminado es un golpe sin cargar ni luchar."
"In The End","Al final"
" to induce a war of "," inducir una guerra de "
" the musician "," el m£sico "
"general import store (192,192,192), border (128,128,128)","almacÇn de importaci¢n general (192.192.192), frontera (128.128.128)"
"Decrease FPS limit","Decrementar l°mite de FPS"
"breezy","ventoso"
" and took over "," y asumi¢ "
"Citizenship of ","Ciudadan°a de "
"Vanquishing a great beast on our behalf would bring us all much glory.","Venciendo una gran bestia en nuestro nombre traer°amos mucha gloria."
"is skinny and very short","es flaco y muy corto"
"Stone-fall traps drop a stone on intruders.  Must be loaded with boulders.","Las trampas de ca°da de piedras lanzan una piedra sobre los intrusos. Debe estar con  cargado de rocas."
"Verbally struggle against shock","Luchar verbalmente contra el shock"
" which rest"," que descansa"
"barrow","vagoneta"
"Click the map to add points.","Haga clic en el mapa para agregar puntos."
"Off","apagado"
"I take offense.","Me siento ofendido."
"Ice Track (NSE)","V°a Congelada (NSE)"
"There is a temple","Hay un templo"
"The assigned vehicle is moving toward this stop.","El veh°culo asignado se est† moviendo hacia esta parada."
"I will agree to travel with you if you lead me to glory and death.","AceptarÇ viajar contigo si me llevas a la gloria y la muerte."
"good food","buena comida"
" squads assigned"," Escuadrones asignados"
"the Brightness of Stars","el Brillo de las Estrellas"
"I disagree.","Estoy en desacuerdo."
"You are riding and cannot lie down.","Est†s montando y no puedes tumbarte."
" was forced to make a hasty escape"," se vio forzado a escaparse apresuradamente"
"Infamous bully","Mat¢n infame"
"Bring up the death of ","Mencionar la muerte de "
"Not vengeful","No vengativo/a"
"Fulfillment will be yours.","La realizaci¢n ser† tuya."
"Change the inequality of the condition.","Cambia la desigualdad de la condici¢n."
"I'm going to visit the library.","Voy a visitar la biblioteca."
"Grab Waterskin","Agarrar Cantinplora"
"[C:3:0:1]Paralyzed","[C:3:0:1] Paralizado"
"It does not help matters that their leader ","No ayuda a los asuntos que su l°der "
" to view "," para ver "
"perform with skill","interpretar con habilidad"
" Sarcophagus"," Sarc¢fago"
" Downward Track (NW)"," V°a de Descenso (NO)"
"Cavern dwellers!  Send them back to the darkness!","≠Moradores de las cavernas! ≠Devolvedlos a la oscuridad!"
"Perhaps if you throw in some more goods I can make an offer.","Quiz†s si agrega algunos productos m†s pueda hacer una oferta."
" own dead "," muerte propia "
"Place structures and work areas that require construction materials.","Ubicar estructuras y †reas de trabajo que requieran materiales de construcci¢n."
" weightless"," ligero"
"bowyer's shop sign","cartel de la tienda de arcos"
"Astronomy","astronom°a"
"historical causation","Casualidad hist¢rica"
"caverns","cavernas"
"due to panic about what happens after death","debido al p†nico sobre lo que sucede despuÇs de la muerte"
"I've defeated many fearsome opponents!","≠He derrotado a muchos temibles oponentes!"
" sarcophagus"," sarc¢fago"
"One member","Un miembro"
"slashed off","recortado"
"paternal grandmother","abuela paterna"
"Worshipped ","adorado "
" frequently"," frecuentemente"
"an ability to read emotions fairly well","la capacidad de leer bastante bien las emociones"
"Disdains competition","Desprecia la competici¢n"
"A restless haunt, generally troubling past acquaintances and relatives.","Una aparici¢n intranquila, generalmente dando problemas a familiares y conocidos del pasado."
"Loom","Telar"
"has a long, thin body that is somewhat weak with little fat","tiene un cuerpo largo y delgado que es algo dÇbil con poca grasa"
"Surgery","cirug°a"
"Choreography","Coreograf°a"
"View stockpile","Ver existencias"
"masterwork","obra maestra"
"Converting mining blueprint to regular","Convertir el plano de miner°a a regular"
"chemistry:laboratory:alembic","qu°mica:laboratorio:alambique"
" (traveling)"," (viajando)"
"a hero","un hÇroe"
"Can you tell me where I can find ","®Puedes decirme donde puedo encontrar "
"You have encountered these creatures in the past but not recently.","Te has encontrado con estas criaturas en el pasado, pero no recientemente."
"Werebeast attack period (seasons)","Periodo de ataque del hombre bestia (temporadas)"
"Overlapping","Dobreponiendo"
"This worthy hunt has rid us of an enemy.","Esta digna caza nos ha librado de un enemigo."
"Observer","Observador"
"and [C:5:0:0]Scribes[C:7:0:0] to record them. Beware!  Some knowledge is dangerous.","y [C:5:0:0]Escribas[C:7:0:0] para registrarlos. ≠Tened cuidado! Cierto conocimiento es peligroso."
"medium","medio"
"Move down to the northeast.","MuÇvete hacia el noreste."
"Object (remembered)","Objeto (recordado)"
"The soldiers can be allowed to sleep in their rooms whenever they way, or in the barracks either when they want or only when they must.","Se puede permitir que los soldados duerman en sus habitaciones cuando quieran, o en los cuarteles cuando quieran o s¢lo cuando deban hacerlo."
"  It should be brought to "," Deber°a de ser llevado a "
"surrounded by ","rodeado por "
"an order of precedence","un orden de precedencia"
"Moderate Need","Necesidad modereada"
"No job","Sin trabajo"
"Store Object","Objeto de la Tienda"
"travel","viajar"
"What a wind!","≠QuÇ viento!"
"jeweler","joyero"
"Marauder Mill","Merodeador del molino"
"One","Uno"
"Kindred spirit","Alma gemela"
"the Diseases of Animals","las Enfermedades de los Animales"
"I want to see my friends.","Quiero ver a mis amigos."
"Flatter the listener","Halagar al oyente"
"more distrustful","m†s desconfiado"
"sharing somebody's personal insight","compartir la percepci¢n personal de alguien"
" and ended at "," y termin¢ en "
"Must be outside","Debe estar fuera"
"They offer ","Ellos ofrecen "
" vomits"," v¢mitos"
"I don't know very much about it.","No se mucho sobre esto"
"Organizations","Organizaciones"
"If you don't have a [C:5:0:0]Bookkeeper[C:7:0:0], or they don't have an [C:3:0:0]Office[C:7:0:0] to work in, numbers may be approximate.","Si no tienes un[C:5:0:0]contable[C:7:0:0], O ellos no tienen[C:3:0:0]Oficina[C:7:0:0] para trabajar, los n£meros pueden ser aproximados."
"Population: ~6000","Poblaci¢n: ~6000"
"dawn","amanecer"
", struck down by a ",", derribado por un "
"Nobody I remember.","Nadie lo recuerdo."
"Musical voice","Voz musical."
" being mutilated by "," siendo mutilado por "
"[C:7:0:1].Minor pain","[C:7:0:1].Dolor leve"
"Chosen mode is only available in worlds with developed religions.  There are no temples available.  Try an older world.","El modo elegido solo est† disponible en mundos con religiones desarrolladas. No hay templos disponibles. Prueba con un mundo m†s antiguo."
"ruffian","rufi†n"
"Smoke","Humo"
"Ambush (snatcher)","Emboscada (ratero)"
"Confirm","aceptar"
"truly quick to tire","realmente r†pido para cansarse"
"Damaging refuse pile clothing.","Deteriorando ropa en pilas de basura."
" needed it"," lo necesitaba"
"I've been discussing ","He estado discutiendo "
"legendary thief","ladr¢n legendario"
"Armorsmithing","Forja de Armaduras"
"Creature Tissue Material Failure: ","Falla del material del tejido de la criatura: "
"important location","locaci¢n importante"
", who bled to death",", quien sangr¢ hasta la muerte"
"Allow Necromancer Ghouls","Permitir necr¢fagos nigromantes"
"Clicking delete will instantly delete this game!","≠Presionar en eliminar borrar† inmediatamente este juego!"
"short ","corto "
"as the owner of","como el due§o de"
"Depth","Profundidad"
"quick to tire","r†pido para cansarse"
"Horn","Cuerno"
"Acknowledge lack of amazement","Reconocer la ausencia de asombro"
" was abandoned."," fue abandonado."
"scratchy-voiced","voz rasposa"
"has many members in","tiene muchos miembros en"
"is very short and muscular","es muy bajo y musculoso"
"Acknowledge lack of apathy","Reconocer la ausencia de apat°a"
"Updown stair (remembered)","Escalera ascendente y descendente (recordada)"
"That's disgusting.","Eso es asqueroso. "
"a few minutes ago","hace unos pocos minutos"
" into believing "," en creer "
"Snow","Nieve"
":Path Goal ",":Objetivo del Camino "
"Stoneworking","Trabajo con Piedra"
"I'm appalled.","Estoy consternada."
"plants","plantas"
"Gigantic Profile","Perfil gigantesco"
"interrogate","interrogar"
"Footwear","Zapatos"
"the powers of the world were fading","las potencias del mundo se estaban desvaneciendo"
"dreams of making a great discovery","sue§os de hacer un gran descubrimiento"
"sees the denial of impulses as a vain and foolish pursuit","ve la negaci¢n de los impulsos como una b£squeda vana y tonta"
"But mostly I just like to drink.","Pero principalmente solo me gusta beber."
"A music competition","Una competencia de m£sica"
"Loyal","Leal"
"Fluid Engineer","Ingenier°a de Fluidos"
"I need something to do.","Necesito algo que hacer."
"My father discussed their problems with me.","Mi padre discuti¢ sus problemas conmigo."
"was a natural loner and refused to listen","era un solitario natural y se negaba a escuchar"
"End Year","Fin de A§o"
"I haven't slept for a very long time.","No he dormir desde hace mucho tiempo."
"Chained Guest","Invitado Encadenado"
"is moderately fast","es moderadamente r†pida"
"  The seat of "," El asiento de "
"a wall","una pared"
"generated","generado"
"Needs adjacent wall","Necesita una pared adyacente"
"is very weak and very short","es muy dÇbil y muy corto"
"Site located","Emplazamiento"
" under the leadership of "," bajo el liderazgo de "
"believes that peace is always preferable to war","cree que la paz siempre es preferible a la guerra"
"is fat and very small","es gordo y muy peque§o"
"perform","realizar"
"bones...  yes","huesos... s°"
"this place","este lugar"
"values tradition","valora la tradici¢n"
"and more","y m†s"
"the Companion","el Compa§ero"
"State that you love raunchy poems","Manifestar que te gustan los poemas obsecnos"
"the connection between disease and fouled water","la conecci¢n entre enfermedades y agua inmunda"
" own counsel"," consejo propio"
" was known to be"," era conocido por ser"
"[C:6:0:0].Moderate boiling","[C:6:0:0].Ebullici¢n moderada"
" bears"," osos"
"is large, muscular and fat","es grande, musculoso y gordo"
"new moon","luna nueva"
"deeply values introspection","valora profundamente la introspecci¢n"
"milk ","leche "
"Quern","Mortero"
"tends not to reveal personal information","tiende a no revelar informaci¢n personal"
"I have mastered ","Yo he dominado "
"No charge attack: target is chained","Ataque sin carga: el objetivo est† encadenado"
"State that you love reflective poetry","Manifestar que te encanta la poes°a reflexiva"
"chemistry:laboratory:systematic experiments","qu°mica: laboratorio: experimentos sistem†ticos"
"Allow Demonic Experiments","Permitir experimentos demon°acos"
"Need thread","Necesita hilo"
"Satisfied for next check","Satisfecho para el pr¢ximo cheque"
"I was attacked by my own dead ","Fu° atacado por mi propia muerte. "
"Whom does your identity worship?","®A quiÇn rinde culto su identidad?"
"harvest","cosecha"
"the end of work","el fin del trabajo"
"Invasion difficulty (second)","Dificultad de invasi¢n (segundo)"
