"more presumptious","бўльш зухвалий"
"frozen dwarven rum","заморожений дварфўйський ром"
"dwarven rum","дварфўйський ром"
"boiling dwarven rum","киплячий дварфўйський ром"
"dwarven sugar","дварфўйський цукор"
"frozen dwarven syrup","заморожений дварфўйський сироп"
"dwarven syrup","дварфўйський сироп"
"boiling dwarven syrup","киплячий дварфўйський сироп"
"rock nut soap","з олў∙ горўхового куща мило"
"melted rock nut soap","мило з розплавлено∙ олў∙ горўхового куща"
"twisting shape","звивистий вигляд"
"precise thorns","гострў шипи"
"strawberry plant","кущ полуницў"
"strawberry plants","кущў полуницў"
"frozen strawberry wine","заморожене полуничне вино"
"strawberry wine","полуничне вино"
"boiling strawberry wine","варити полуничне вино"
"strawberry","полуниця"
"strawberries","полуницў"
"Longland grass","Довгостебловик"
"frozen Longland beer","заморожене довгоземне пиво"
"Longland beer","Довгоземне пиво"
"boiling Longland beer","варити довгоземне пиво"
"Longland flour","борошно з довгостебловика"
"valley herb","долинотрав"
"valley herbs","долинотрави"
"frozen golden salve","заморожений золотий бальзам"
"golden salve","золотий бальзам"
"boiling golden salve","варити золотий бальзам"
"tiny leaves","дрўбне листя"
"rat weed","щурогриз"
"frozen sewer brew","заморожене каналўзацўйне пиво"
"sewer brew","каналўзацўйне пиво"
"boiling sewer brew","варити каналўзацўйне пиво"
"fisher berry","рибальська ягода"
"fisher berries","рибальськў ягоди"
"frozen fisher berry wine","заморожене вино з рибальсько∙ ягоди"
"fisher berry wine","вино з рибальсько∙ ягоди"
"boiling fisher berry wine","кипляче вино з рибальсько∙ ягоди"
"fisher berry seed","насўння рибальсько∙ ягоди"
"fisher berry seeds","насўння рибальсько∙ ягоди"
"rope reed","канаточник"
"rope reeds","канаточники"
"frozen river spirits","замерзле рўчкове мўцне"
"river spirits","рўчкове мўцне"
"boiling river spirits","варити рўчкове мўцне"
"rope reed slurry","кашка з канаточника"
"rope reed paper","папўр з канаточника"
"dimple cup","ямочник"
"dimple cups","ямочники"
"dimple dye","барвник з ямочника"
"blade weed","Мечелист"
"emerald dye","Смарагдовий барвник"
"hide root","Прихованокорўнь"
"redroot dye","барвник з червонокореня"
"sliver barb","скалкобород"
"sliver barbs","скалкобороди"
"frozen gutter cruor","замерзла ринвова сукровиця"
"gutter cruor","ринвова сукровиця"
"boiling gutter cruor","варити ринвову сукровицю"
"sliver dye","барвник зў скалкоборода"
"wicked thorns","небезпечнў шипи"
"sun berry","умсобо"
"sun berries","умсобо"
"frozen sunshine","заморожений умсобо"
"sunshine","сонячне сяйво"
"boiling sunshine","варити сонячне сяйво"
"whip vine","батўг-лўана"
"whip vines","батўг-лўани"
"frozen whip wine","заморожена батўг-лўана"
"whip wine","батўг-вино"
"boiling whip wine","варити батўг-вино"
"whip vine flour","борошно з батўг-лўани"
"mangrove","мангрове дерево"
"mangroves","мангровў дерева"
"mangrove leaf","лист мангрового дерева"
"mangrove leaves","листя мангрового дерева"
"mangrove flower","квўтка мангрового дерева"
"mangrove fruit","плўд мангрового дерева"
"mangrove bark dye","барвник з кори мангрового дерева"
"mangrove leaf dye","барвник з листя мангрового дерева"
"saguaro","сагуаро"
"saguaros","сагуари"
"saguaro rib wood"," деревина ребер сагуаро"
"saguaro flower","квўтка сагуаро"
"saguaro fruit","плўд сагуаро"
"pine","ўз сосни"
"pines","сосни"
"pine needle","соснова голка"
"pine seed cone","шишка з насўнням сосни"
