"more presumptious","bardziej arogancki"
"ibex kid","ko´l© kozioroæca"
"ibex kids","ko´l©ta kozioroæca"
"ibex man","kozioroæcoczàowiek"
"ibex men","kozioroæcoludzie"
"ibex woman","kozioroæcokobieta"
"ibex women","kozioroæcokobiety"
"A horned person with the head of an ibex.","Rogata postaÜ z gàow• kozioroæca."
"giant ibex","ogromny kozioroæec"
"giant ibexes","ogromne kozioroæce"
"giant ibex kid","ogromne ko´l•tko kozioroæca"
"giant ibex kids","ogromne ko´l•tka kozioroæca"
"A huge monster in the form of an ibex.","Ogromny potw¢r w postaci kozioroæca."
"A small, stocky mammal.  It is found from the mountains to the woodlands.","Maày, kr©py ssak. Wyst©puje od g¢r po lasy."
"wombat","wombat"
"wombats","wombaty"
"wombat joey","màode wombata"
"wombat joeys","wiele màodych wombata"
"waddle","kaczkowaty ch¢d"
"wombat man","wombatoczàowiek"
"wombat men","wombatoludzie"
"wombat woman","wombatokobieta"
"wombat women","wombatokobiety"
"A muscular person with the head of a wombat.","Muskularna osoba z gàow• wombata."
"giant wombat","ogromny wombat"
"giant wombats","ogromne wombaty"
"giant wombat joey","màode ogromnego wombata"
"giant wombat joeys","wiele màodych ogromnego wombata"
"A huge monster in the shape of a wombat.","Ogromny potw¢r w ksztaàcie wombata."
"A small dog-like creature.  They are known to attack livestock.","Maàe stworzenie przypominaj•ce psa. Znane z atak¢w na zwierz©ta gospodarskie."
"dingo","dingo"
"dingoes","dinga"
"dingo pup","szczeni© dingo"
"dingo pups","szczeni©ta dingo"
"dingo man","dingoczàowiek"
"dingo men","dingoludzie"
"dingo woman","dingokobieta"
"dingo women","dingokobiety"
"A person with the head of a dingo.","Osoba z gàow• dingo."
"giant dingo","ogromny dingo"
"giant dingoes","ogromne dinga"
"giant dingo pup","szczeni© ogromnego dingo"
"giant dingo pups","szczeni©ta ogromnego dingo"
"A huge monster in the form of a dingo.","Ogromny potw¢r w postaci dingo."
"A small, long-nosed raccoon-like creature.","Maàa, dàugonosa, podobna do szopa istota."
"coatis","ostronosy"
"baby coati","màode ostronosa"
"baby coatis","wiele màodych ostronosa"
"coati man","ostronosoczàowiek"
"coati men","ostronosoludzie"
"coati woman","ostronosokobieta"
"coati women","ostronosokobiety"
"A person with the head and tail of a coati.","Osoba z gàow• i ogonem ostronosa."
"giant coati","ogromny ostronos"
"giant coatis","ogromne ostronosy"
"baby giant coati","màode ogromnego ostronosa"
"baby giant coatis","wiele màodych ogromnego ostronosa"
"A huge monster in the form of a coati.","Ogromny potw¢r w postaci ostronosa."
"A small mammal resembling a large, white rat.","Maày ssak przypominaj•cy duæego, biaàego szczura."
"opossums","oposy"
"baby opossum","màode oposa"
"baby opossums","wiele màodych oposa"
"ability to play dead","umiej©tnoòÜ udawania martwego"
"opossum man","oposoczàowiek"
"opossum men","oposoludzie"
"opossum woman","oposokobieta"
"opossum women","oposokobiety"
"A person with the head and tail of an opossum.","Osobnik z gàow• i ogonem oposa."
"giant opossum","ogromny opos"
"giant opossums","ogromne oposy"
"baby giant opossum","màode ogromnego oposa"
"baby giant opossums","wiele màodych ogromnego oposa"
"A huge monster in the shape of an opossum.","Ogromny potw¢r w ksztaàcie oposa."
"A very small mammal with short legs and a long tail.  It hunts small animals to eat.","Bardzo maày ssak z kr¢tkimi nogami i dàugim ogonem. Poluje na maàe zwierz©ta, aby je zjeòÜ."
"mongooses","mangusty"
"mongoose pup","szczeni© mangusty"
"mongoose pups","szczeni©ta mangusty"
"agility","zr©cznoòÜ"
"mongoose man","mangustoczàowiek"
"mongoose men","magustoludzie"
"mongoose woman","mangustokobieta"
"mongoose women","mangustokobiety"
"A small person with the head and tail of a mongoose.","Maày czàowiek z gàow• i ogonem mangusty."
"giant mongoose","ogromna mangusta"
"giant mongooses","ogromne mangusty"
"giant mongoose pup","szczeni© ogromnej mangusty"
"giant mongoose pups","szczeni©ta ogromnej mangusty"
"A large mongoose-like monster known for hunting people amongst other things.","Duæy potw¢r przypominaj•cy mangust©, znany mi©dzy innymi z polowania na ludzi."
"A medium-sized pack predator found in the savanna.","óredniej wielkoòci drapieænik stadny wyst©puj•cy na sawannie."
"hyenas","hieny"
"hyena cub","szczeni© hieny"
"hyena cubs","szczeni©ta hieny"
"distinctive laugh","charakterystyczny òmiech"
"coordinated hunting","skoordynowane polowanie"
"hyena man","hienoczàowiek"
"hyena men","hienoludzie"
"hyena woman","hienokobieta"
"hyena women","hienokobiety"
"A person with the head and markings of a hyena.","Osoba z gàow• i centkami hieny."
"giant hyena","ogromna hiena"
"giant hyenas","ogromne hieny"
"giant hyena cub","szczeni© ogromnej hieny"
"giant hyena cubs","szczeni©ta ogromnej hieny"
"A huge monster the shape of a hyena.","Ogromny potw¢r w ksztaàcie hieny."
"A medium-sized snake that lives in the trees.  It eats prey much larger than itself and slays them by crushing them to death.","óredniej wielkoòci w•æ æyj•cy na drzewach. Zjada ofiar© znacznie wi©ksz• od siebie i zabija j•, miaædæ•c j• na òmierÜ."
"anaconda","anakonda"
"anacondas","anakondy"
"anaconda man","anakondoczàowiek"
"anaconda men","anakondoludzie"
"anaconda woman","anakondokobieta"
"anaconda women","anakondokobiety"
"A large anaconda with the torso and arms of a man.","Duæa anakonda z tuàowiem i ramionami m©æczyzny."
"giant anaconda","ogromna anakonda"
"giant anacondas","ogromne anakondy"
"A huge monster in the form of an anaconda.","Ogromny potw¢r w postaci anakondy."
"A medium-sized reptile.  They can be found foraging for food such as eggs or worms.  They are said to be the most intelligent of their kind.","Gad òredniej wielkoòci. Moæna je znale´Ü w poszukiwaniu poæywienia, takiego jak jaja lub robaki. M¢wi si©, æe s• najinteligentniejszymi w swoim rodzaju."
"monitor lizard","waran"
"monitor lizards","warany"
"monitor lizard hatchling","màode warana"
"monitor lizard hatchlings","wiele màodych warana"
"monitor lizard man","waranoczàowiek"
"monitor lizard men","waranoludzie"
"monitor lizard woman","waranokobieta"
"monitor lizard women","waranokobiety"
"A person with the head and tail of a monitor lizard.","Osoba z gàow• i ogonem warana."
"giant monitor lizard","ogromny waran"
"giant monitor lizards","ogromne warany"
"giant monitor lizard hatchling","màode ogromnego warana"
"giant monitor lizard hatchlings","wiele màodych ogromnego warana"
"A huge monster in the shape of a monitor lizard.","Ogromny potw¢r w ksztaàcie warana."
"A small limbless reptile known for its deadly venom and the warning of its hood.","Maày, pozbawiony ko‰czyn gad znany ze swojego òmiercionoònego jadu i ostrzegawczego kaptura."
"king cobra"," kobra kr¢lewska"
"king cobras","kobry kr¢lewskie"
"charming hood"," czaruj•cy kaptur"
"frozen king cobra venom","zamroæony jad kobry kr¢lewskiej"
"king cobra venom","jad kobry kr¢lewskiej"
"boiling king cobra venom","wrz•cy jad kobry kr¢lewskiej"
"king cobra bite"," uk•szenie kobry kr¢lewskiej"
"king cobra man","czàowiek kobra kr¢lewska"
"king cobra men","ludzie kobry kr¢lewskiej"
"king cobra woman","kobieta kobra kr¢lewska"
"king cobra women","kobiety kobry kr¢lewskie"
"A legless person with the head and tail of a king cobra."," Czàowiek bez n¢g z gàow• i tuàowiem kobry kr¢lewskiej"
"giant king cobra"," ogromna kobra kr¢lewska"
"giant king cobras","ogromne kobry kr¢lewskie"
"A large monster in the shape of a king cobra.","Duæy potw¢r w ksztaàcie kobry kr¢lewskiej."
"A small cat-like creature found in the jungle.","Maàe, podobne do kota stworzenie znalezione w dæungli."
"ocelot","ocelot"
"ocelots","oceloty"
"ocelot kitten","koci© ocelota"
"ocelot kittens","koci©ta ocelota"
"coat patterns","wzorzyste futro"
"ocelot man","ocelotom©æczyzna"
"ocelot men","ocelotom©æczy´ni"
"ocelot woman","ocelotokobieta"
"ocelot women","ocelotokobiety"
"A person with the head and tail of an ocelot.","Osoba z gàow• i ogonem ocelota."
"giant ocelot","gigantyczny ocelot"
"giant ocelots","gigantyczne oceloty"
"giant ocelot kitten","màody gigantycznego ocelota"
"giant ocelot kittens","màode gigantycznego ocelota"
"A huge monster in the shape of an ocelot.","Olbrzymi potw¢r w ksztaàcie ocelota."
"A small wolf-like scavenger.  Normally found in pairs, jackals can form packs when they find a body.","Maày, podobny do wilka padlinoæerca. Szakale, zwykle spotykane w parach, mog• tworzyÜ stada, gdy znajd• ciaào."
"jackals","szakale"
"jackal pup","szczeni© szakala"
"jackal pups","szczeniaki szakala"
"resourceful nature","bogata natura"
"jackal man","szakaloczàowiek"
"jackal men","szakaloludzie"
"jackal woman","szakalokobieta"
"jackal women","szakalokobiety"
"A person with the head and tail of a jackal.","Osoba z gàow• i ogonem szakala."
"giant jackal","gigantyczny szakal"
"giant jackals","gigantyczne szakale"
"giant jackal pup","szczeni© gigantycznego szakala"
"giant jackal pups","szczeniaki gigantycznego szakala"
"A large monster in the form of a jackal.","Duæy potw¢r w postaci szakala."
"A tiny diurnal monkey.  It spends its time in the trees searching for food.","Maàa dzienna maàpa. Sp©dza czas na drzewach w poszukiwaniu poæywienia."
"capuchin","kapucyn"
"capuchins","kapucyni"
"capuchin man","kapucynkoczàowiek"
"capuchin men","kapucynkoludzie"
"capuchin woman","kapucynokobieta"
"capuchin women","kapucynonurokobiety"
"A person with the head and tail of a capuchin.","Osoba z gàow• i ogonem kapucyna."
"giant capuchin","gigantyczny kapucyn"
"giant capuchins","gigantyczni kapucyni"
"A large monster in the form of a capuchin.","Duæy potw¢r w postaci kapucyna"
"A small, slow-moving mammal that lives in the trees.","Maày, powolny ssak, æyj•cy w drzewach."
"sloths","leniwce"
"slow movement","powolne ruchy"
"sloth man","leniwcoczàowiek"
"sloth men","leniwcoludzie"
"sloth woman","leniwcokobieta"
"sloth women","leniwcokobiety"
"A person with the head of a sloth.","Osoba z gàow• leniwca."
"giant sloth","gigantyczny leniwiec"
"giant sloths","gigantyczne leniwce"
"A huge monster in the shape of a sloth.","Olbrzymi potw¢r w ksztaàcie leniwca."
"A small animal found in the canopy of the jungle.  They have extremely long arms and legs.","Maàe zwierz© znalezione w koronach drzew. Maj• niezwykle dàugie r©ce i nogi."
"spider monkey","maàpopaj•k"
"spider monkeys","maàpopaj•ki"
"long limbs","dàugie ko‰czyny"
"prehensile tails","imponuj•ce ogony"
"spider monkey man","czàowiek maàpopaj•k"
"spider monkey men","ludzie maàpopaj•ki"
"spider monkey woman","kobieta maàpopaj•k"
"spider monkey women"," kobiety maàpopaj•ki"
"A long-limbed person with the head and tail of a spider monkey.","Osoba z dàugimi ko‰czynami z gàow• i ogonem paj•komaàpy."
"giant spider monkey","ogromny maàpopaj•k"
"giant spider monkeys","ogromne maàpopaj•ki"
"A large monster in the form of a spider monkey.","Duæy potw¢r w postaci paj•ko maàpy."
"A small mammal covered in hard scales.  It has a long nose and tongue which it uses to feed.","Maày ssak pokryty twardymi àuskami. Ma dàugi nos i j©zyk kt¢rego uæywa do jedzenia."
"pangolins"," àuskowce"
"baby pangolin","màody àuskowca"
"baby pangolins","màode àuskowca"
"overlapping scales","nakàadaj•ce si© àuski"
"pangolin man"," àuskowiec"
"pangolin men","àuskowce"
"pangolin woman"," àuskowczyni"
"pangolin women","àuskowczynie"
"A person with the head and scales of a pangolin.","Osoba z gàow• i àuskami àuskowca."
"giant pangolin","gigantyczny àuskowiec"
"giant pangolins","gigantyczne àuskowce"
"baby giant pangolin","màody wielkiego àuskowca"
"baby giant pangolins","màode wielkiego àuskowca"
"A huge monster in the form of a pangolin.","Ogromny potw¢r w postaci àuskowca."
"A small aggressive snake which can move very quickly.  Its venom is deadly."," Maày, agresywny w•æ, kt¢ry moæe poruszaÜ si©  bardzo szybko. Jego jad jest òmiertelny."
"black mamba","czarna mamba"
"black mambas","czarne mamby"
"aggression","agresja"
"deadly bite","òmiertelne uk•szenie"
"frozen black mamba venom","zamroæony jad czarnej mamby"
"black mamba venom","jad czarnej mamby"
"boiling black mamba venom","wrz•cy jad czarnej mamby"
"black mamba bite","uk•szenie czarnej mamby"
"black mamba man","czarna mamba"
"black mamba men","czarne mamby"
"black mamba woman","czarna mamba kobieta"
"black mamba women","czarne mamby kobiety"
"A person in the form of a large black mamba with arms.","Osoba maj•ca ksztaàt duæej czarnej mamby z ramionami."
"giant black mamba","ogromna czarna mamba"
"A large monster taking the shape of a black mamba.","Duæy potw¢r przyjmuj•cy ksztaàt czarnej mamby. "
"A medium-sized mammal that lives in the trees.  It is known for its easy-going nature.","óredniej wielkoòci ssak æyj•cy na drzewach. Jest znany ze swojego àagodnego usposobienia."
"sloth bear","wargacz leniwy"
"sloth bears","wargacze leniwe"
"sloth bear cub","màode wargacza leniwego"
"sloth bear cubs","màode wargacza leniwego"
"large floppy ears","duæe oklapni©te uszy"
"sloth bear man","wargacz leniwy m©æczyzna"
"sloth bear men","wargacze leniwe m©æczy´ni"
"A person with the head and claws of a sloth bear.","Osobnik z gàow• i pazurami nied´wiedzia wargacza."
"giant sloth bear","olbrzymi nied´wied´ leniwiec"
"giant sloth bears","olbrzymie nied´wiedzie leniwce"
"giant sloth bear cub","màode olbrzymiego nied´wiedzia leniwca"
"giant sloth bear cubs","màode olbrzymich nied´wiedzi leniwc¢w"
"A huge monster in the form of a sloth bear.","Ogromny potw¢r w postaci nied´wiedzia leniwca."
"A small, nocturnal, tree-dwelling mammal.  It uses its long fingers to fish out grubs from the wood.","Maày, nocny ssak zamieszkuj•cy drzewa. Uæywa dàugich palc¢w, aby wyàowiÜ larwy z drewna "
"aye-aye","palczak madagaskarski"
"aye-ayes","palczaki madagaskarskie"
"interesting fingers","ciekawe palce"
"aye-aye man","palczak madagaskarski m©æczyzna"
"aye-aye men","palczaki madagaskarskie m©æczy´ni"
"aye-aye woman","palczak madagaskarski kobieta"
"aye-aye women","palczaki madagaskarskie kobiety"
"A person with the head and fingers of an aye-aye.","Osoba z gàow• i palcami palczaka madagaskarskiego."
"giant aye-aye","olbrzymi palczak madagaskarski"
"giant aye-ayes","olbrzymie palczaki madagaskarskie"
"A huge monster shaped like an aye-aye.","Ogromny potw¢r w ksztaàcie palczaka madagaskarskiego."
"A tiny venomous snake.  It is the longest of the pit vipers.","Malutki jadowity w•æ. Jest najdàuæsz• z æmij."
"bushmaster","w•æ buszowy"
"bushmasters","w©æe buszowe"
"frozen bushmaster venom","zamroæony jad w©æa buszowego"
"bushmaster venom","jad w©æa buszowego"
"boiling bushmaster venom","wrz•cy jad w©æa buszowego"
"bushmaster bite","ugryzienie w©æa buszowego"
"bushmaster man","m©æczyzna w•æ buszowy"
"bushmaster men","m©æczy´ni w©æe buszowe"
"bushmaster woman","kobieta w•æ buszowy"
"bushmaster women","kobiety w©æe buszowe"
"A large bushmaster with the arms of a man.","Duæy w•æ buszowy z ramionami m©æczyzny."
"giant bushmaster","olbrzymi w•æ buszowy"
"giant bushmasters","olbrzymie w©æe buszowe"
