"more presumptious","mer‚szebb"
"Assign a trainer to this creature.","Rendelj hozz  egy edz‹t ehhez a l‚nyhez."
"Spread rumor of the ","Terjessz pletyk t a "
"Saving coin information...","rmeadatok ment‚se..."
"Loud movement","Hangos mozg s"
"The poem has ","A versben "
"I'm not feeling gloomy.","Nem vagyok lehangolt."
"Winter","T‚l"
"Invader vertical digging aversion (smaller = more digging)","Az Invader fgg‹leges  s si hajland¢s ga (min‚l kisebb az ‚rt‚k, ann l ink bb hajlamos az  s sra)"
"dictionaries","sz¢t rak"
" regarding the conflict between "," a k”vetkez‹ k”z”tti konfliktus kapcs n: "
" bodies"," szervek"
"Decorum","Illem"
"Remove current location assignment","Az aktu lis helysz¡n hozz rendel‚s‚nek elt vol¡t sa"
"I'm not feeling passionate.","Nem ‚rzem magamban a szenved‚lyt."
"Disdains harmony","Megveti a harm¢ni t"
"Art?  More like wasted opportunity.","Mûv‚szet? Ink bb elszalasztott lehet‹s‚g."
"Criminal","Bûngyi"
"right around here","pontosan itt valahol"
"A beast from the wilds has been harassing our people.","Egy vadonb¢l ‚rkezett fenevad zaklatja a n‚pnket."
"Approve of the joke","Egyet‚rtek a viccel"
"new grudge","£j harag"
" being abandoned"," elhagy s"
"deep material ","m‚lyrehat¢ anyag "
"You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items. ","Ezeket a t rgyakat a [C:1:0:1]K¢rh z[C:7:0:0] terlet‚n bell [C:6:0:0]L d kat[C:7:0:0] vagy [C:6:0:0]Kincsesl d kat[C:7:0:0] kell ‚p¡tened a t rol sukhoz. "
" (associated civilization)[R]"," (kapcsol¢d¢ civiliz ci¢)[R]"
"is very long and muscular","nagyon hossz£ ‚s izmos"
"You can build staircases to connect different elevations.  Staircases must span at least two elevations.  Requires boulder, block, or wood.","L‚pcs‹ket ‚p¡thetsz a kl”nb”z‹ magass gi szintek ”sszek”t‚s‚re.  A l‚pcs‹knek legal bb k‚t magass gi szintet kell ”sszek”tnik.  Ehhez szikla, t‚gla vagy fa szks‚ges."
"Release other prisoners","Engedj‚k szabadon a t”bbi foglyot"
"Gouge ","V‚s‹ "
"cook","f‹zni"
"shrew","cick ny"
"bacchic","bacchikus"
"Item inaccessible","Az elem nem ‚rhet‹ el"
"Archer Reposition","Archer  thelyez‚se"
"Seek Heist Master","Keress egy rabl smestert"
"believes the idea of war is utterly repellent and would have peace at all costs","teljes m‚rt‚kben visszatasz¡t¢nak tartja a h bor£ gondolat t, ‚s minden  ron a b‚k‚t t mogatn "
"The Dirt","A Dirt"
"to fill a role as a mercenary","zsoldosk‚nt dolgozni"
"The rules of the form are applied by composers to produce individual pieces of music which can be performed.  ","A formula szab lyait a zeneszerz‹k alkalmazz k, hogy egyedi, el‹adhat¢ zenemûveket hozzanak l‚tre. "
"the counterpoint of the","a... ellenpontja"
"Diseases","Betegs‚gek"
" guild"," c‚h"
"poetry","k”lt‚szet"
"engineering:astronomy:astrolabe","m‚rn”ki tudom ny:csillag szat:asztrol bium"
" Year"," v:"
" crucified "," keresztre fesz¡tett "
"three thousand","h romezer"
"Don't talk to me.","Ne sz¢lj hozz m!"
"Process plants (barrel)","Feldolgoz¢zemek (hord¢)"
" X-Variance"," X-Elt‚r‚s"
"Store item in vehicle","A t rgyat a j rmûben t rolja"
"Dismiss minor feeling of pessimism","Hessegessk el a kis m‚rt‚kû pesszimizmust"
"impalement on ","kar¢ba h£z s "
"There are no merchants present with which to trade.","Nincsenek jelen olyan keresked‹k, akikkel kereskedni lehetne."
"Warning Text Scroll","Figyelmeztet‹ sz”veg g”rget‚se"
"You are unconscious.","Eszm‚letlen vagy."
"medicine:theory:epidemic disease","orvostudom ny:elm‚let:j rv nyos betegs‚gek"
" string by stopping it against the body.  "," a zsin¢rt £gy, hogy a testhez szor¡tja.  "
"the heliocentric model","a heliocentrikus modell"
"the joining of ","az ”sszekapcsol sa "
"I just don't care anymore...","M r egyszerûen nem ‚rdekel..."
"the Shape of the World","A vil g alakja"
"greed","kapzsis g"
"gambling of ","szerencsej t‚k "
"unit-","egys‚g-"
"Grumpy","Morcos"
"a proof that there are infinitely many prime numbers","bizony¡t‚k arra, hogy v‚gtelenl sok pr¡msz m l‚tezik"
"more sensitive","‚rz‚kenyebb"
"five ","”t "
"a jealous grudge, ","f‚lt‚keny harag, "
"Flights of fancy","K‚pzeletbeli utaz sok"
"to be rapidly losing patience","hogy gyorsan elfogy a trelme"
" as pet"," kedvtel‚sb‹l tartott  llatk‚nt"
"Entrance","Bej rat"
"Blood Vessels","rrendszer"
"Respond passively","Passz¡van reag lj"
"I don't feel restless.","Nem ‚rzem magam nyugtalannak."
" adjust"," be ll¡tani"
"A marauding warband is threatening our people.","Egy fosztogat¢ harci csapat fenyegeti n‚pnket."
"This ornamental construction can enhance the value of rooms.  A window object must be made at a glass furnace before it can be placed.","Ez a d¡sz¡t‹ elem n”velheti a szob k ‚rt‚k‚t.  Az ablakot vegkemenc‚ben kell elk‚sz¡teni, miel‹tt elhelyezhet‹ lenne."
"Quick to give up","Gyorsan feladja"
" regain"," visszanyerni"
" lock"," z r"
"We have unleashed the echo of a forgotten divine retribution!","Elszabad¡tottuk egy elfeledett isteni bossz£ visszhangj t!"
"(no mat1)","(nincs mat1)"
" (location no longer in zone)"," (a helysz¡n m r nem tartozik a z¢n hoz)"
"the embriological development of creatures","az ‚l‹l‚nyek embriol¢giai fejl‹d‚se"
"tanned hide","cserzett b‹r"
"With a band so large, what share of the glory would I have?","Egy ilyen nagy zenekarban milyen r‚szesed‚sem lenne a dics‹s‚gb‹l?"
"somewhat quarrelsome","kiss‚ veszeked‹s"
"the construction and use of the parabolic mirror","a parabolikus tk”r fel‚p¡t‚se ‚s haszn lata"
"Add ammunition","L‹szer felt”lt‚se"
"an amazing spatial sense","csod latos t‚r‚rz‚k"
"raw... clear","nyers... tiszta"
"Minimum Number of Mid-Drainage Squares","A k”zepes v¡zelvezet‚sû n‚gyzetek minim lis sz ma"
"Affects resistance to poisons and infections.","Befoly solja a m‚rgekkel ‚s fert‹z‚sekkel szembeni ellen ll¢k‚pess‚get."
"  Your status as a middling land has attracted more trade than usual.","  Az, hogy k”zepes jelent‹s‚gû orsz gnak sz m¡tasz, a szok sosn l t”bb kereskedelmet vonzott ide."
"chemistry:laboratory:glass retort","k‚mia:laborat¢rium:vegretort"
"condense","”sszefoglalni"
"Avoid fights","Kerld a veszeked‚seket"
"pressed amber","pr‚selt borosty n"
" forth an awe-inspiring sermon for the ages!"," tartson egy minden id‹k leghat sosabb pr‚dik ci¢j t!"
"decorum","illend‹s‚g"
"Cart","Kos r"
"Store item in barrel","A t rgyat a hord¢ba helyezni"
"Malachite","Malachit"
"arpeggios","arpeggi¢k"
"combat drills","harci gyakorlatok"
"the ","a "
"add button to assign the [C:2:0:0]Animals[C:7:0:0].","Kattintson a ,,Hozz ad s"" gombra a [C:2:0:0]Animals[C:7:0:0] hozz rendel‚s‚hez."
" but did not reveal everything"," de nem  rult el mindent"
"I have become a parent","Szl‹ lettem"
"Don't try to throw your weight around.","Ne pr¢b lj hatalmaddal vissza‚lni!"
"pyramids","piramisok"
"Truly.","Val¢ban."
"baronesses","b r¢n‹"
"--- Logging Creature ","--- A f kiv g¢ l‚ny "
"holds fairness as one of the highest ideals and despises cheating of any kind","a tisztess‚get az egyik legf‹bb eszm‚nynek tekinti, ‚s mindenfajta csal st el¡t‚li"
"the attack on ","a t mad s "
"leatherworker","b‹rfeldolgoz¢"
" wind instrument"," f£v¢s hangszer"
"a petition for a temple for ","pet¡ci¢ egy templom ‚p¡t‚s‚‚rt "
"Thick","Vastag"
"(Cavern soil","(barlangi talaj"
"push","tol"
"State feelings of great aversion","Er‹s ellenszenv ‚rz‚s‚nek kifejez‚se"
" with temple"," templommal"
"State feelings of eagerness","A lelkesed‚s ‚rz‚seinek kifejez‚se"
"Writing materials include paper and parchment sheets.","Az ¡r¢eszk”z”k k”z‚ tartoznak a pap¡r- ‚s pergamenlapok."
"sees the pursuit of good ","a j¢ el‚r‚se "
"Sleep/room at will","Alv s/szoba tetsz‚s szerint"
"drops any activity at the slightest hint of difficulty or even the suggestion of effort being required","a legkisebb neh‚zs‚g jele vagy ak r csak az er‹fesz¡t‚s gondolat nak felmerl‚se eset‚n is azonnal feladja a tev‚kenys‚get"
"mountains","hegyek"
" a good crack when "," egy j¢ nevet‚s, amikor "
"Melancholy","Melank¢lia"
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","N‚h ny helysz¡n m‚g a tapasztalt j t‚kosok sz m ra is kih¡v st jelent, ‚s val¢ban nagyon r”vid lesz a j t‚k, ha nem tudod, hogyan kell megbirk¢zni velk!"
"map accuracy","a t‚rk‚p pontoss ga"
"noted protector of the weak","a gyeng‚k elismert v‚delmez‹je"
"finds the pursuit of knowledge to be a waste of effort","a tud skeres‚st er‹fesz¡t‚s-pazarl snak tartja"
"Toggle whether workshops can source materials from outside the burrow.","Be ll¡thatod, hogy a mûhelyek beszerezhetnek-e anyagokat az regb‹l k¡vlr‹l."
"Closing file...","A f jl bez r sa..."
" been "," volt "
"came to desire to bathe the world in chaos","elhat rozta, hogy a vil got k oszba bor¡tja"
" concluded with "," a k”vetkez‹vel z rult: "
"Deceit","Csal s"
"population of several hundred","t”bb sz z f‹s lakoss g"
"Complete: report back","Befejezve: jelent‚st tenni"
"Workers ignore outdoor vermin remains","A munk sok nem t”r‹dnek a szabadban hever‹ k rtev‹-maradv nyokkal"
"the vial","az ampulla"
"That was frightening.","Ez ijeszt‹ volt."
"No one even considered making the journey to such a miserable hellhole this season.","Ebben a szezonban senki sem gondolt arra, hogy elutazzon egy ilyen nyomor£s gos pokolba."
"a former prisoner of","egy kor bbi fogoly"
" dislikes the adoration of fighting as an art to be refined"," nem szereti, ha a harcot mint t”k‚letes¡tend‹ mûv‚szetet im dj k"
"the Surrender","A megad s"
"no shoes","cip‹ n‚lkl"
"as a symbol of authority within ","a hatalom szimb¢lumak‚nt a...-n bell "
"official meeting in dining room","hivatalos tal lkoz¢ az ‚tkez‹ben"
"a caravan from ","egy karav n "
"Things usually don't work out","A dolgok  ltal ban nem alakulnak j¢l"
"Economy production trigger 3","Gazdas gos zemm¢d-aktiv l¢ 3"
"compelled the creation of","k”telez‹v‚ tette a"
"surveying","felm‚r‚s"
"entertain people","sz¢rakoztatni az embereket"
"I despair at this!","Ett‹l teljesen k‚ts‚gbe esem!"
"squeaky-voiced","nyikorg¢ hang£"
"was drowned","megfulladt"
"famous dancer","h¡res t ncos"
"This creature is assigned to a work detail.","Ezt a l‚nyt egy munkacsoportba osztott k be."
"Werebeasts can attack","A v‚rfarkasok t madhatnak"
"the Verse","a vers"
"This mission cannot be altered now.","Ezt a kldet‚st most m r nem lehet m¢dos¡tani."
"  Best keep your head down.","  Jobb, ha nem h¡vod fel magadra a figyelmet."
"Horrors!  Demons in the deep!","Jaj, micsoda borzalom!  D‚monok a m‚lyben!"
"an unknown building","egy ismeretlen ‚plet"
"Tell a story about a civilization or organization","Mes‚lj el egy t”rt‚netet egy civiliz ci¢r¢l vagy szervezetr‹l!"
"Frightened","Megr‚mlt"
"Attacks target specific body parts and have various modifiers.  You will select these in the subsequent menus.  ","A t mad sok meghat rozott testr‚szeket c‚loznak meg, ‚s kl”nf‚le m¢dos¡t¢kkal rendelkeznek. Ezeket a k”vetkez‹ menkben v laszthatod ki.  "
"You will received bad advice.","Rossz tan csot fogsz kapni."
"You are melting!","Elolvadsz!"
"mid-size stationary","k”zepes m‚retû, helyhez k”t”tt"
"has a large body and is very fat","nagy testû ‚s nagyon k”v‚r"
"after practicing a skill","egy k‚szs‚g gyakorl sa ut n"
" strike at "," r csap s "
"rewarding","kiel‚g¡t‹"
"medicine:tool:animal remedies","gy¢gy szat:eszk”z: llati gy¢gyszerek"
" commissioners"," biztosok"
"I feel resentful.","Haragszom."
"Not set to fertilize","Nincs be ll¡tva a megterm‚keny¡t‚sre"
"only son","egyetlen fia"
"Practice","Gyakorl s"
" slipping out of "," kics£szik a "
"Legendary preserver of the knowledge","A tud s legend s ‹rz‹je"
" from paternal grandfather"," az apai nagyap t¢l"
"began wandering","elindult v ndorolni"
"Protector of the weak","A gyeng‚k v‚delmez‹je"
"Desired Evil Square Count in Small Subregions","A kis alr‚gi¢kban k¡v nt gonosz n‚gyzetek sz ma"
"a few hours ago","n‚h ny ¢r ja"
"Wax Worker","Viaszmûves"
"Corrupt Soldier Mood: ","Korrupt katona hangulata: "
"a request to offer service","szolg ltat sny£jt sra ir nyul¢ k‚relem"
"later","k‚s‹bb"
"I could not find a priest to comfort me.","Nem tal ltam papot, aki megvigasztalt volna."
"shield","pajzs"
"Finalizing inorganics...","A szervetlen vegyletek v‚gleges¡t‚se..."
"the army of ","a hadsereg "
"silence","csend"
" amulet"," amulett"
"square of pillars","oszlopok t‚r"
"heavy","neh‚z"
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","Adj ki fakiv g si parancsokat.  V laszd ki a fa t”v‚t £gy, hogy a fav g¢ el‚rhesse.  Szks‚g eset‚n rendelj egy fav g¢t a munkacsoporthoz.  A fav g¢nak balt ra van szks‚ge."
"The world generator is having trouble placing savagery in the manner specified by the parameters.  ","A vil ggener tornak gondjai vannak a vads gnak a param‚terek  ltal meghat rozott m¢don t”rt‚n‹ elhelyez‚s‚vel. "
"the Steps","a l‚p‚sek"
"the differential gear","a differenci lmû"
" synthesis"," szint‚zis"
" on its territory"," a terlet‚n"
"a great sense of empathy","rendk¡vli emp tia"
"Set from which workshops and stockpiles this stockpile gives and takes items.","Hat rozza meg, hogy mely mûhelyekb‹l ‚s rakt rakb¢l vesz  t ‚s ad  t t rgyakat ez a rakt r."
"Popup: Work details","Felugr¢ ablak: A munka r‚szletei"
"dislikes obligations and will try to avoid being bound by them","nem szereti a k”telezetts‚geket, ‚s igyekszik elkerlni, hogy azok k”telezzenek ‹t"
"afraid to die","f‚l a hal lt¢l"
"of the poem","a versb‹l"
" is stumbling around obliviously!"," ”nfeledten botork l!"
"a very good setting","egy nagyon sz‚p k”rnyezet"
"tends to stretch ","hajlamos megny£lni "
"A legend?  Here?  I can scarcely believe it.  ","Egy legenda? Itt? Alig tudom elhinni.  "
"  Knowing no mercy, ","  Kegyetlenl, "
" with intentions of shooting "," l”v‚s sz nd‚k val "
"Some laws are just, while others were made to be broken.","Vannak igazs gos t”rv‚nyek, m sokat viszont az‚rt hoztak, hogy megszegj‚k ‹ket."
"in need of drink","szomjas"
" stand is used to support the instrument.]"," az  llv nyt a hangszer megt maszt s ra haszn lj k.]"
"Prepare using a saved embark profile:","El‹k‚sz¡t‚s egy elmentett besz ll si profil haszn lat val:"
"Your most trusted local companions are meeting you here today.","A legmegb¡zhat¢bb helyi t rsaid ma itt v rnak r d."
"has a long, thin frame hidden beneath copious rolls of lard","hossz£, v‚kony testalkata b‹s‚ges zs¡rr‚tegek alatt rejt‹zik"
" through force of argument"," ‚rvel‚s erej‚vel"
"figurine","figurina"
"[C:3:0:1].Paralysis","[C:3:0:1].B‚nul s"
"rumored enemy"," ll¡t¢lagos ellens‚g"
"fish","hal"
"a legendary quarreler","egy legend s veszeked‹"
"Childhood friend","Gyerekkori bar t"
"Died in the dark","A s”t‚tben halt meg"
"choking on dust underground","a f”ld alatt a porba fulladva"
"Calm yourself!","Nyugodj meg!"
"Ice Track (W)","J‚gp lya (W)"
"Acknowledge lack of rapture","Ismerd el, hogy nincs elragadtat s"
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","Csak a kiv lasztott ‚rcek ‚s dr gak”vek kerlnek kitermel‚sre, a felt rt azonos t¡pus£ ‚rcek ‚s dr gak”vek automatikusan kerlnek kitermel‚se."
