"World","Mundo"
"'s excited","este excitado"
"talks very quickly when ","habla muy rápido cuando "
"begins to talk rapidly when ","empieza a hablar rápidamente cuando "
"tends to speak very deliberately","tiende a hablar muy deliberadamente "
"'s annoyed","está molesto/a"
" becomes exasperated, "," se exaspera, "
" begins to speak very deliberately"," empieza a hablar muy deliberadamente"
"mutters under ","murmura bajo "
" breath when "," respira cuando "
"starts to mutter under ","comienza a murmurar bajo "
" gets excited"," se emociona"
"'s thinking","este pensando"
" starts to mutter under "," comienza a murmurar bajo "
" breath"," respiro"
"Whenever there's a pause in a conversation, ","Cada vez que hay una pausa en una conversación, "
"'s bored","este aburrido"
"constantly mutters under ","constantemente murmura bajo "
"starts to stutter when ","comienza a tartamudear cuando "
"always stutters when ","siempre tartamudea cuando "
"'s surprised","este sorprendido"
"begins to stammer when ","comienza a tartamudear cuando "
" becomes exasperated"," se exaspera"
"stutters occasionally","tartamudea ocasionalmente"
"has a tendency to talk to inanimate objects","tiene tendencia a hablar con objetos inanimados"
" gets bored, "," se aburre. "
" talks to inanimate objects when there is a lull in the conversation"," habla con objetos inanimados cuando hay una pausa en la conversacion"
"talks to inanimate objects when ","habla con objetos inanimados cuando "
"often talks to inanimate objects when ","a menudo conversa con objetos inanimados cuando "
"'s trying to remember something","está tratando de recordar algo"
"talks to ","habla con "
" when "," cuando "
" gets excited, "," se excite, "
" often starts talking to "," a menudo conversa con "
"starts talking to ","empieza a hablarle a "
"When there's a pause in a conversation, ","Cuando hay una pausa en la conversación, "
" whenever "," en cualquier momento "
" gets bored"," se aburra"
" all of the time"," todo el tiempo"
"gets distracted from conversations easily when ","se distrae facilmente de la conversación cuando "
"is distracted from conversations easily when ","está distraido facilmente de la conversación cuando "
"gets distracted during conversations when ","se distrae durante la conversación cuando "
"is easily distracted during conversations when ","es fácilmente distraído en conversaciones cuando "
"gets easily distracted during conversations when ","se distrae facilmente de de las conversaciones cuando "
"tends to be easily distracted during conversations","tiende a distraerse facilmente en las conversaciones"
"will frequently ramble on with stories that don't have any point or even conclusion","frecuentemente divaga con historias que no tienen sentido o termino"
"quite often tells pointless stories when ","muy a menudo cuenta historias sin sentido cuando "
" often tells stories without any real point"," a menudo cuenta historias sin ningun motivo"
"often tells pointless stories when ","a menudo cuenta historias sin sentido cuando "
"tends to be very focused during conversations","tiende a estar muy concentrado durante conversaciones"
"becomes very focused during conversations when ","presta mucha atencion durante conversaciones "
"will often pause in conversation to look for the right word","a menudo hace pausas en conversaciones para mirar por la palabra correcta"
"often touches those to whom ","a menudo toca a aquellos a quien "
" is speaking"," está hablando"
"will often touch others when greeting them","a menudo toca a otros cuando los saluda"
"often touches others during conversations when ","a menudo toca otros durante conversaciones cuando "
"has a way of arguing with those that are in agreement with ","tiene un modo de discutir con aquellos que están en acuerdo con "
"can't stand quiet pauses in conversations and always finds something to say","no soporta las  pausas incomodas y siempre encuentra algo que decir"
" is nervous, "," esta nervioso, "
" never allows pauses to occur in conversation"," nunca permite pausas en una conversacion"
"pauses before speaking","pausas antes de hablar"
"talks about others behind their backs","habla sobre otros a sus espaldas"
"interrupts others during conversations when ","interrumpe otras conversaciones cuando "
"tends to interrupts others during conversations when ","tiende a interrumpir otros durante conversaciones cuando "
" often interrupts others during conversations"," a menudo interrumpe otros durante conversaciones"
" is excited during conversations, "," se emociona durante conversaciones "
" often can't help interrupting others"," casi nunca puede evitar interrumpir a otros"
"has a habit of interrupting speakers","tiene el habito de interrumpir conversaciones"
"gives incredibly vague answers to questions","da respuestas increíblemente vagas a preguntas"
"will without fail turn any conversation to ","podrá, sin fallar, convertir cualquier conversación en "
"rarely speaks","raramente dice algo"
"rarely speaks when ","raramente habla cuando "
"has trouble speaking when ","tiene problemas hablando cuando "
"'s nervous, ","este nervioso, "
" rarely talks"," raramente habla"
"rarely starts conversations","raramente comienza una conversación"
"has the habit of answering questions with questions","tiene el hábito de responder preguntas con otras preguntas"
"has a habit of snapping ","tiene un habito de chasquear dedos "
"often snaps ","chasquidos sesguidos "
"always snaps ","siempre chasquea "
"'s greeting somebody","está saludando a alguien"
"snaps ","chasquidos "
" repeatedly when "," repetidamente cuando "
"has a habit of drumming ","tiene el hábito de golpetear "
"drums ","bateria "
"'s sitting down","está sentado/a"
" gets excited, it's easy to tell because "," está emocionado, es fácil de notar porque "
" drums "," tambores "
" often drums "," a menudo tamborea "
"has a habit of scratching ","tiene la costumbre de arañar "
"'s bored, ","está aburrido/a, "
" often scratches "," a menudo araña "
"scratches ","araña "
"tends to scratch ","tiende a arañar "
" quite often"," bastante seguido"
" a lot"," mucho"
"always scratches ","siempre rasguña "
"often rubs ","a menudo frota "
" always points at others when greeting them"," siempre apunta a otros cuando los saluda"
" gets exasperated, "," se exaspera, "
" often points and shakes "," a menudo apunta y agita "
"shakes ","sacudidas "
" up and down when "," arriba y abajo cuando "
"points and shakes ","apunta y agita "
"runs ","corre "
" through "," entre "
"has a habit of running ","tiene el hábito de correr "
"occasionally cracks ","grietas ocasionales "
"cracks ","grietas "
"often gives ","a menudo da "
"'s thinking hard","está pensando mucho"
" sometimes cracks "," aveces se quiebra "
"has a very distinct laugh","tenes una risa distinguida"
"laughs in a unique way whenever ","ríe de una forma única cada vez que "
"'s surprised, ","está sorprendido/a, "
" has a very unique laugh"," tenes una única risa"
"has a very distinct laugh for when ","tiene una risa muy distintiva para cuando "
" has more a cackle than a laugh"," tiene más una risa que una risa"
" laughs very loudly"," riendo muy fuerte"
" laughs very loudly whenever "," riendo muy fuerte cuando "
" laughs loudly when "," riendo fuerte cuando "
"laughs silently","riendo silenciosamente"
"has a nervous laugh","tiene una risa nerviosa"
"laughs at ","se ríe en "
" own jokes"," propios chistes"
"walks as if in a terrible hurry whenever ","anda como en una emergencia terrible como si "
" goes anywhere"," va a cualquier sitio"
"skips wherever ","salta como si "
" goes"," va"
"skips over to others when ","salta sobre los otros cuando "
" meets them"," reune con ellos"
"skips around when ","salta alrededor cuando "
"walks with a confident stride","anda con un paso confiado"
" in a rigid posture"," en un poste rígido"
"'s thinking, ","está pensando "
" body becomes very still"," cuerpo se pone muy tranquilo"
" stiffens up when "," se estira cuando "
" tenses up when "," se tensa cuando "
" becomes very rigid when "," se pone muy rígido cuando "
" has a slouching posture"," tiene una postura encorvada"
"slouches when ","encorva cuando "
"chews ","mastica "
"'s trying to remember something, ","Está tratando de recordar algo, "
" often starts chewing on "," a menudo comienza a masticar en "
" intently when "," atentamente cuando "
"idly chews ","mastica sin hacer nada "
"gnaws ","carcome "
"tends to chew ","tiende a masticar "
" tends to chew on "," tiende a masticar en "
" has a habit of chewing on "," tiene la costumbre de masticar en "
"gnaws on ","roe en "
" has a tendency to chew on "," tiene una tendencia a masticar en "
"has a habit of chewing on ","tiene la costumbre de masticar "
"bites ","muerde "
"often bites ","a menudo muerde "
"gives hugs out freely","da abrazos libremente"
" often greets others with a hug"," a menudo saluda a los demás con un abrazo"
"has a nervous smile","tiene una sonrisa nerviosa"
"When greeting others, ","Al saludar a los demás, "
" always smiles nervously"," siempre sonríe nerviosamente"
" become animated when "," animarse cuando "
" move frantically when "," moverse frenéticamente cuando "
" jump all over the place when "," saltar por todo el lugar cuando "
" are animated when "," están animados cuando "
" begin moving when "," comienza a moverse cuando "
" speaks"," habla"
"stomps ","pisa fuerte "
" usually starts tapping "," usualmente comienza a tocar "
"taps ","golpecitos "
" constantly when "," constantemente cuando "
" when there's a lull in conversation"," cuando hay una pausa en la conversación"
"has a habit of tapping ","tiene la costumbre de tocar "
"lowers ","disminuye "
"often lowers ","A menudo disminuye "
" is speaking, "," está hablando, "
" usually lowers "," por lo general baja "
"often has ","a menudo tiene "
" lowered to the ground"," bajado al suelo"
"has a habit of staring at others","tiene la costumbre de mirar a los demás"
"has a certain stare for when ","tiene una cierta mirada para cuando "
" gets annoyed"," se molesta"
"tends to stare unwaveringly when ","tiende a mirar inquebrantablemente cuando "
