"more presumptious","domìçlivØjç¡"
"Cultural comparison","Kulturn¡ srovn n¡"
"Here you can select which goods you wish to trade.  After everyone has brought their goods you can ","Zde m…§eç vybrat, kter‚ zbo§¡ chceç obchodovat. Jakmile vçichni donesou sv‚ vØci, m…§eç "
" occurred in "," probØhlo v "
"Bowmaking Pit","Lukaýsk  j ma"
" the wilds"," divoŸiny"
"energetic poltergeist","energetickì poltergeist"
"as a former mercenary of"," jako bìvalì §oldn‚ý "
"seasons","roŸn¡ obdob¡"
"panicked","v panice"
"prison","vØzen¡"
"Average Profile","Pr…mØrnì profil"
"?  Awful.","?  Straçn‚."
"Orderlies","Oçetýovatel‚"
"aroused general suspicion","vzbudil vçeobecn‚ podezýen¡"
"curved","zakýivenì"
"the Crime","ZloŸin"
"to synthesize previous ideas","k synt‚ze pýedchoz¡ch myçlenek"
"Enraged at all enemies!","Rozzuýenì na vçechny nepý tele!"
"You make nothing.","Nevyrob¡ç nic."
"known information source","znalì zdroj informac¡"
" were taken by a mood to act against their better judgment at "," byli zachv ceni n ladou jednat proti sv‚mu lepç¡mu £sudku v "
"unit contained in unit","jednotka uvnitý jednotky"
"This is quite displeasing.","To je docela nepý¡jemn‚."
"the rout of ","rozpr çen¡ "
"free adjustment of the beats","voln‚ £pravy rytmu"
"No material","¦ dnì materi l"
"Designating low traffic area","OznaŸen¡ oblasti s n¡zkìm provozem"
"Ask favor, place request, make demand or issue order (new menu)","Po§ dat o laskavost, vzn‚st § dost, uŸinit po§adavek nebo vydat rozkaz (nov‚ menu)"
"sing","zp¡vat"
" from maternal grandfather"," po dØdeŸkovi z matŸiny strany"
"No one else even considered making the journey to this cursed unhappy death-trap.","Nikdo dalç¡ ani nezv §il cestu do t‚to proklet‚, neçœastn‚ smrt¡c¡ pasti."
" suffering"," trp¡"
" unstable."," je nestabiln¡."
"Misc. Object","R…zn‚ pýedmØty"
"Stocks amount display: ","Zobrazen¡ mno§stv¡ z sob: "
"Temperate Broadleaf Forest","Listnat‚ lesy m¡rn‚ho p su"
"Minimum raids between sieges (per civ)","Minim ln¡ poŸet n jezd… mezi obl‚h n¡mi (na civ)"
"a half day's travel","p…l dne cesty"
" was authored by "," bylo seps no "
"the theory that the world moves around the sun","teorie, §e svØt ob¡h  kolem Slunce"
"pers","os."
"burned out","vyp leno"
"Lying Down","Le§¡"
"swordsmen","çerm¡ýi"
"naturalist:method:dissection","pý¡rodovØdec:metoda:pitva"
"medicine:theory:motor vs sensory nerves","medic¡na:teorie:motorick‚ vs. senzitivn¡ nervy"
"half-brother","nevlastn¡ bratr"
"Milliseconds interface shutdown after recenter","Doba vypnut¡ rozhran¡ po pýeostýen¡ (ms)"
"Loading interactions...","NaŸ¡t n¡ interakc¡..."
"Acknowledge lack of freedom","Konstatovat nepý¡tomnost svobody"
"Temple, ","Chr m, "
"I need to get away from here and wander the world.","Mus¡m odsud pryŸ a toulat se svØtem."
" (8 of 8)"," (8 z 8)"
"Optics Engineer","Optickì in§enìr"
"You emerged from the wilds and managed to prove yourself to the locals.  Now you are finally a ","Vynoýili jste se z divoŸiny a dok zali jste se osvØdŸit pýed m¡stn¡mi.  Nyn¡ jste koneŸnØ "
"What do you want to eat or drink?","Co chceç sn¡st nebo vyp¡t?"
"I abducted ","Unesl jsem "
"A manager is required to add work orders to the shop.","Pro pýid n¡ pracovn¡ch pý¡kaz… do d¡lny je potýeba spr vce."
"Add","Pýidat"
"Horizontal axles transfer power on the same elevation.  Horizontal axles can be east-west or north-south.","Horizont ln¡ hý¡dele pýen çej¡ energii na stejn‚ vìçkov‚ £rovni.  Horizont ln¡ hý¡dele mohou v‚st ve smØru vìchod-z pad nebo sever-jih."
"Castle Mound","Hradn¡ kopec"
"Loves you","Miluje tØ"
"Drive","Poh n¡"
"priest","knØz"
"the passing of ","skon "
"Start new conversation with ","ZaŸ¡t novì rozhovor s "
"This character is ready to adventure!","Tato postava je pýipravena na dobrodru§stv¡!"
"I don't know anything about that.","O tom nic nev¡m."
"It is important to discover yourself.","Je d…le§it‚ poznat s m sebe."
"been encased in ice.","byli uzavýeni v ledu."
"bone doctors","kostn¡ l‚kaýi"
"Your archers can train in this zone if there is an archery target included.","V t‚to z¢nØ mohou vaçi lukostýelci tr‚novat, pokud je v n¡ zahrnut terŸ pro lukostýelbu."
"State feelings of glee","Vyj dýit j sot"
" provides"," poskytuje"
"Fail the struggle against great terror","Selhat v boji proti velk‚mu dØsu"
"the nature of processes","povaha proces…"
"The falling debris has defaced a ","Padaj¡c¡ trosky poçkodili "
"Fantastic!  Please come closer and ask again.","SkvØl‚! Pýistup bl¡§ a zeptej se znovu."
"I can appreciate the right turn of phrase.","Dok §u ocenit dobýe zvolen  slova."
" caught in dragonfire!"," zasti§en ohnØm draka!"
"Accept calming","Pýijmout uklidnØn¡"
"Your citizens will drink at a water source zone or gather water using buckets for various tasks.  This is useful if you don't have a functioning well and you want to control exactly where the tasks take place.","Vaçi obŸan‚ budou p¡t v z¢nØ vodn¡ch zdroj… nebo sb¡rat vodu pomoc¡ kbel¡k… pro r…zn‚ £koly. To se hod¡, pokud nem te funguj¡c¡ studnu a chcete m¡t pýesnØ pod kontrolou, kde se £koly odehr vaj¡."
"rumored fighter","pochybnì bojovn¡k"
"Duel of ","Souboj "
"Might","S¡la"
"a precise explanation of the cause of twilight involving atmospheric refraction","pýesn‚ vysvØtlen¡ pý¡Ÿiny soumraku zahrnuj¡c¡ atmosf‚rickou refrakci"
"[C:2:0:1]You have been ordered to drive ","[C:2:0:1]Dostal jsi rozkaz zahnat "
" created a masterful "," mistrnØ vytvoýil "
"structure","stavba"
"Angry","Naçtvanì"
" here.  Make us proud!"," zde.  UdØlej n m Ÿest!"
"Update","Aktualizovat"
"Welcome home, my child.","V¡tej doma, m‚ d¡tØ."
"wrote written content","napsal psanì obsah"
" case"," ský¡å"
"Creator of ","Tv…rce "
"Leatherworker","Ko§edØln¡k"
"% updated toward the next precision level.","% aktualizov ny smØrem k dalç¡ £rovni pýesnosti."
"Edit the recenter hotkey locations.","Upravit m¡sta pro vycentrov n¡ na kl vesov‚ zkratky."
"Acknowledge lack of pleasure","Konstatovat nepý¡tomnost potØçen¡"
"embarrassment","rozpaky"
"!  It's terrifying.","!  Je to dØsiv‚."
" bracelet"," n ramek"
"famous preserver of knowledge","skvØl  studnice vØdØn¡"
"terrifying","dØsiv‚"
"being unable to find somebody in charge to cry on","neschopnost naj¡t nØkoho zodpovØdn‚ho, u koho by mohl plakat"
"a ghost","duchem"
"A child was turned away from sanctuary.","D¡tØ bylo odm¡tnuto u svatynØ."
"ferocity","zuýivost"
"A short trip","Kr tk  cesta"
"The voice uses its entire range.  ","Hlas pou§¡v  celì sv…j rozsah.  "
"the Quadratic Equation","Kvadratick  rovnice"
"grouchiness","mrzutost"
"very short","velmi malì"
"before this restraint will","ne§ toto pouto bude"
"evicted","vystØhov n"
"very large ","velmi velk  "
"You also have needs according to your personality as seen in character creation and on your character sheet.  ","Maj¡ tak‚ potýeby podle sv‚ osobnosti, jak je vidØt pýi tvorbØ postavy a na kartØ postavy. "
"(and some other things like [C:6:0:1]Sand[C:7:0:0]).  [C:6:0:1]Bins[C:7:0:0] hold just about everything else except [C:6:0:1]Furniture[C:7:0:0], [C:6:0:1]Wood[C:7:0:0] and [C:6:0:1]Boulders[C:7:0:0]. ","(a dalç¡ vØci jako [C:6:0:1]P¡sek[C:7:0:0]). [C:6:0:1]Bedìnky[C:7:0:0] pojmou t‚mØý vçe kromØ "
"I know you can handle yourself, but be careful out there.","V¡m, §e si porad¡ç, ale buÔ tam venku opatrnì."
"dreams","sny"
"Unknown location","Nezn m  lokace"
"Mangrove Swamp","Mangrovov  ba§ina"
"Tomb","Hrobka"
"a girl","d¡vka"
"engineering:machine:water-powered sawmill","in§enìrstv¡:stroje:voda poh nØn  pila"
"Lye Maker","Vìrobce Louhu"
"the Fluids","TØln¡ tekutiny"
"Wrestler","Z pasn¡k"
"Hyphen Compound","Slo§enina se spojovn¡kem"
"Initial ocean square count fails by ","PoŸ teŸn¡ poŸet oce nskìch pol¡ nesplnØn o "
"No party","¦ dn  oslava"
"Haggard","VyŸerpanì"
"This is a memorial to","Toto je pam tn¡k pro"
"sees life as unfair and doesn't mind it that way","pova§uje §ivot za nef‚rovì a nijak mu to nevad¡"
"interested","zaujatì"
"I am uncovered.","Jsem odhalenì."
"distressed","v t¡sni"
"the introduction","£vod"
"the use of mud bags as surgical models","pou§it¡ bahenn¡ch vak… jako chirurgickìch model…"
"Sound Effects Volume (Fortress): ","Hlasitost efekt… (Pevnost): "
"philosophy:specialized:language etymology","filozofie:specializace:jazyk etymologie"
"merchant company","obchodn¡ spoleŸnost"
"mathematics:notation:negative numbers","matematika:znaŸen¡:z porn  Ÿ¡sla"
"pikeman","pikenìr"
"I could tell you all about it!","Mohl bych ti o tom ý¡ct £plnØ vçechno!"
"Acknowledge lack of glee","Konstatovat nepý¡tomnost j sotu"
"preying on civilized for blood","lov¡ civilizovan‚ kv…li krvi"
" gambling"," hazardem"
"Spread rumor of your reunion with ","æ¡ýit povØst o tv‚m znovushled n¡ s "
"to study","studovat"
"after incompletely performing the rites of ","po ne£pln‚m vykon n¡ ritu l… "
"Fortress mode","Re§im pevnosti"
"State feelings of regret","Vyj dýit l¡tost"
"Affects breath.","Ovlivåuje dech."
"If the [C:5:0:1]Stockpile[C:7:0:0] menu is still open, you can close it now by right-clicking.  Right-clicking can ","Pokud je nab¡dka [C:5:0:1]Skladu[C:7:0:0] st le otevýen , m…§eç ji zavý¡t pravìm kliknut¡m. Prav‚ kliknut¡ m…§e "
"Block fire","Blokovat oheå"
", a performance troupe, is visiting."," navçt¡vil n s divadeln¡ soubor."
"Vein and gem mining","TØ§ba §il a drahokam…"
" is ripped away and remains in "," je vyrv no a z…st v  v "
"Knapper","æt¡paŸ"
"very slow to heal","velmi pomalu se hoj¡"
"Match found!","Nalezena shoda!"
" is dead."," je mrtvì/ ."
"I demand a portion of the official funds from ","Po§aduji Ÿ st ofici ln¡ch prostýedk… od "
"Occupation","Povol n¡"
"Gremlin unshackled something","Gremlin nØco odpoutal"
"best","nejlepç¡"
"being unable to help anybody for too long","neschopnost komukoli pomoci po pý¡liç dlouhou dobu"
"castle tower (110,110,110)","hradn¡ vØ§ (110,110,110)"
"Acknowledge lack of displeasure","Konstatovat nepý¡tomnost nespokojenosti"
" day"," den"
"Forbid your dead during sieges","Zak zat sv‚ mrtv‚ bØhem obl‚h n¡"
"Values merriment","Cen¡ si vesel¡"
"has a very broad body overall but it is weak with little fat on it","m  celkovØ velmi çirok‚ tØlo, ale je slabì a m  m lo tuku"
"Other nobles may appear or be assigned as ","Dalç¡ çlechtici se mohou objevit nebo bìt pýiýazeni, jakmile "
"Ice Downward Track (E)","Ledov  klesaj¡c¡ cesta (V)"
"head ","hlava "
"west-northwest","z pad-severoz pad"
"spurning the value of honesty","pohrdaj¡c hodnotou poctivosti"
"less ambitious","m‚nØ ambici¢zn¡"
"Lever","P ka"
"discourse on the relationship between wholes and parts","diskuze o vztahu mezi celky a Ÿ stmi"
"moved to study in","pýesunul se studovat do"
"Does the expelling","Prov d¡ vyhn n¡"
"stacked leather","skladovan‚ k…§e"
"Values knowledge","Cen¡ si pozn n¡"
"in a state","v nedobr‚m stavu"
"Agreed to build temple","Souhlasil(a) s vìstavbou chr mu"
"--- Logging Inorganic ","--- Z znam anorganick‚ l tky "
"location","m¡sto"
"lover","milence"
"Last I heard, it was held by ","Naposledy jsem slyçel, §e to mØl "
"Processing reactions...","Zpracov n¡ reakc¡..."
"grate","mý¡§"
"Murder-target mismatch: year ","Nesoulad c¡le vra§dy: rok "
"mutters","muml "
"Civilizations","Civilizace"
"belief in harmony","v¡ru v harmonii"
"Carve track","Vytesat koleje"
" d. "," £m. "
"Construction suspended","Stavba pozastavena"
"a foiled bribery conspiracy","zmaýen‚ho £platk ýsk‚ho spiknut¡"
"bounces ","poskakuje "
"skill pick left","zbìvaj¡c¡ vìbØr dovednosti"
"library","knihovna"
" a monster."," je monstrum."
" due to your efforts"," d¡ky tv‚mu £sil¡"
"  Perhaps some of your friends here have ideas.","  Mo§n  maj¡ nØkteý¡ z vaçich pý tel nØjak‚ n pady."
"hillock","kopeŸek"
" on the embedded "," za zaseknutì "
"Mastering the forces of nature would glorify us in the eyes of the world.","Zvl dnut¡ pý¡rodn¡ch sil by n s v oŸ¡ch svØta pozvedlo."
" would ideally prefer more strife in "," by ide lnØ preferoval v¡ce sv r… v "
"Values skill","Cen¡ si dovednosti"
"using personal interviews as sources","pou§¡v n¡ osobn¡ch rozhovor… jako zdroj…"
"sees the whole idea of taking time to master a skill as appalling","pova§uje celou myçlenku vØnov n¡ Ÿasu zvl dnut¡ dovednosti za dØsivou"
"Trainer","CviŸitel"
"Ask about the local ruler","Zeptat se na m¡stn¡ho vl dce"
"Trader Profit: ","Zisk obchodn¡ka: "
"after being unable to help anybody","po nemo§nosti komukoli pomoci"
"the defenders had a positional advantage","obr nci mØli poziŸn¡ vìhodu"
" bounce"," odr §¡ se"
"Begin an adventure.","Vydej se na dobrodru§stv¡."
"High priesthood unit count","PoŸet jednotek veleknØ§stva"
"Hungry","Hladovì"
"Withered","Zanikl "
" woven by "," utkan‚ "
"after doing something creative","po tvoýiv‚ Ÿinnosti"
"Accept attributes and skills","Potvrdit atributy a dovednosti"
"Flee Terrain","Ut‚ct z ter‚nu"
"Cloth Clothing Pit","Tkalcovsk  odØvn¡ j ma"
"Tree","Strom"
"is tiny","je titØrnì"
"Tactical mode is off.  Companions are following you.  Click to control everybody.","Taktickì re§im je vypnutì.  SpoleŸn¡ci v s n sleduj¡.  KliknØte pro ovl d n¡ vçech."
"quintuplets","pØtŸata"
"Dye thread a specific color","Obarvit nit na urŸitou barvu"
"a known villain","zn mì niŸema"
" up blood."," krev."
"Glum","Ponurì"
"Your most valuable objects can be placed for display in rooms to increase their value and to entertain passing citizens.  A pedestal or display case must be made before it can be placed.","Tv‚ nejcennØjç¡ pýedmØty lze vystavit v m¡stnostech, aby se zvìçila jejich hodnota a pobavili kolemjdouc¡ obyvatele.  Podstavec nebo vitr¡na mus¡ bìt vyrobena pýed um¡stØn¡m."
" footwear"," obuvi"
"a talented dancer","talentovanì taneŸn¡k"
"a proof that the length of the diagonal of a square is incommensurable with its edge","d…kaz, §e d‚lka £hlopý¡Ÿky Ÿtverce je nesoudØln  s jeho stranou"
"seeking work as a mercenary","hled  pr ci jako §old k"
"Wax","Vosk"
"Arena: Create tree","Ar‚na: Vytvoýit strom"
" is already prepared to shoot."," je ji§ pýipraveno ke stýelbØ."
"] hotkey or by clicking the recenter button.","] nebo kliknut¡m na tlaŸ¡tko pro zacentrov n¡."
"Cannot trade currency","Nelze obchodovat s mØnou"
"Drink (plant)","N poje (rostliny)"
" with skill."," s dovednost¡."
"I feel angry all the time.","Poý d c¡t¡m vztek."
"Report (Active)","Hl çen¡ (aktivn¡)"
"Arctic Ocean","Arktickì oce n"
"prepare a coup","pýipravit pýevrat"
" the story of "," pý¡bØh o "
"It's astonishing, really.","Je to opravdu ohromuj¡c¡."
"Stockpiles","SkladiçtØ"
"joyous","radostnìmi"
"Powers of Sums","Mocniny souŸt…"
"State feelings of great glumness","Vyj dýit velkou trudnost"
"an agreement to establish a guildhall","dohody o zalo§en¡ cechovn¡ s¡nØ"
" is a religion"," je n bo§enstv¡"
" closes."," se zav¡r ."
"is muscular and very short","je svalnatì a velmi malì"
"the Darkness","Temnota"
"I feel such an intense dislike...","C¡t¡m tak silnì odpor..."
" held by "," poý dan‚ "
"bad intuition","çpatn  intuice"
" watches still"," st le bd¡"
" is from here and might have some local information."," je odsud a m…§e m¡t m¡stn¡ informace."
"crutch","berle"
"Ice Track (E)","Ledov  cesta (V)"
"of ","z "
"On the coin's back ","Na rubu mince "
"is incredibly muscular for one so small","je neuvØýitelnØ svalnatì na nØkoho tak mal‚ho"
"  You are beloved."," Jste milov ni."
"The creature is assigned to a pit.","Tvor je pýiýazen do j my."
"'s speaking to somebody"," s nØkìm mluv¡"
" a close friend"," je bl¡zkì pý¡tel"
"  This conversation is over.","  Tato konverzace skonŸila."
"a strengthening after ","pos¡len¡ po "
"unquestionably weak","jednoznaŸnØ slabì"
"the construction and use of forceps","stavba a pou§it¡ kleçt¡"
"entity temple recognition","uzn n¡ chr mu entitou"
"Initial desert square count fails by ","PoŸ teŸn¡ poŸet pouçtn¡ch pol¡ nesplnØn o "
"This is my favorite poetry.","Tohle je m  obl¡ben  poezie."
"is gigantic yet weak and skinny","je gigantickì, ale slabì a hubenì"
" as my instrument of "," jako sv…j n stroj "
