"its","suo"
"surveying by triangulation for military purposes","rilievo per triangolazione per scopi militari"
"the measurement of the heights of land features","la misurazione delle altezze degli elementi del terreno"
"the forces that govern wind patterns","le forze che governano l'andamento del vento"
"the process of the formation of deltas at the mouths of rivers","il processo di formazione dei delta alle foci dei fiumi"
"the collection of maps and other information into a single text","la raccolta di mappe e altre informazioni in un unico testo"
"the placement of economic information on maps","la collocazione delle informazioni economiche sulle mappe"
"the process of economic data collection","il processo di raccolta dei dati economici"
"the origin of rainfall through evaporation and condensation","l'origine delle precipitazioni attraverso l'evaporazione e la condensazione"
"methods of adjusting maps to account for the shape of the world","metodi di adattamento delle mappe per tenere conto della forma del mondo"
"the creation of accurate maps","la creazione di mappe accurate"
"the division of the world into climate zones","la divisione del mondo in zone climatiche"
"a world-wide cycle involving precipitation, oceans, rivers and other forms of water","un ciclo mondiale che coinvolge le precipitazioni, gli oceani, i fiumi e altre forme d'acqua"
"the connection between disease and fouled water","il legame tra malattie e acqua sporca"
"the method of physical examination in diagnosing illness","il metodo dell'esame fisico nella diagnosi delle malattie"
"the method of autopsy","il metodo dell'autopsia"
"determining the likely outcome given a patient's current status","determinare l'esito probabile in base allo status attuale del paziente"
"herbal remedies","rimedi erboristici"
"remedies prepared from animals","rimedi preparati a partire da animali"
"the method of bandaging wounds","il metodo di bendaggio delle ferite"
"the classification of disease","la classificazione delle malattie"
"the theory of endemic disease","la teoria della malattia endemica"
"the distinction between acute and chronic conditions","la distinzione tra condizioni acute e croniche"
"the classification of toxic substances","la classificazione delle sostanze tossiche"
"the theory of epidemic disease","la teoria delle malattie epidemiche"
"the notion of relapse","la nozione di ricaduta"
"the notion of paroxysm","la nozione di parossismo"
"the notion of the exacerbation of a patient's condition","la nozione di esacerbazione delle condizioni del paziente"
"the classification of fractures","la classificazione delle fratture"
"the treatment of fractures","la cura delle fratture"
"the treatment of traumatic injuries","la cura delle lesioni traumatiche"
"the construction and use of the traction bench","la costruzione e l'uso della panca di trazione"
"the surgical method of excision","il metodo chirurgico di escissione"
"the creation and use of the orthopedic cast","la creazione e l'uso del gesso ortopedico"
"the method of fracture immobilization","il metodo d'immobilizzazione della frattura"
"the surgical method of incision","il metodo chirurgico d'incisione"
"the lithotomy surgery","l'intervento di litotomia"
"hernia surgery","chirurgia dell'ernia"
"the surgical method of scraping","il metodo chirurgico del raschiamento"
"the surgical method of suturing","il metodo chirurgico di sutura"
"the surgical method of probing","il metodo chirurgico di sondaggio"
"the surgical method of draining","il metodo chirurgico di drenaggio"
"the surgical method of ligature","il metodo chirurgico della legatura"
"the use of practice models in surgery","l'uso di modelli di pratica in chirurgia"
"the use of mud bags as surgical models","l'uso di sacche di fango come modelli chirurgici"
"the use of plants as surgical models","l'uso di piante come modelli chirurgici"
"the use of animals as surgical models","l'uso di animali come modelli chirurgici"
"the use of specialized surgical instruments","l'uso di strumenti chirurgici specializzati"
"the construction and use of forceps","la costruzione e l'uso delle pinze"
"the construction and use of the scalpel","la costruzione e l'uso dello scalpello"
"the construction and use of surgical scissors","la costruzione e l'uso delle forbici chirurgiche"
"cauterization","cauterizzazione"
"cataract surgery","intervento di cataratta"
"the construction and use of surgical needles","la costruzione e l'uso degli aghi chirurgici"
"anesthesia","anestesia"
"the classification of bodily fluids","la classificazione dei fluidi corporei"
"anatomical studies for medical edification","studi anatomici per l'edificazione medica"
"pulmonary medicine","medicina polmonare"
"the anatomy of the eye","l'anatomia dell'occhio"
"the study of reaction time","lo studio dei tempi di reazione"
"the function of the nervous system","la funzione del sistema nervoso"
"the distinction between motor and sensory nerves","la distinzione tra nervi motori e nervi sensoriali"
"the distinction between veins and arteries","la distinzione tra vene e arterie"
"the source of the voice","la fonte della voce"
"comparative anatomical studies for use in medicine","studi anatomici comparativi per uso medico"
"pulmonary circulation","circolazione polmonare"
"the classification of muscles","la classificazione dei muscoli"
"the preparation and use of dedicated hospitals","la preparazione e l'utilizzo di ospedali dedicati"
"the treatment of mental illnesses","la cura delle malattie mentali"
"the use of professional hospital staff","l'impiego di personale ospedaliero professionale"
"schools of medicine","scuole di medicina"
"the use of a laboratory for preparation of remedies in a hospital","l'uso di un laboratorio per la preparazione dei rimedi in un ospedale"
"the use of specialized wards in hospitals","l'utilizzo di reparti specializzati negli ospedali"
"the creation of asylums for the mentally ill","la creazione di manicomi per malati di mente"
"the use of shadows to tell direction and time","l'uso delle ombre per indicare la direzione e il tempo"
"the use of water-based devices to tell time","l'uso di dispositivi ad acqua per leggere l'ora"
"the use of conical shapes in water-based clocks to improve their accuracy","l'uso di forme coniche in orologi ad acqua per migliorarne la precisione"
"the use of reservoirs in water-based clocks to improve their accuracy","l'uso di serbatoi negli orologi ad acqua per migliorarne la precisione"
"the construction and use of the astrarium","la costruzione e l'uso del planetario"
"the construction and use of the hourglass","la costruzione e l'uso della clessidra"
"the construction and use of mechanical clocks","la costruzione e l'uso dell'orologio meccanico"
"the reasons why pulleys are effective","le ragioni per cui le carrucole sono efficaci"
"the construction and use of the pulley","la costruzione e l'uso della carrucola"
"the reasons why the wheel-and-axle construction is effective","le ragioni per cui la combinazione di ruota-e-asse ä efficace"
"the construction and use of the screw","la costruzione e l'uso della vite"
"the reasons why screws are effective","le ragioni per cui le viti sono efficaci"
"the construction and use of the windlass","la costruzione e l'uso del verricello"
"the construction and use of the lever","la costruzione e l'uso della leva"
"the reasons why the lever is effective","le ragioni per cui la leva ä efficace"
"the reasons why the wedge is effective","i motivi per cui il cuneo ä efficace"
"the construction and use of the straight-beam balance","la costruzione e l'uso della bilancia a trave dritta"
"the construction and use of the tumbler lock","la costruzione e l'uso della serratura a tamburo"
"the construction and use of the warded lock","la costruzione e l'uso della serratura"
"the construction and use of the padlock","la costruzione e l'uso del lucchetto"
"the construction and use of the water-powered sawmill","la costruzione e l'uso del mulino ad acqua"
"the construction and use of the crankshaft","la costruzione e l'uso dell'albero a gomiti"
"the construction and use of the camshaft","la costruzione e l'uso dell'albero a camme"
"the construction and use of the chariot odometer","la costruzione e l'uso dell'odometro del carro"
"the construction and use of the differential gear","la costruzione e l'uso del differenziale"
"the construction and use of the mechanical compass","la costruzione e l'uso della bussola"
"the construction and use of chain drives","la costruzione e l'uso delle catene di trasmissione"
"the construction and use of combination locks","la costruzione e l'uso del lucchetto a combinazione"
"the action of the siphon","l'azione del sifone"
"the construction and use of the balance wheel","la costruzione e l'uso del bilanciere"
"the construction and use of the verge escapement","la costruzione e l'uso dello scappamento a verga"
"the construction and use of valves","la costruzione e l'uso delle valvole"
"the construction and use of the force pump","la costruzione e l'uso della pompa a pressione"
"the construction and use of the crystal lens","la costruzione e l'uso della lente in cristallo"
"the construction and use of water-filled sphere as a lens","la costruzione e l'uso della lente d'acqua"
"the construction and use of the glass lens","la costruzione e l'uso della lente in vetro"
"the construction and use of the camera obscura","la costruzione e l'uso della camera oscura"
"the construction and use of the parabolic mirror","la costruzione e l'uso dello specchio parabolico"
"the theory of light and color","la teoria della luce e dei colori"
"the use of models and templates in engineering","l'uso di modelli e schemi in ingegneria"
"the relation between refraction and the half chord","la relazione tra la rifrazione e la semicorda"
"the appearance of rainbows based on optical theories","l'aspetto dell'arcobaleno basato su teorie ottiche"
"the use of lamination","l'uso della laminazione"
"the construction and use of the armillary sphere","la costruzione e l'uso della sfera armillare"
"the construction and use of the astrolabe","la costruzione e l'uso dell'astrolabio"
"the construction and use of the dioptra","la costruzione e l'uso della diottra"
"the construction and use of the spherical astrolabe","la costruzione e l'uso dell'astrolabio sferico"
"the construction and use of the orrery","la costruzione e l'uso del planetario meccanico"
"the construction and use of mural instruments","la costruzione e l'uso dello strumento murale"
"the construction and use of double-acting piston bellows","la costruzione e l'uso dei mantici a pistone"
"a precise explanation of the cause of twilight involving atmospheric refraction","una spiegazione precisa della causa del crepuscolo che coinvolge la rifrazione atmosferica"
"atmospheric refraction","rifrazione atmosferica"
"a precise description of buoyancy and water displacement","una descrizione precisa del galleggiamento e dello spostamento dell'acqua"
"the construction and use of the piston","la costruzione e l'uso del pistone"
"the construction and use of the water-powered piston bellows","la costruzione e l'uso dei mantici a pistone idraulico"
"the construction and use of the trip hammer","la costruzione e l'uso del maglio"
"the construction and use of the water wheel","la costruzione e l'uso della ruota idraulica"
"She","Lei"
"the Age","l'EtÖ"
"Slowly","Lentamente"
"Then","Allora"
"Surely","Sicuramente"
"Suddenly","Improvvisamente"
"Only","Solo"
"Time","Tempo"
"The Day","Il Giorno"
"The Night","La Notte"
"The Wind","Il Vento"
"The Sea","Il Mare"
"The Wise","Il Saggio"
"The Dirt","Lo Sporco"
"The Fool","Il Matto"
"Nobody","Nessuno"
"The Future","Il Futuro"
"The Past","Il Passato"
"Will Tell","RacconterÖ"
"Foretell","Prevedere"
"Can Say","Puï Dire"
"Know","Sapere"
"Mourn","Lutto"
"Weep","Piangere"
"Laugh","Ridere"
"In The Beginning","All'inizio"
"Afterward","Dopo"
"In The End","Alla fine"
"the Poetry","la Poesia"
"the Verse","il Verso"
"the Words","le Parole"
"the Voice","la Voce"
"the Rhythm","il Ritmo"
"the Notes","le Note"
"the Music","la Musica"
"the Moves","le Mosse"
"the Dance","la Danza"
" Language"," Lingua"
"Lawlessness","IllegalitÖ"
"Customs","Usanze"
"Rules","Regole"
"Fidelity","FedeltÖ"
"Betrayal","Tradimento"
"Kin","Stirpe"
"Friends","Amici"
"Tyranny","Tirannia"
"Mastery","Maestria"
"Might","Potenza"
"the Lie","la Bugia"
"Lies","Bugie"
"Honesty","OnestÖ"
"the Truth","la VeritÖ"
"Schemes","Complotti"
"Plans","Piani"
"Strategems","Stratagemmi"
"the Word","la Parola"
"Words","Parole"
"Politeness","Cortesia"
"Manners","Maniere"
"Ritual","Rituale"
"Creativity","CreativitÖ"
"Creation","Creazione"
"Union","Unione"
"the Individual","l'Individuo"
"Complaints","Lamentele"
"Emotions","Emozioni"
"Self-Examination","Esame di coscienza"
"Willpower","Forza di volontÖ"
"Quiet","Tranquillo"
"the Festival","il Festival"
"Gaiety","Gaiezza"
"Quality","QualitÖ"
"Battle","Battaglia"
"Practice","Pratica"
"Altruism","Altruismo"
"the Competitor","il Concorrente"
"Stubborness","Testardaggine"
"Leisure","Tempo libero"
"the Economy","l'Economia"
"Caravans","Caravan"
"Ignorance","Ignoranza"
"Method","Metodo"
"Reason","Motivo"
"Reasoning","Ragionamento"
"Dialogue","Dialogo"
"Inference","Inferenza"
"Analogy","Analogia"
"Healing","Guarigione"
"Harm","Danneggiare"
"Medical Ethics","Etica medica"
"Happiness","FelicitÖ"
"Perception","Percezione"
"the Facts","i Fatti"
