"more presumptious","aanmatigender"
" after being compelled to serve"," nadat men gedwongen werd te dienen"
"Come, join me on my adventures!","Kom, ga met me mee op avontuur!"
" Sleep"," Slapen"
"Bands","Banden"
"State feelings of relief","Opluchting uiten"
"triangle","driehoek"
"has a generally thin build with some muscle and fat on it","heeft a generally dun build met some muscle en dik"
"Dig","Graven"
"medicine:theory:disease and fouled water","geneeskunde:theorie:disease and fouled water"
" gem"," edelsteen"
"Chests in common area: ","Kisten in gemeenschappelijke ruimte: "
" passage"," doorgang"
"Animal Diets","Dierendieet"
"Desired Good Square Count in Medium Subregions","Gewenst aantal goede vakken in middelgrote subregio's"
"Dismiss minor feeling of defeat","Licht gevoel van nederlaag wegwuiven"
"one year","‚‚n jaar"
"was killed by a trap","werd gedood door een val"
"/S","/Z"
"I do not see the bliss in this.","Ik zie hier geen zaligheid in."
" bullied "," pestte "
"I'm a little grouchy.","Ik ben een beetje chagrijnig."
"foul","smerig"
"shearer","scheerder"
"a mythical palace","een mythisch paleis"
"a temple complex and high priest","een tempelcomplex en hogepriester"
"'s thinking, ","s nadenken, "
"Defend ","Verdedig "
" crutch"," kruk"
"I had a nightmare about my deceased friend.","Ik had een nachtmerrie over mijn overleden vriend."
"the computation of the volume of a cone","de berekening van de volume van een kegel"
"Number of Secret Types","Aantal geheimtypen"
"I'm not uneasy.","Ik ben niet ongemakkelijk."
"Siege Operation","Belegering Bediening"
"Jolly","Vrolijk"
"flown","gevlogen"
"corrupt dealing","corrupte handel"
"Age of Three Powers","Tijdperk van Drie Machten"
"Topple ","Omverwerpen "
"Acknowledge lack of contentment","Gebrek aan tevredenheid erkennen"
"Blowgunner","Blaaspijpschutter"
"boast","opscheppen"
"This item is tagged by a task and will not be used by other tasks.","Dit voorwerp is door een taak gemarkeerd en wordt niet door andere taken gebruikt."
"glob","klodder"
"happy","gelukkig"
"Demand tribute from ","Tribuut eisen van "
"Leisurely","Ontspannen"
"committing a depraved act upon ","een verdorven daad begaan tegen "
"thought of as two disjoint chords spanning a perfect fifth and a major third","gedacht als twee losse akkoorden die een reine kwint en een grote terts overspannen"
"is short, very weak and incredibly skinny","is kort, zeer zwak en ongelooflijk mager"
"Civ commission","Beschavingscommissie"
"Artifact","Artefact"
" bright behind the clouds"," helder achter de wolken"
" is the force"," is de kracht"
"justices","rechters"
"[C:4:0:1]Bleeding stopped","[C:4:0:1]Bloeden gestopt"
"announce","aankondigen"
"No outdoor access","Geen toegang tot buiten"
"squat","gedrongen"
"Deeper. We must dig deeper.","Dieper. We moeten dieper graven."
"Disease and Water","Ziekte en water"
"agitated ","opgejaagd "
"get your","haal je"
"Muddy ","Modderige "
"50 years","50 jaar"
"Toggle whether this creature will receive war training.  War animals have more lethal attacks.","Schakel in of dit wezen oorlogstraining krijgt. Oorlogsdieren hebben dodelijkere aanvallen."
"No charge attack: target's location inaccessible","Geen stormaanval: locatie van doelwit ontoegankelijk"
"Processes","Processen"
"I feel so empty inside...","Ik voel me zo leeg vanbinnen..."
"Disdains truth","Minacht waarheid"
"Give ","Geven "
"Choosing colors to mix","Kleuren kiezen om te mengen"
"Not musical","Niet muzikaal"
"The instrument has both single reed and free reed pipes.  ","Het instrument heeft zowel enkelrietpijpen als vrijrietpijpen.  "
"gnaws ","knaagt "
"State feelings of great suspicion","Sterke verdenking uiten"
"I do admire a clever trap.","Ik waardeer een slimme val wel."
"believes that freedom and independence are completely non-negotiable and would fight to defend them","gelooft dat vrijheid en onafhankelijkheid absoluut niet onderhandelbaar zijn en zou vechten om ze te verdedigen"
" attacks "," valt aan "
"cultural comparison","culturele vergelijking"
"a coconspirator, ","een medesamenzweerder, "
"blood vessels","bloedvaten"
"deaths","sterfgevallen"
"Cat","Kat"
"Track/Ramp (S)","Spoor/helling (Z)"
"Astonished","Verbijsterd"
"dreams of becoming a legendary warrior","droomt ervan een legendarische krijger te worden"
"Stonecutter","Steenhouwer"
"after being away from traditions","na afwezigheid van tradities"
" patient"," pati‰nt"
"the deity of ","de godheid van "
"I could not find anybody in charge to comfort me.","Ik kon niemand met gezag vinden om mij te troosten."
"being evicted","uitgezet worden"
"Claimed by local family","Opge‰ist door lokale familie"
"Disdains knowledge","Minacht kennis"
"quern","handmolen"
"Dry ","Droog "
"request","verzoek"
"State feelings of excitement","Opwinding uiten"
"has a deep, guttural voice","heeft a deep, guttural voice"
"Place a bed","Een bed plaatsen"
"beast hunter","beestenjager"
"I am so spiritually moved!","Ik ben zo geestelijk geraakt!"
" (unreachable location)"," (onbereikbare locatie)"
"apathy","apathie"
"Crafts Market","Ambachtsmarkt"
"Activity end","Activiteit einde"
"bandit","bandiet"
"There is no wind here.","Er is hier geen wind."
" made a copy of the original "," maakte een kopie van het origineel "
"engineering:machine:crankshaft","techniek:machine:crankshaft"
"etymology","etymologie"
"The wet season has arrived!","Het natte seizoen is aangebroken!"
"glee","vreugde"
"An energetic poltergeist.","Een energieke klopgeest."
"exists","bestaat"
" crumbled completely."," brokkelde volledig af."
"Animal Trainer","Dierentrainer"
"chance","kans"
" but left the matter unaddressed"," maar liet de zaak onbehandeld"
"scout","verkenner"
"I am compelled to continue!","Ik word gedwongen door te gaan!"
"Caught in flame","Gevangen in vlammen"
"another ","nog een "
"The world generator is having trouble placing oceans.  ","De wereldgenerator heeft moeite met het plaatsen van oceanen.  "
" (considered the primary)"," (beschouwd als primair)"
"the Deep","de diepte"
"a noted brigand","een beruchte struikrover"
"has a broad body made broader still by no shortage of surrounding lard","heeft a breed body made broader still by no shortage of surrounding lard"
"Abandoned shop","Verlaten winkel"
"It","Het"
"engineering:horology:mechanical clock","techniek:uurwerkkunde:mechanical clock"
"courage","moed"
"Experiments","Experimenten"
"I feel empathy.","Ik voel medeleven."
"Overall, the choreography is inspired","Al met al is de choreografie ge‹nspireerd"
"Track/Ramp (E)","Spoor/helling (O)"
"engineering:astronomy:armillary sphere","techniek:astronomie:armillary sphere"
" are "," zijn "
"Use options in this category to place furniture that has already been constructed in a workshop.","Gebruik opties in deze categorie om meubilair te plaatsen dat al in een werkplaats is gemaakt."
"No one else even considered making the journey to this cursed death-trap.","Niemand anders overwoog zelfs maar de reis naar deze vervloekte doodsval te maken."
"the construction and use of the crank","de bouw en het gebruik van zwengel"
"I don't like being obligated to anybody.","Ik hou er niet van iemand iets verplicht te zijn."
"Fish Dissector","Vis Ontleder"
"a foot race","een hardloopwedstrijd"
"Civic Mound","Burgerlijke heuvel"
"Miners","Mijnwerkers"
"having a request approved","een goedgekeurd verzoek hebben"
"Animal Societies","Dierensamenlevingen"
"Loading fortress information...","Fortinformatie laden..."
"Seek Cage for Unchain","Kooi zoeken om los te ketenen"
"fortress (129,129,129)","fort (129,129,129)"
"Move down to the southeast.","Ga omlaag naar het zuidoosten."
"I'm optimistic.","Ik ben optimistisch."
" billion"," miljard"
"engineering:optics:theory of color","techniek:optica:theory of color"
"The world generator is having trouble placing enough high elevations.  ","De wereldgenerator heeft moeite met het plaatsen van genoeg hoge hoogtes.  "
"Rare","Zeldzaam"
" beaten"," geslagen"
"I'm not jolly.","Ik ben niet vrolijk."
"My spouse discussed their problems with me.","Mijn echtgenoot besprak zijn/haar problemen met mij."
"being forced to endure the decay of a father","gedwongen worden het verval van een vader te verdragen"
"Clear Glass","Helder glas"
"Set to 0","Op 0 zetten"
"Use Seed","Zaad gebruiken"
" chest"," kist"
"associated with ","geassocieerd met "
" Upward Track (NEW)"," Spoor omhoog (NOW)"
"Toggle the display of spoor for tracking.","Weergave van sporen voor volgen wisselen."
"Provide the location of ","Geef de locatie van "
"tercet","terzet"
"Adventure automove (acrobatic)","Avontuur automatisch bewegen (acrobatisch)"
"few","weinig"
"Fighter","Vechter"
"'s dragon fire","s drakenvuur"
"What do you want to remove?","Wat wil je verwijderen?"
"known brigand","bekende struikrover"
" Master"," Meester"
"This is a fight!","Dit is een gevecht!"
"Default attack is a strike without charging or wrestling.","De standaardaanval is een slag zonder stormaanval of worstelen."
"Decrease FPS limit","FPS-limiet verlagen"
"breezy","luchtig"
" and took over "," en nam over "
"Citizenship of ","Burgerschap van "
"is skinny and very short","is mager en zeer kort"
"barrow","grafheuvel"
"Click the map to add points.","Klik op de kaart om punten toe te voegen."
"Off","Uit"
"Ice Track (NSE)","IJsspoor (NZO)"
"There is a temple","Er is een tempel"
"Infamous bully","Beruchte pestkop"
"Bring up the death of ","De dood ter sprake brengen van "
"Not vengeful","Niet wraakzuchtig"
"Change the inequality of the condition.","Wijzig de ongelijkheid van de voorwaarde."
"I'm going to visit the library.","Ik ga de bibliotheek bezoeken."
"[C:3:0:1]Paralyzed","[C:3:0:1]Verlamd"
" to view "," bekijken "
"a declaration of war","een oorlogsverklaring"
" Downward Track (NW)"," Spoor omlaag (NW)"
"Cavern dwellers!  Send them back to the darkness!","Grotbewoners! Stuur ze terug de duisternis in!"
"bowyer's shop sign","bord bogenmakerswerkplaats"
"Astronomy","Astronomie"
"caverns","grotten"
"double-tube","dubbele buis"
"paternal grandmother","grootmoeder van vaderskant"
"Worshipped ","Aanbeden "
"Disdains competition","Minacht competitie"
"Loom","Weefgetouw"
"has a long, thin body that is somewhat weak with little fat","heeft een lang, smal lichaam that is somewhat zwak met little dik"
"Surgery","Chirurgie"
"Choreography","Choreografie"
"View stockpile","Voorraad bekijken"
"masterwork","meesterwerk"
"chemistry:laboratory:alembic","scheikunde:laboratorium:alembic"
" (traveling)"," (reizend)"
"a hero","een held"
"Can you tell me where I can find ","Kun je me vertellen waar ik kan vinden: "
"medium","middelmatig"
"Move down to the northeast.","Ga omlaag naar het noordoosten."
"an order of precedence","een rangorde"
"No job","Geen taak"
"travel","reizen"
"One","‚n"
"more distrustful","wantrouwender"
" and ended at "," en eindigde bij "
"I don't know very much about it.","Ik weet er niet veel van."
"Population: ~6000","Bevolking: ~6000"
"dawn","dageraad"
", struck down by a ",", neergeslagen door een "
" being mutilated by "," verminkt worden door "
"[C:7:0:1].Minor pain","[C:7:0:1].Lichte pijn"
"Smoke","Rook"
"Ambush (snatcher)","Hinderlaag (ontvoerder)"
"Confirm","Bevestigen"
"Damaging refuse pile clothing.","Kleding op afvalhoop beschadigen."
"Armorsmithing","Pantsersmeden"
", who bled to death",", die doodbloedde"
"Allow Necromancer Ghouls","Necromantenghouls toestaan"
"short ","kort "
"as the owner of","als eigenaar van"
"Depth","Diepte"
"Horn","Hoorn"
"Acknowledge lack of amazement","Gebrek aan verbazing erkennen"
"is very short and muscular","is zeer kort en gespierd"
"Acknowledge lack of apathy","Gebrek aan apathie erkennen"
"a few minutes ago","een paar minuten geleden"
"Snow","Sneeuw"
"I'm appalled.","Ik ben ontsteld."
"plants","planten"
"Footwear","Schoeisel"
"dreams of making a great discovery","droomt ervan een grote ontdekking te doen"
"But mostly I just like to drink.","Maar meestal drink ik gewoon graag."
"A music competition","Een muziekwedstrijd"
"Loyal","Loyaal"
"My father discussed their problems with me.","Mijn vader besprak zijn/haar problemen met mij."
"End Year","Jaar be‰indigen"
"I haven't slept for a very long time.","Ik heb al heel lang niet geslapen."
"Chained Guest","Geketende gast"
"a wall","een muur"
"is very weak and very short","is zeer zwak en zeer kort"
"believes that peace is always preferable to war","gelooft dat vrede altijd de voorkeur heeft boven oorlog"
"is fat and very small","is dik en zeer small"
"bones...  yes","botten... ja"
"values tradition","waardeert traditie"
"and more","en meer"
"State that you love raunchy poems","Zeg dat je van vunzige gedichten houdt"
"[C:6:0:0].Moderate boiling","[C:6:0:0].Matig koken"
" bears"," beren"
"is large, muscular and fat","is groot, gespierd en dik"
"new moon","nieuwe maan"
"deeply values introspection","hecht veel waarde aan zelfreflectie"
"milk ","melk "
"Quern","Handmolen"
"No charge attack: target is chained","Geen stormaanval: doelwit is vastgeketend"
"State that you love reflective poetry","Zeg dat je van beschouwende po‰zie houdt"
"chemistry:laboratory:systematic experiments","scheikunde:laboratorium:systematic experiments"
"Allow Demonic Experiments","Demonische experimenten toestaan"
"Need thread","Draad nodig"
"I was attacked by my own dead ","Ik werd aangevallen door mijn eigen dode "
