"more presumptious","pli bravaæa"
"A tiny venomous snake found in the woods and swamps.","Eta venena serpento kiu troviøas en duonarbaroj kaj arbomaræoj."
"copperhead snake","kuprokapserpent"
"copperhead snakes","kuprokapserpentoj"
"attractive scale patterns","logantaj skvamaj skemoj"
"frozen copperhead snake venom","de glaciiøita veneno de kuprokapserpento"
"copperhead snake venom","de veneno de kuprokapserpento"
"boiling copperhead snake venom","de bolanta veneno de kuprokapserpento"
"copperhead snake bite","mordo de kuprokapserpento"
"copperhead snake man","homkuprokapserpento"
"copperhead snake men","homkuprokapserpentoj"
"copperhead snake woman","homkuprokapserpentino"
"copperhead snake women","homkuprokapserpentinoj"
"A large copperhead snake with the arms of a man.","Granda kuprokapserpento kun la brakoj de homo."
"giant copperhead snake","giganta kuprokapserpento"
"giant copperhead snakes","gigantaj kuprokapserpentoj"
"A huge monster in the form of a copperhead snake.","Grandega monstro kun formo de kuprokapserpento."
"A small horned mammal.  It can be found in the mountains leaping from rock to rock.","Malgranda korna mamulo. Øi troveblas en la montoj, saltante el roko al roko."
"ibex","ibekso"
"ibexes","ibeksoj"
"ibex kid","ibeksido"
"ibex kids","ibeksidoj"
"ibex man","homibekso"
"ibex men","homibeksoj"
"ibex woman","homibeksino"
"ibex women","homibeksinoj"
"A horned person with the head of an ibex.","Kornohava homo kun la kapo de ibekso."
"giant ibex","giganta ibekso"
"giant ibexes","gigantaj ibeksoj"
"giant ibex kid","giganta ibeksido"
"giant ibex kids","gigantaj ibeksidoj"
"A huge monster in the form of an ibex.","Grandega monstro kun formo de ibekso."
"A small, stocky mammal.  It is found from the mountains to the woodlands.","Malgranda fortika mamulo. Øi troviøas el la montoj al la duonarbaroj."
"wombats","vombatoj"
"wombat joey","vombatido"
"wombat joeys","vombatidoj"
"waddle","anaspaþado"
"wombat man","homvombato"
"wombat men","homvombatoj"
"wombat woman","homvombatino"
"wombat women","homvombatinoj"
"A muscular person with the head of a wombat.","Muskoloza homo kun la kapo de vombato."
"giant wombat","giganta vombato"
"giant wombats","gigantaj vombatoj"
"giant wombat joey","giganta vombatido"
"giant wombat joeys","gigantaj vombatidoj"
"A huge monster in the shape of a wombat.","Grandega monstro kun formo de vombato."
"A small dog-like creature.  They are known to attack livestock.","Malgranda hundsimila esta¼o. Ili estas konitaj ataki burtarojn."
"dingo","dingo"
"dingoes","dingoj"
"dingo pup","dingido"
"dingo pups","dingidoj"
"dingo man","homdingo"
"dingo men","homdingoj"
"dingo woman","homdingino"
"dingo women","homdinginoj"
"A person with the head of a dingo.","Homo kun la kapo de dingo."
"giant dingo","giganta dingo"
"giant dingoes","gigantaj dingoj"
"giant dingo pup","giganta dingido"
"giant dingo pups","gigantaj dingidoj"
"A huge monster in the form of a dingo.","Grandega monstro kun formo de dingo."
"A small, long-nosed raccoon-like creature.","Malgranda longnaza procionsimila esta¼o."
"coatis","nazuoj"
"baby coati","nazuido"
"baby coatis","nazuidoj"
"coati man","homnazuo"
"coati men","homnazuoj"
"coati woman","homnazuino"
"coati women","homnazuinoj"
"A person with the head and tail of a coati.","Homo kun la kapo kaj la vosto de nazuo."
"giant coati","giganta nazuo"
"giant coatis","gigantaj nazuoj"
"baby giant coati","giganta nazuido"
"baby giant coatis","gigantaj nazuidoj"
"A huge monster in the form of a coati.","Grandega monstro kun formo de nazuo."
"A small mammal resembling a large, white rat.","Malgranda mamulo simila al granda blanka rato."
"opossums","didelfoj"
"baby opossum","didelfido"
"baby opossums","didelfidoj"
"ability to play dead","kapablo por ludi senvive"
"opossum man","homdidelfo"
"opossum men","homdidelfoj"
"opossum woman","homdidelfino"
"opossum women","homdidelfino"
"A person with the head and tail of an opossum.","Homo kun la kapo kaj la vosto de didelfo."
"giant opossum","giganta didelfo"
"giant opossums","gigantaj didelfoj"
"baby giant opossum","giganta didelfido"
"baby giant opossums","gigantaj didelfidoj"
"A huge monster in the shape of an opossum.","Grandega monstro kun formo de didelfo."
"A very small mammal with short legs and a long tail.  It hunts small animals to eat.","Tre malgranda mamulo kun mallongaj gamboj kaj longa vosto. Øi æasas malgrandajn bestojn por manøado."
"mongooses","mungoj"
"mongoose pup","mungido"
"mongoose pups","mungidoj"
"agility","lerteco"
"mongoose man","hommungo"
"mongoose men","hommungo"
"mongoose woman","hommungino"
"mongoose women","hommunginoj"
"A small person with the head and tail of a mongoose.","Malgranda homo kun la kapo kaj la vosto de mungo."
"giant mongoose","giganta mungo"
"giant mongooses","gigantaj mungoj"
"giant mongoose pup","giganta mungido"
"giant mongoose pups","gigantaj mungidoj"
"A large mongoose-like monster known for hunting people amongst other things.","Granda mungsimila monstro, konita por æasado de homoj interalie."
"A medium-sized pack predator found in the savanna.","Mezgranda grega predanto kiu troviøas en la savano."
"hyenas","hienoj"
"hyena cub","hienido"
"hyena cubs","hienidoj"
"distinctive laugh","distinga rido"
"coordinated hunting","kunordiga æasado"
"hyena man","homhieno"
"hyena men","homhienoj"
"hyena woman","homhienino"
"hyena women","homhieninoj"
"A person with the head and markings of a hyena.","Homo kun la kapo kaj la markoj de hieno."
"giant hyena","giganta hieno"
"giant hyenas","gigantaj hienoj"
"giant hyena cub","giganta hienido"
"giant hyena cubs","gigantaj hienidoj"
"A huge monster the shape of a hyena.","Grandega monstro kun formo de hieno."
"A medium-sized snake that lives in the trees.  It eats prey much larger than itself and slays them by crushing them to death.","Mezgranda serpento, kiu loøas en la arboj. Øi manøas predon multe pli grandan ol si mem, kaj mortigas ilin dispremante."
"anaconda","anakondo"
"anacondas","anakondoj"
"anaconda man","homanakondo"
"anaconda men","homanakondoj"
"anaconda woman","homanakondino"
"anaconda women","homanakondinoj"
"A large anaconda with the torso and arms of a man.","Granda anakondo kun la torso kaj la brakoj de homo."
"giant anaconda","giganta anakondo"
"giant anacondas","gigantaj anakondoj"
"A huge monster in the form of an anaconda.","Grandega monstro kun formo de anakondo."
"A medium-sized reptile.  They can be found foraging for food such as eggs or worms.  They are said to be the most intelligent of their kind.","Mezgranda reptilio. Ili troveblas furaøantaj por manøa¼ojn kiel ovoj aý vermoj. Laýdire ili estas la plej inteligentaj de sia speco."
"monitor lizard","varano"
"monitor lizards","varanoj"
"monitor lizard hatchling","varanido"
"monitor lizard hatchlings","varanidoj"
"monitor lizard man","homvaraniæo"
"monitor lizard men","homvaraniæoj"
"monitor lizard woman","homvaranino"
"monitor lizard women","homvaraninoj"
"A person with the head and tail of a monitor lizard.","Homo kun la kapo kaj la vosto de varano."
"giant monitor lizard","giganta varano"
"giant monitor lizards","gigantaj varanoj"
"giant monitor lizard hatchling","giganta varanido"
"giant monitor lizard hatchlings","gigantaj varanidoj"
"A huge monster in the shape of a monitor lizard.","Grandega monstro kun formo de varano."
"A small limbless reptile known for its deadly venom and the warning of its hood.","Malgranda senmembra reptilio konita por sia mortiga veneno kaj la minaco de sia kolo."
"king cobra","reøa kobr"
"king cobras","reøaj kobroj"
"charming hood","æarma kolo"
"frozen king cobra venom","de glaciiøita veneno de reøa kobro"
"king cobra venom","de veneno de reøa kobro"
"boiling king cobra venom","de bolanta veneno de reøa kobro"
"king cobra bite","mordo de reøa kobro"
"king cobra man","hom-reøo-kobro"
"king cobra men","hom-reøo-kobroj"
"king cobra woman","hom-reøo-kobrino"
"king cobra women","hom-reøo-kobrinoj"
"A legless person with the head and tail of a king cobra.","Senkrura homo kun la kapo kaj la vosto de reøa kobro."
"giant king cobra","giganta reøa kobro"
"giant king cobras","gigantaj reøaj kobroj"
"A large monster in the shape of a king cobra.","Granda monstro kun la formo de reøa kobro."
"A small cat-like creature found in the jungle.","Malgranda katsimila esta¼o kiu troviøas en la øangalo."
"ocelot","oceloto"
"ocelots","ocelotoj"
"ocelot kitten","ocelotido"
"ocelot kittens","ocelotidoj"
"coat patterns","felaj skemoj"
"ocelot man","homoceloto"
"ocelot men","homocelotoj"
"ocelot woman","homocelotino"
"ocelot women","homocelotinoj"
"A person with the head and tail of an ocelot.","Homo kun la kapo kaj la vosto de oceloto."
"giant ocelot","giganta oceloto"
"giant ocelots","gigantaj ocelotoj"
"giant ocelot kitten","giganta ocelotido"
"giant ocelot kittens","gigantaj ocelotidoj"
"A huge monster in the shape of an ocelot.","Grandega monstro kun formo de oceloto."
"A small wolf-like scavenger.  Normally found in pairs, jackals can form packs when they find a body.","Malgranda lupsimila kadavromanøulo. Kutime trovita en paroj, þakaloj povas formi gregojn kiam ili trovas kadavron."
"jackals","þakaloj"
"jackal pup","þakalido"
"jackal pups","þakalidoj"
"resourceful nature","sagaca naturo"
"jackal man","homþakalo"
"jackal men","homþakaloj"
"jackal woman","homþakalino"
"jackal women","homþakalinoj"
"A person with the head and tail of a jackal.","Homo kun la kapo kaj la vosto de þakalo."
"giant jackal","giganta þakalo"
"giant jackals","gigantaj þakaloj"
"giant jackal pup","giganta þakalido"
"giant jackal pups","gigantaj þakalidoj"
"A large monster in the form of a jackal.","Granda monstro kun la formo de þakalo."
"A tiny diurnal monkey.  It spends its time in the trees searching for food.","Eta taga simio. Øi pasigas sian tempon en la arboj seræante manøa¼on."
"capuchin","kapuæulo"
"capuchins","kapuæuloj"
"capuchin man","homkapuæulo"
"capuchin men","homkapuæuloj"
"capuchin woman","homkapuæulino"
"capuchin women","homkapuæulinoj"
"A person with the head and tail of a capuchin.","Homo kun la kapo kaj la vosto de kapuæulo."
"giant capuchin","giganta kapuæulo"
"giant capuchins","gigantaj kapuæuloj"
"A large monster in the form of a capuchin.","Granda monstro kun formo de kapuæulo."
"A small, slow-moving mammal that lives in the trees.","Malgranda malrapidmova mamulo, kiu loøas en la arboj."
"sloths","bradipoj"
"sloth cub","folivorido"
"sloth cubs","folivoridoj"
"slow movement","malrapida movado"
"sloth man","hombradipo"
"sloth men","hombradipoj"
"sloth woman","hombradipino"
"sloth women","hombradipinoj"
"A person with the head of a sloth.","Homo kun la kapo de bradipo."
"giant sloth","giganta bradipo"
"giant sloths","gigantaj bradipoj"
"A huge monster in the shape of a sloth.","Grandega monstro kun formo de bradipo."
"A small animal found in the canopy of the jungle.  They have extremely long arms and legs.","Malgranda besto kiu troviøas en la kanopeo de la øangalo. Ili havas ekstreme longajn brakojn kaj gambojn."
"spider monkey","atelo"
"spider monkeys","ateloj"
"long limbs","longaj membroj"
"prehensile tails","prenpovaj vostoj"
"spider monkey man","homatelo"
"spider monkey men","homateloj"
"spider monkey woman","homatelino"
"spider monkey women","homatelinoj"
"A long-limbed person with the head and tail of a spider monkey.","Longmembra homo kun la kapo kaj la vosto de atelo."
"giant spider monkey","giganta atelo"
"giant spider monkeys","gigantaj ateloj"
"A large monster in the form of a spider monkey.","Granda monstro kun formo de atelo."
"A small mammal covered in hard scales.  It has a long nose and tongue which it uses to feed.","Malgranda mamulo kovrita de malmolaj skvamoj. Øi havas longajn nazon kaj langon, kiujn øi uzas por manøigado."
"pangolins","manisoj"
"baby pangolin","manisido"
"baby pangolins","manisidoj"
"overlapping scales","interkovritaj skvamoj"
"pangolin man","hommaniso"
"pangolin men","hommanisoj"
"pangolin woman","hommanisino"
"pangolin women","hommanisinoj"
"A person with the head and scales of a pangolin.","Homo kun la kapo kaj la skvamoj de maniso."
"giant pangolin","giganta maniso"
"giant pangolins","gigantaj manisoj"
"baby giant pangolin","giganta manisido"
"baby giant pangolins","gigantaj manisidoj"
"A huge monster in the form of a pangolin.","Grandega monstro kun formo de maniso."
"A small aggressive snake which can move very quickly.  Its venom is deadly.","Malgranda agresema serpento, kiu povas moviøi tre rapide. Øia veneno estas mortiga."
"black mamba","nigra mamb"
"black mambas","nigraj mamboj"
"aggression","agreso"
"deadly bite","mortiga mordo"
"frozen black mamba venom","de glaciiøita veneno de nigra mambo"
"black mamba venom","de veneno de nigra mambo"
"boiling black mamba venom","de bolanta veneno de nigra mambo"
"black mamba bite","mordo de nigra mambo"
"black mamba man","hom-nigra-mambo"
"black mamba men","hom-nigra-mamboj"
"black mamba woman","hom-nigra-mambino"
"black mamba women","hom-nigra-mambinoj"
"A person in the form of a large black mamba with arms.","Homo kun formo de granda nigra mambo kun brakoj."
"giant black mamba","giganta nigra mambo"
"giant black mambas","gigantaj nigraaj mamboj"
"A large monster taking the shape of a black mamba.","Granda monstro kun formo de nigra mambo."
"A medium-sized mammal that lives in the trees.  It is known for its easy-going nature.","Mezgranda mamulo kiu loøas en la arboj. Øi estas konita por sia trankvila naturo."
"sloth bear","lipurso"
"sloth bears","lipursoj"
"sloth bear cub","lipursido"
"sloth bear cubs","lipursidoj"
"large floppy ears","grandaj flekseblaj oreloj"
"sloth bear man","homlipurso"
"sloth bear men","homlipursoj"
"sloth bear woman","homlipursino"
"sloth bear women","homlipursinoj"
"A person with the head and claws of a sloth bear.","Homo kun la kapo kaj la ungegoj de lipurso."
"giant sloth bear","giganta lipurso"
"giant sloth bears","gigantaj lipursoj"
"giant sloth bear cub","giganta lipursido"
"giant sloth bear cubs","gigantaj lipursidoj"
"A huge monster in the form of a sloth bear.","Grandega monstro kun formo de lipurso."
"A small, nocturnal, tree-dwelling mammal.  It uses its long fingers to fish out grubs from the wood.","Malgranda nokta arboloøanta mamulo. Øi uzas siajn longajn fingrojn por eltiri gruojn el la trunko."
"aye-aye","fingrobesto"
"aye-ayes","fingrobestoj"
"interesting fingers","interesaj fingroj"
