"more presumptious","ngÕo mÕn h½n"
"giant gray squirrels","sóc xám kh±ng l°"
"giant gray squirrel pup","sóc xám kh±ng l° con"
"giant gray squirrel pups","sóc xám kh±ng l° con"
"A large creature the shape of a gray squirrel.","Mµt sinh v§t l¾n có hình dÕng mµt con sóc xám."
"A small red rodent found in the trees of temperate woodlands.","Mµt loài g£m nh¤m nhö màu ğö, ğßşc tìm th¤y trên cây trong các khu r×ng ôn ğ¾i."
"red squirrel","sóc ğö"
"red squirrels","sóc ğö"
"red squirrel man","ngß¶i sóc ğö"
"red squirrel men","nhæng ngß¶i sóc ğö"
"red squirrel woman","næ sóc ğö"
"red squirrel women","nhæng næ sóc ğö"
"A person with the head and tail of a red squirrel.","Mµt ngß¶i có ğ¥u và ğuôi cüa mµt con sóc ğö."
"giant red squirrel","sóc ğö kh±ng l°"
"giant red squirrels","sóc ğö kh±ng l°"
"giant red squirrel pup","sóc ğö kh±ng l° con"
"giant red squirrel pups","sóc ğö kh±ng l° con"
"A large creature the shape of a red squirrel.","Mµt sinh v§t l¾n có hình dÕng mµt con sóc ğö."
"A tiny striped rodent found scurrying through the bushes and trees of the temperate forest.","Mµt loài g£m nh¤m nhö xíu có s÷c, ğßşc tìm th¤y ğang chÕy lång xång qua bøi r§m và cây c¯i cüa r×ng ôn ğ¾i."
"chipmunk","sóc chuµt"
"chipmunks","sóc chuµt"
"chipmunk man","ngß¶i sóc chuµt"
"chipmunk men","nhæng ngß¶i sóc chuµt"
"chipmunk woman","næ sóc chuµt"
"chipmunk women","nhæng næ sóc chuµt"
"A striped person with the head and tail of a chipmunk.","Mµt ngß¶i có s÷c v¾i ğ¥u và ğuôi cüa mµt con sóc chuµt."
"giant chipmunk","sóc chuµt kh±ng l°"
"giant chipmunks","sóc chuµt kh±ng l°"
"giant chipmunk pup","sóc chuµt kh±ng l° con"
"giant chipmunk pups","sóc chuµt kh±ng l° con"
"A large creature the shape of a chipmunk.","Mµt sinh v§t l¾n có hình dÕng mµt con sóc chuµt."
"A small creature found in both salt and fresh water that lives in an asymmetrical shell rooted to the bottom.","Mµt sinh v§t nhö ğßşc tìm th¤y cä · nß¾c m£n và nß¾c ng÷t, s¯ng trong mµt vö không ğ¯i xÑng và bám ch¡c vào ğáy."
"mussel","v©m"
"mussels","v©m"
"A small marine creature that lives in a shell rooted to the sea floor.","Mµt sinh v§t bi¬n nhö s¯ng trong mµt vö bám ch¡c vào ğáy bi¬n."
"oyster","hàu"
"oysters","hàu"
"A medium-sized red fish that lives in the ocean and swims up a river to breed.","Mµt loài cá ğö cŞ trung bình, s¯ng · ğÕi dß½ng và b½i ngßşc dòng sông ğ¬ sinh sän."
"salmon","cá h°i"
"A tiny orange marine fish that lives inside the tentacles of a poisonous invertebrate.","Mµt loài cá bi¬n nhö xíu màu cam, s¯ng bên trong các xúc tu cüa mµt loài ğµng v§t không xß½ng s¯ng có ğµc."
"clownfish","cá h«"
"A small, spineless, eel-like fish that lives on the bottom of the ocean.  It can turn the water around its body into a cloud of slime to escape predators.","Mµt loài cá nhö, không có xß½ng s¯ng, gi¯ng lß½n, s¯ng dß¾i ğáy ğÕi dß½ng. Nó có th¬ biªn nß¾c xung quanh c½ th¬ thành mµt ğám ch¤t nh¶n ğ¬ thoát khöi kë sån m°i."
"hagfish","cá nh¥y"
"slime","ch¤t nh¶n"
"ability to tie themselves in knots","khä nång tñ th¡t nút"
"A small, jawless, filter-feeding fish found in brooks and streams.","Mµt loài cá nhö, không hàm, ån l÷c, ğßşc tìm th¤y · su¯i và sông nhö."
"brook lamprey","cá mút ğá su¯i"
"brook lampreys","cá mút ğá su¯i"
"A medium-sized, winged fish found in the muddy coasts of both temperate and tropical waters.","Mµt loài cá có vây tña cánh cŞ trung bình, ğßşc tìm th¤y · các b¶ bi¬n bùn l¥y cüa cä vùng nß¾c ôn ğ¾i và nhi®t ğ¾i."
"bat ray","cá ğu¯i d½i"
"bat rays","cá ğu¯i d½i"
"shape","hình dÕng"
"A small winged fish found in shallow seas.","Mµt loài cá có vây tña cánh nhö, ğßşc tìm th¤y · các vùng bi¬n nông."
"thornback ray","cá ğu¯i lßng gai"
"thornback rays","cá ğu¯i lßng gai"
"back spines","gai lßng"
"A small, shark-like creature that lives in the ocean's muddy shallows.  Its skin sparkles and it has a venomous spine on its back.","Mµt sinh v§t nhö, gi¯ng cá m§p, s¯ng · vùng bi¬n nông bùn l¥y. Da nó l¤p lánh và nó có mµt gai ğµc trên lßng."
"spotted ratfish","cá chuµt ğ¯m"
"A tiny marine fish found in vast schools.","Mµt loài cá bi¬n nhö xíu, ğßşc tìm th¤y trong nhæng ğàn l¾n."
"herring","cá trích"
"herrings","cá trích"
"massive schools","nhæng ğàn l¾n"
"A small marine fish that travels to rivers to breed.","Mµt loài cá bi¬n nhö di chuy¬n ğªn các con sông ğ¬ sinh sän."
"shad","cá shad"
"shads","cá shad"
"A tiny blue-green oceanic fish, found only in temperate waters.","Mµt loài cá ğÕi dß½ng nhö xíu màu xanh lam-løc, chï ğßşc tìm th¤y · các vùng nß¾c ôn ğ¾i."
"anchovy","cá c½m"
"anchovies","cá c½m"
"distinct snout","mõm ğ£c trßng"
"A medium-sized fish found in tributaries and oceans.","Mµt loài cá cŞ trung bình, ğßşc tìm th¤y · các nhánh sông và ğÕi dß½ng."
"steelhead trout","cá h°i vân ğ¥u thép"
"An oceanic fish.","Mµt loài cá ğÕi dß½ng."
"hake","cá tuyªt ğuôi dài"
"notched fins","vây có khía"
"A tiny, curved and colorful fish found in coral reefs.","Mµt loài cá nhö xíu, cong và ğ¥y màu s¡c, ğßşc tìm th¤y · các rÕn san hô."
"seahorse","cá ngña"
"seahorses","cá ngña"
"unusual shape","hình dÕng khác thß¶ng"
"A small, nocturnal, marine fish.  It can be found hunting in coral reefs.","Mµt loài cá bi¬n nhö, hoÕt ğµng v« ğêm. Nó có th¬ ğßşc tìm th¤y ğang sån m°i · các rÕn san hô."
"glasseye","cá m¡t kính"
"A small, round, brightly-colored fish found in coral reefs.","Mµt loài cá nhö, tròn, màu s¡c rñc rŞ, ğßşc tìm th¤y · các rÕn san hô."
"white-spotted puffer","cá nóc ğ¯m tr¡ng"
"white-spotted puffers","cá nóc ğ¯m tr¡ng"
"ability to inflate","khä nång ph°ng lên"
"A small flat fish found on the muddy bottom of shallow seas.","Mµt loài cá d©t nhö ğßşc tìm th¤y dß¾i ğáy bùn cüa các vùng bi¬n nông."
"sole","cá b½n"
"A small flat fish found in the muddy bottom of coastal run-offs and ponds.","Mµt loài cá d©t nhö ğßşc tìm th¤y dß¾i ğáy bùn cüa các vûng nß¾c ven bi¬n và ao h°."
"flounder","cá th¶n b½n"
"flounders","nhæng con cá th¶n b½n"
"strange eyes","ğôi m¡t kÏ lÕ"
"A medium-sized oceanic fish prized for its meat.","Mµt loài cá bi¬n cŞ trung bình ğßşc ßa chuµng vì th¸t cüa nó."
"mackerel","cá thu"
"An invertebrate found off the coast.  It has a sting which can be severe.","Mµt loài ğµng v§t không xß½ng s¯ng ğßşc tìm th¤y ngoài kh½i. Nó có mµt vªt chích có th¬ r¤t nghiêm tr÷ng."
"sea nettle jellyfish","sÑa t¥m ma bi¬n"
"A tiny sea vermin with eight arms and two tentacles.  It can spray ink to confuse predators.","Mµt loài sinh v§t bi¬n nhö bé v¾i tám cánh tay và hai xúc tu. Nó có th¬ phun mñc ğ¬ làm kë sån m°i b¯i r¯i."
"squid","mñc"
"squids","nhæng con mñc"
"ability to spray ink","khä nång phun mñc"
"frozen squid ink","mñc ğông lÕnh"
"squid ink","mñc"
"boiling squid ink","mñc ğang sôi"
"squid man","ngß¶i mñc"
"squid men","nhæng ngß¶i mñc"
"squid woman","phø næ mñc"
"squid women","nhæng phø næ mñc"
"A small person with a head bearing ten tentacles.","Mµt ngß¶i nhö bé v¾i cái ğ¥u mang mß¶i xúc tu."
"giant squid","mñc kh±ng l°"
"gigantic squid","mñc siêu kh±ng l°"
"gigantic squids","nhæng con mñc siêu kh±ng l°"
"A huge sea monster the shape of a squid.","Mµt quái v§t bi¬n kh±ng l° có hình dáng nhß mµt con mñc."
"A small fish which can walk on the land and breathe air.  It burrows in the mud when things get dry.","Mµt loài cá nhö có th¬ ği trên cÕn và th· khí. Nó ğào hang trong bùn khi m÷i thÑ tr· nên khô hÕn."
"lungfish","cá ph±i"
"gulping","h¾p không khí"
"A tiny orange-striped fish.  It lives in inland waters.","Mµt loài cá nhö xíu có s÷c cam. Nó s¯ng · vùng nß¾c nµi ğ¸a."
"clown loach","cá h° lô"
"clown loaches","nhæng con cá h° lô"
"A small whiskered fish found in muddy inland waters.","Mµt loài cá nhö có râu ğßşc tìm th¤y · vùng nß¾c nµi ğ¸a nhi«u bùn."
"brown bullhead","cá trê ğ¥u bò nâu"
"brown bullheads","nhæng con cá trê ğ¥u bò nâu"
"A small whiskered fish found scavenging in inland waters.","Mµt loài cá nhö có râu ğßşc tìm th¤y ğang kiªm ån · vùng nß¾c nµi ğ¸a."
"yellow bullhead","cá trê ğ¥u bò vàng"
"yellow bullheads","nhæng con cá trê ğ¥u bò vàng"
"A small whiskered fish found in inland waters.","Mµt loài cá nhö có râu ğßşc tìm th¤y · vùng nß¾c nµi ğ¸a."
"black bullhead","cá trê ğ¥u bò ğen"
"black bullheads","nhæng con cá trê ğ¥u bò ğen"
"A small spotted fish found in tropical rivers and lakes.","Mµt loài cá nhö có ğ¯m ğßşc tìm th¤y · các sông và h° nhi®t ğ¾i."
"banded knifefish","cá dao s÷c"
"rippling fin","vây gşn sóng"
"A medium-sized spotted fish found in temperate lakes and rivers.","Mµt loài cá có ğ¯m cŞ trung bình ğßşc tìm th¤y · các h° và sông ôn ğ¾i."
"char","cá h°i char"
"A medium-sized spotted fish found in temperate rivers and lakes.","Mµt loài cá có ğ¯m cŞ trung bình ğßşc tìm th¤y · các sông và h° ôn ğ¾i."
"rainbow trout","cá h°i vân"
"A tiny spotted fish found in coastal rivers and temperate lakes.","Mµt loài cá nhö xíu có ğ¯m ğßşc tìm th¤y · các sông ven bi¬n và h° ôn ğ¾i."
"sailfin molly","cá mún vây bu°m"
"sailfin mollies","nhæng con cá mún vây bu°m"
"wide dorsal fins","vây lßng rµng"
"A tiny colorful fish found in tropical lakes and rivers.","Mµt loài cá nhö xíu ğ¥y màu s¡c ğßşc tìm th¤y · các h° và sông nhi®t ğ¾i."
"guppy","cá bäy màu"
"guppies","nhæng con cá bäy màu"
"A small striped fish found in fresh water.","Mµt loài cá nhö có s÷c ğßşc tìm th¤y · nß¾c ng÷t."
"perch","cá rô"
"A short, sturdy creature fond of drink and industry.","Mµt sinh v§t th¤p bé, khöe mÕnh, ßa thích rßşu và ngh« thü công."
"dwarf","ngß¶i lùn"
"dwarves","nhæng ngß¶i lùn"
"dwarven","cüa ngß¶i lùn"
"dwarven baby","em bé ngß¶i lùn"
"dwarven babies","nhæng em bé ngß¶i lùn"
"dwarven child","ğÑa trë ngß¶i lùn"
"dwarven children","nhæng ğÑa trë ngß¶i lùn"
"craftsdwarf","thş thü công ngß¶i lùn"
"craftsdwarves","nhæng thş thü công ngß¶i lùn"
"fisherdwarf","ngß dân ngß¶i lùn"
"fisherdwarves","nhæng ngß dân ngß¶i lùn"
"hammerdwarf","chiªn binh búa ngß¶i lùn"
"hammerdwarves","nhæng chiªn binh búa ngß¶i lùn"
"speardwarf","chiªn binh giáo ngß¶i lùn"
"speardwarves","nhæng chiªn binh giáo ngß¶i lùn"
"marksdwarf","xÕ thü ngß¶i lùn"
"marksdwarves","nhæng xÕ thü ngß¶i lùn"
"axedwarf","chiªn binh rìu ngß¶i lùn"
"axedwarves","nhæng chiªn binh rìu ngß¶i lùn"
"swordsdwarf","chiªn binh kiªm ngß¶i lùn"
"swordsdwarves","nhæng chiªn binh kiªm ngß¶i lùn"
"macedwarf","chiªn binh chùy ngß¶i lùn"
"macedwarves","nhæng chiªn binh chùy ngß¶i lùn"
"pikedwarf","chiªn binh thß½ng ngß¶i lùn"
"pikedwarves","nhæng chiªn binh thß½ng ngß¶i lùn"
"bowdwarf","cung thü ngß¶i lùn"
"bowdwarves","nhæng cung thü ngß¶i lùn"
"Elite Marksdwarf","XÕ thü tinh nhu® ngß¶i lùn"
"Elite Marksdwarves","Nhæng xÕ thü tinh nhu® ngß¶i lùn"
"Elite Bowdwarf","Cung thü tinh nhu® ngß¶i lùn"
"Elite Bowdwarves","Nhæng cung thü tinh nhu® ngß¶i lùn"
"finger","ngón tay"
"fingers","nhæng ngón tay"
"nose","mûi"
"ear","tai"
"knuckles","kh¾p ngón tay"
"cheek","má"
"nails","móng"
"arms","các cánh tay"
"hands","các bàn tay"
"tongue","LßŞi"
"leg","chân"
"A medium-sized creature prone to great ambition.","Mµt sinh v§t cŞ trung bình d­ có tham v÷ng l¾n."
"human","ngß¶i"
"humans","nhæng ngß¶i"
"A medium-sized creature dedicated to the ruthless protection of nature.","Mµt sinh v§t cŞ trung bình t§n tâm bäo v® tñ nhiên mµt cách tàn nhçn."
"elf","Yêu tinh"
"elves","Yêu tinh"
"elven","Thuµc yêu tinh"
"A medium-sized humanoid driven to cruelty by its evil nature.","Mµt nhân hình cŞ trung bình b¸ bän ch¤t tà ác cüa nó thúc ğ¦y ğªn sñ tàn bÕo."
"A small, squat humanoid with large pointy ears and yellow glowing eyes.","Mµt nhân hình nhö bé, lùn t¸t v¾i ğôi tai nh÷n ho¡t l¾n và ğôi m¡t vàng phát sáng."
"A small humanoid creature with a mischievous, toothy grin.","Mµt sinh v§t nhân hình nhö bé v¾i nø cß¶i tinh quái, lµ rång."
"gremlin","Ti¬u quÖ"
"gremlins","Ti¬u quÖ"
"A huge humanoid monster with coarse fur, large tusks and horns.","Mµt quái v§t nhân hình kh±ng l° v¾i bµ lông thô cÑng, nhæng chiªc nanh và s×ng l¾n."
"A giant humanoid monster found stomping about in the evil plains.  Their low howls can be heard long before they are seen.","Mµt quái v§t nhân hình kh±ng l° ğßşc tìm th¤y ğang lang thang d§m chân trên nhæng ğ°ng b¢ng tà ác. Tiªng hú tr¥m th¤p cüa chúng có th¬ ğßşc nghe th¤y r¤t lâu trß¾c khi chúng xu¤t hi®n."
"low howls","tiªng hú tr¥m th¤p"
"ogress","Næ quÖ kh±ng l°"
"ogresses","Næ quÖ kh±ng l°"
"A horse-like creature with a spiral horn growing from its forehead.","Mµt sinh v§t gi¯ng ngña v¾i chiªc s×ng xo¡n ¯c m÷c ra t× trán."
"unicorn","KÏ lân"
"unicorns","KÏ lân"
"unicorn foal","KÏ lân con"
"unicorn foals","KÏ lân con"
"A gigantic reptilian creature.  It is magical and can breathe fire.  These monsters can live for thousands of years.","Mµt sinh v§t bò sát kh±ng l°. Nó có nång lñc ma thu§t và có th¬ phun lØa. Nhæng quái v§t này có th¬ s¯ng hàng nghìn nåm."
"dragon","R°ng"
"dragons","R°ng"
"draconic","Thuµc v« r°ng"
"dragon hatchling","R°ng con"
"dragon hatchlings","R°ng con"
"Breathe fire","Phun lØa"
"terrible majesty","vë uy nghi ğáng sş"
"A medium-sized humanoid with the horns and legs of a goat.","Mµt nhân hình cŞ trung bình v¾i s×ng và chân dê."
"satyr","Nhân dß½ng"
"satyrs","Nhân dß½ng"
"woolly legs","chân lông xù"
"A gigantic magic statue made of bronze and bent on mayhem.","Mµt bÑc tßşng ma thu§t kh±ng l° làm b¢ng ğ°ng và quyªt tâm gây náo loÕn."
"bronze colossus","Tßşng ğ°ng kh±ng l°"
"bronze colossuses","Tßşng ğ°ng kh±ng l°"
"height","chi«u cao"
"A gigantic creature resembling a human, almost unparalleled in size.","Mµt sinh v§t kh±ng l° gi¯ng con ngß¶i, v¾i kích thß¾c g¥n nhß vô song."
"giant","Ngß¶i kh±ng l°"
"giants","Ngß¶i kh±ng l°"
"giantess","Næ kh±ng l°"
"giantesses","Næ kh±ng l°"
"A giant humanoid monster with a single eye set in its forehead.","Mµt quái v§t nhân hình kh±ng l° v¾i mµt con m¡t duy nh¤t n¢m trên trán."
"cyclops","Ngß¶i kh±ng l° mµt m¡t"
"cyclopes","Ngß¶i kh±ng l° mµt m¡t"
"single eye","mµt con m¡t duy nh¤t"
"A giant humanoid monster with two heads.","Mµt quái v§t nhân hình kh±ng l° v¾i hai ğ¥u."
"arguing heads","nhæng cái ğ¥u hay cãi vã"
"A giant humanoid monster with the head of a bull.","Mµt quái v§t nhân hình kh±ng l° v¾i ğ¥u bò."
"minotaur","Nhân ngßu"
"minotaurs","Nhân ngßu"
"A large ape-like creature with white fur, found in the snowy wilds.","Mµt sinh v§t l¾n gi¯ng vßşn v¾i bµ lông tr¡ng, ğßşc tìm th¤y · nhæng vùng hoang dã ğ¥y tuyªt."
"white fur","lông tr¡ng"
"A large and mysterious ape-like creature found in temperate forests.","Mµt sinh v§t l¾n và bí ¦n gi¯ng vßşn ğßşc tìm th¤y · nhæng khu r×ng ôn ğ¾i."
"sasquatch","Sasquatch"
"sasquatches","Sasquatch"
"reclusive nature","bän tính ¦n d§t"
"A large humanoid monster from the wild tundra.  It has translucent skin, icicles for teeth, red glowing eyes and pointed ears.","Mµt quái v§t nhân hình l¾n t× vùng lãnh nguyên hoang dã. Nó có làn da trong m¶, rång là nhæng trø bång, ğôi m¡t ğö phát sáng và tai nh÷n."
"blizzard man","Ngß¶i bão tuyªt"
"blizzard men","Ngß¶i bão tuyªt"
"translucent skin","làn da trong m¶"
"icicle teeth","rång b¢ng bång nh÷n"
"glowing red eyes","ğôi m¡t ğö phát sáng"
"pointy ears","tai nh÷n"
"A fierce creature from the evil snowy wilds.  It has white fur and a piercing howl.","Mµt sinh v§t hung dæ t× vùng hoang dã tuyªt tà ác. Nó có bµ lông tr¡ng và tiªng hú chói tai."
"ice wolf","Sói bång"
"ice wolves","Sói bång"
"ice wolf pup","Sói bång con"
"ice wolf pups","Sói bång con"
"piercing howls","tiªng hú chói tai"
"A tiny, giggling humanoid with lacy wings.","Mµt nhân hình nhö bé, hay khúc khích cß¶i v¾i ğôi cánh ren."
"fairy","Tiên"
"fairies","Tiên"
"babylike giggles","tiªng cß¶i khúc khích nhß trë th½"
"lacy wings","ğôi cánh ren"
"A tiny winged humanoid with shifting colors which performs intricate aerial dances in large groups.","Mµt nhân hình có cánh nhö bé v¾i màu s¡c thay ğ±i, thñc hi®n nhæng ği®u nhäy trên không phÑc tÕp theo nhóm l¾n."
"pixie","Tinh linh Pixie"
"pixies","Tinh linh Pixie"
"shifting colors","màu s¡c thay ğ±i"
